date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-22135506.0,23796972.0,-1661465.0,-19252806.0,-2882700.0,-16.65,17.9,-1.25,-14.48,-2.17,20.18,-2.93,0.0,0.0
2020-01-09,-4638818.0,5855783.0,-1216966.0,-4350057.0,-288761.0,-3.45,4.35,-0.9,-3.23,-0.21,20.74,2.78,0.0,0.0
2020-01-10,9366454.0,-10702834.0,1336380.0,8349754.0,1016700.0,5.7,-6.51,0.81,5.08,0.62,21.17,2.07,0.0,0.0
2020-01-13,26448616.0,-21377402.0,-5071214.0,8870252.0,17578364.0,11.63,-9.4,-2.23,3.9,7.73,21.85,3.21,0.0,0.0
2020-01-14,-17692387.0,16899951.0,792438.0,-18819994.0,1127607.0,-11.02,10.53,0.49,-11.72,0.7,21.49,-1.65,0.0,0.0
2020-01-15,-3045460.0,894946.0,2150514.0,-7311446.0,4265986.0,-2.5,0.74,1.77,-6.01,3.5,21.74,1.16,0.0,0.0
2020-01-16,-12351945.0,13467082.0,-1115137.0,-10285417.0,-2066528.0,-13.36,14.57,-1.21,-11.13,-2.24,21.34,-1.84,0.0,0.0
2020-01-17,-1378710.0,6264417.0,-4885706.0,-1971499.0,592789.0,-1.88,8.52,-6.65,-2.68,0.81,21.18,-0.75,0.0,0.0
2020-01-20,-5934609.0,6359453.0,-424844.0,-3615415.0,-2319194.0,-5.95,6.37,-0.43,-3.62,-2.32,21.5,1.51,0.0,0.0
2020-01-21,-5000375.0,754004.0,4246371.0,-7767681.0,2767306.0,-4.29,0.65,3.65,-6.67,2.38,21.34,-0.74,0.0,0.0
2020-01-22,-10745564.0,19300097.0,-8554532.0,-10147400.0,-598164.0,-8.62,15.48,-6.86,-8.14,-0.48,21.08,-1.22,0.0,0.0
2020-01-23,-19352110.0,22546044.0,-3193933.0,-10172020.0,-9180090.0,-15.19,17.7,-2.51,-7.98,-7.21,19.72,-6.45,0.0,0.0
2020-02-03,-2707336.0,2685984.0,21354.0,-1759504.0,-947832.0,-36.11,35.82,0.28,-23.47,-12.64,17.75,-9.99,0.0,0.0
2020-02-04,-201799.0,6716059.0,-6514259.0,-2224847.0,2023048.0,-0.16,5.24,-5.09,-1.74,1.58,17.01,-4.17,0.0,0.0
2020-02-05,-2551432.0,8101484.0,-5550052.0,-3542875.0,991443.0,-2.91,9.24,-6.33,-4.04,1.13,17.2,1.12,0.0,0.0
2020-02-06,4872068.0,-2302459.0,-2569609.0,4872068.0,0.0,5.83,-2.75,-3.07,5.83,0.0,17.65,2.62,0.0,0.0
2020-02-07,-7359732.0,3115020.0,4244713.0,-7359732.0,0.0,-6.77,2.87,3.91,-6.77,0.0,18.08,2.44,0.0,0.0
2020-02-10,-877890.0,-1483299.0,2361190.0,-2727022.0,1849132.0,-1.05,-1.78,2.83,-3.27,2.22,18.26,1.0,0.0,0.0
2020-02-11,1742516.0,-399034.0,-1343484.0,-1373555.0,3116071.0,2.18,-0.5,-1.68,-1.72,3.89,18.38,0.66,0.0,0.0
2020-02-12,387185.0,4727212.0,-5114398.0,-611868.0,999053.0,0.46,5.61,-6.07,-0.73,1.19,18.63,1.36,0.0,0.0
2020-02-13,-3262648.0,8417513.0,-5154865.0,-3262648.0,0.0,-4.46,11.5,-7.04,-4.46,0.0,18.31,-1.72,0.0,0.0
2020-02-14,-2417940.0,5900432.0,-3482492.0,-2417940.0,0.0,-4.0,9.76,-5.76,-4.0,0.0,18.33,0.11,0.0,0.0
2020-02-17,13500768.0,-17393191.0,3892424.0,12975400.0,525368.0,10.62,-13.69,3.06,10.21,0.41,19.53,6.55,0.0,0.0
2020-02-18,80368610.0,-42492232.0,-37876377.0,29408164.0,50960446.0,21.17,-11.19,-9.98,7.75,13.42,21.48,9.98,0.0,0.0
2020-02-19,11800018.0,-1920137.0,-9879881.0,-6250359.0,18050377.0,1.93,-0.31,-1.62,-1.02,2.95,22.7,5.68,0.0,0.0
