date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-43463705.0,57175944.0,-13712239.0,-31881345.0,-11582360.0,-15.49,20.38,-4.89,-11.36,-4.13,20.93,-2.92,0.0,0.0
2020-01-09,-6291323.0,10082353.0,-3791031.0,-11206899.0,4915576.0,-3.33,5.33,-2.0,-5.93,2.6,21.16,1.1,0.0,0.0
2020-01-10,-17038722.0,19216926.0,-2178204.0,-6289752.0,-10748970.0,-12.31,13.89,-1.57,-4.55,-7.77,21.01,-0.71,0.0,0.0
2020-01-13,-1525967.0,8981053.0,-7455086.0,-4477526.0,2951559.0,-0.92,5.41,-4.49,-2.7,1.78,21.15,0.67,0.0,0.0
2020-01-14,-7901966.0,7708211.0,193756.0,-2120025.0,-5781941.0,-3.95,3.85,0.1,-1.06,-2.89,21.1,-0.24,0.0,0.0
2020-01-15,-28090689.0,30878490.0,-2787801.0,-15368719.0,-12721970.0,-15.7,17.26,-1.56,-8.59,-7.11,20.7,-1.9,0.0,0.0
2020-01-16,-2551746.0,13272626.0,-10720881.0,-7544045.0,4992299.0,-0.75,3.92,-3.17,-2.23,1.48,21.27,2.75,0.0,0.0
2020-01-17,-21662726.0,26557640.0,-4894913.0,-18742614.0,-2920112.0,-11.81,14.48,-2.67,-10.22,-1.59,20.65,-2.91,0.0,0.0
2020-01-20,-16659506.0,24078366.0,-7418859.0,-11922799.0,-4736707.0,-10.86,15.7,-4.84,-7.78,-3.09,20.26,-1.89,0.0,0.0
2020-01-21,-13089315.0,26534316.0,-13444999.0,-10804395.0,-2284920.0,-8.32,16.87,-8.55,-6.87,-1.45,19.7,-2.76,0.0,0.0
2020-01-22,-175828.0,7706974.0,-7531145.0,-1815143.0,1639315.0,-0.11,5.02,-4.91,-1.18,1.07,19.61,-0.46,0.0,0.0
2020-01-23,-16166435.0,21157347.0,-4990913.0,-10510711.0,-5655724.0,-9.95,13.02,-3.07,-6.47,-3.48,18.95,-3.37,0.0,0.0
2020-02-03,-2050612.0,3217516.0,-1166904.0,-1629230.0,-421382.0,-15.54,24.38,-8.84,-12.35,-3.19,17.06,-9.97,0.0,0.0
2020-02-04,-8561362.0,27054557.0,-18493195.0,-13484503.0,4923141.0,-3.34,10.56,-7.22,-5.27,1.92,15.95,-6.51,0.0,0.0
2020-02-05,-15838811.0,22259686.0,-6420876.0,-18019947.0,2181136.0,-5.95,8.36,-2.41,-6.77,0.82,16.74,4.95,0.0,0.0
2020-02-06,3918507.0,3034654.0,-6953163.0,4514842.0,-596335.0,1.83,1.42,-3.24,2.11,-0.28,17.05,1.85,0.0,0.0
2020-02-07,-3791210.0,12084803.0,-8293593.0,-9244696.0,5453486.0,-2.19,6.98,-4.79,-5.34,3.15,17.11,0.35,0.0,0.0
2020-02-10,2723421.0,-9614941.0,6891518.0,3898741.0,-1175320.0,1.46,-5.15,3.69,2.09,-0.63,17.39,1.64,0.0,0.0
2020-02-11,96094703.0,-56974637.0,-39120065.0,9936900.0,86157803.0,19.71,-11.69,-8.03,2.04,17.67,19.13,10.01,0.0,0.0
2020-02-12,-61979697.0,55142264.0,6837433.0,-40560206.0,-21419491.0,-12.46,11.09,1.37,-8.16,-4.31,18.85,-1.46,0.0,0.0
2020-02-13,-38678369.0,49748727.0,-11070360.0,-22623056.0,-16055313.0,-13.12,16.87,-3.75,-7.67,-5.45,18.07,-4.14,0.0,0.0
2020-02-14,-13361195.0,17308491.0,-3947295.0,-12724777.0,-636418.0,-8.43,10.91,-2.49,-8.02,-0.4,17.81,-1.44,0.0,0.0
2020-02-17,14812744.0,-14672681.0,-140063.0,11016390.0,3796354.0,5.5,-5.45,-0.05,4.09,1.41,18.61,4.49,0.0,0.0
2020-02-18,-288050.0,11452274.0,-11164225.0,-773573.0,485523.0,-0.1,3.82,-3.73,-0.26,0.16,18.95,1.83,0.0,0.0
