date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1288747.0,8593390.0,-7304643.0,9865995.0,-11154742.0,-0.88,5.88,-5.0,6.75,-7.64,6.64,-3.77,0.0,0.0
2020-01-09,-5019991.0,5396272.0,-376281.0,-3636871.0,-1383120.0,-8.8,9.46,-0.66,-6.38,-2.42,6.65,0.15,0.0,0.0
2020-01-10,-8950379.0,10086335.0,-1135956.0,-9667122.0,716743.0,-14.76,16.64,-1.87,-15.95,1.18,6.54,-1.65,0.0,0.0
2020-01-13,9194182.0,-4732446.0,-4461737.0,3879261.0,5314921.0,14.64,-7.54,-7.1,6.18,8.46,6.65,1.68,0.0,0.0
2020-01-14,3762575.0,-4204291.0,441716.0,-454731.0,4217306.0,5.55,-6.2,0.65,-0.67,6.22,6.71,0.9,0.0,0.0
2020-01-15,6326071.0,-5265091.0,-1060982.0,-547470.0,6873541.0,9.88,-8.22,-1.66,-0.85,10.73,6.77,0.89,0.0,0.0
2020-01-16,-2990406.0,4849450.0,-1859043.0,-3525163.0,534757.0,-7.5,12.16,-4.66,-8.84,1.34,6.66,-1.62,0.0,0.0
2020-01-17,2847144.0,473859.0,-3321002.0,2635120.0,212024.0,6.23,1.04,-7.27,5.77,0.46,6.66,0.0,0.0,0.0
2020-01-20,5766505.0,-5660346.0,-106160.0,-3448298.0,9214803.0,6.8,-6.68,-0.13,-4.07,10.87,6.8,2.1,0.0,0.0
2020-01-21,-2252552.0,4119796.0,-1867244.0,-2252552.0,0.0,-7.79,14.26,-6.46,-7.79,0.0,6.66,-2.06,0.0,0.0
2020-01-22,-2615755.0,6234496.0,-3618741.0,-2615755.0,0.0,-8.26,19.7,-11.43,-8.26,0.0,6.56,-1.5,0.0,0.0
2020-01-23,-11483896.0,14316000.0,-2832104.0,-11483896.0,0.0,-17.55,21.87,-4.33,-17.55,0.0,6.25,-4.73,0.0,0.0
2020-02-03,-1258128.0,2005804.0,-747676.0,-1087961.0,-170167.0,-12.53,19.98,-7.45,-10.84,-1.7,5.61,-10.24,0.0,0.0
