date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-558949.0,2940420.0,-2381472.0,835842.0,-1394791.0,-0.38,2.02,-1.63,0.57,-0.96,4.41,1.14,0.0,0.0
2020-01-09,2731429.0,-9139987.0,6408559.0,4502761.0,-1771332.0,2.58,-8.64,6.06,4.26,-1.67,4.44,0.68,0.0,0.0
2020-01-10,-14746473.0,9795609.0,4950865.0,-14401737.0,-344736.0,-18.97,12.6,6.37,-18.53,-0.44,4.34,-2.25,0.0,0.0
2020-01-13,5271846.0,-236594.0,-5035252.0,4595898.0,675948.0,7.11,-0.32,-6.8,6.2,0.91,4.44,2.3,0.0,0.0
2020-01-14,-1696291.0,-228927.0,1925218.0,-881599.0,-814692.0,-3.08,-0.42,3.49,-1.6,-1.48,4.41,-0.67,0.0,0.0
2020-01-15,-10589535.0,13149889.0,-2560355.0,-9993835.0,-595700.0,-19.63,24.38,-4.75,-18.53,-1.1,4.34,-1.58,0.0,0.0
2020-01-16,30510794.0,-13077606.0,-17433189.0,6308006.0,24202788.0,19.28,-8.27,-11.02,3.99,15.3,4.52,4.14,0.0,0.0
2020-01-17,18629516.0,-21742195.0,3112680.0,9452336.0,9177180.0,8.65,-10.1,1.45,4.39,4.26,4.85,7.28,0.0,0.0
2020-01-20,17900585.0,-15747673.0,-2152914.0,10112270.0,7788315.0,7.48,-6.58,-0.9,4.22,3.25,5.14,5.97,0.0,0.0
2020-01-21,6634675.0,7193133.0,-13827808.0,8102698.0,-1468023.0,4.51,4.89,-9.4,5.51,-1.0,5.12,-0.39,0.0,0.0
2020-01-22,-3028636.0,-2122380.0,5151015.0,1208388.0,-4237024.0,-1.59,-1.11,2.7,0.63,-2.22,5.13,0.19,0.0,0.0
2020-01-23,-15306982.0,15132887.0,174093.0,-11921092.0,-3385890.0,-11.02,10.89,0.13,-8.58,-2.44,4.86,-5.25,0.0,0.0
2020-02-03,-4112740.0,3377348.0,735394.0,-13264464.0,9151724.0,-11.81,9.7,2.11,-38.08,26.27,4.37,-10.06,0.0,0.0
2020-02-04,-232887.0,7631640.0,-7398752.0,149823.0,-382710.0,-0.17,5.61,-5.44,0.11,-0.28,4.39,0.46,0.0,0.0
2020-02-05,-3672768.0,5405750.0,-1732981.0,-3428580.0,-244188.0,-2.7,3.98,-1.28,-2.52,-0.18,4.56,3.86,0.0,0.0
2020-02-06,-6742879.0,3891812.0,2851068.0,-5418123.0,-1324756.0,-5.75,3.32,2.43,-4.62,-1.13,4.54,-0.44,0.0,0.0
2020-02-07,-10234925.0,11218390.0,-983466.0,-5232863.0,-5002062.0,-8.28,9.07,-0.8,-4.23,-4.05,4.41,-2.86,0.0,0.0
2020-02-10,-28731121.0,27305827.0,1425295.0,-17860596.0,-10870525.0,-20.8,19.77,1.03,-12.93,-7.87,4.37,-0.9,0.0,0.0
2020-02-11,6013236.0,-3262128.0,-2751108.0,120180.0,5893056.0,3.94,-2.14,-1.8,0.08,3.86,4.52,3.42,0.0,0.0
2020-02-12,37762120.0,-23139901.0,-14622219.0,11032299.0,26729821.0,36.17,-22.17,-14.01,10.57,25.61,4.97,9.93,0.0,0.0
2020-02-13,99510824.0,-42346894.0,-57163929.0,-9105443.0,108616267.0,11.3,-4.81,-6.49,-1.03,12.33,5.47,10.04,0.0,0.0
2020-02-14,-134505062.0,93654594.0,40850468.0,-72885065.0,-61619997.0,-20.72,14.43,6.29,-11.23,-9.49,5.18,-5.29,0.0,0.0
2020-02-17,-46061138.0,32651646.0,13409493.0,-39216009.0,-6845129.0,-11.47,8.13,3.34,-9.76,-1.7,5.25,1.35,0.0,0.0
2020-02-18,-49279657.0,38541961.0,10737698.0,-23618958.0,-25660699.0,-13.59,10.63,2.96,-6.51,-7.08,5.26,0.19,0.0,0.0
2020-02-19,-53374357.0,36862274.0,16512084.0,-28696414.0,-24677943.0,-16.91,11.68,5.23,-9.09,-7.82,5.06,-3.8,0.0,0.0
2020-02-20,-16470365.0,13937440.0,2532925.0,-14650367.0,-1819998.0,-6.76,5.72,1.04,-6.01,-0.75,5.11,0.99,0.0,0.0
