date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-587783.0,2185789.0,-1598005.0,-587783.0,0.0,-4.34,16.13,-11.8,-4.34,0.0,8.13,-1.81,0.0,0.0
2020-01-09,239557.0,687201.0,-926757.0,239557.0,0.0,2.76,7.91,-10.66,2.76,0.0,8.17,0.49,0.0,0.0
2020-01-10,-2635712.0,1755483.0,880230.0,-2635712.0,0.0,-19.85,13.22,6.63,-19.85,0.0,8.15,-0.24,0.0,0.0
2020-01-13,-680333.0,890507.0,-210173.0,-680333.0,0.0,-5.12,6.7,-1.58,-5.12,0.0,8.16,0.12,0.0,0.0
2020-01-14,195855.0,139859.0,-335714.0,195855.0,0.0,1.64,1.17,-2.81,1.64,0.0,8.18,0.25,0.0,0.0
2020-01-15,74025.0,-829836.0,755812.0,74025.0,0.0,0.4,-4.51,4.11,0.4,0.0,8.25,0.86,0.0,0.0
2020-01-16,159626.0,181191.0,-340817.0,159626.0,0.0,1.23,1.39,-2.62,1.23,0.0,8.14,-1.33,0.0,0.0
2020-01-17,-636474.0,1936302.0,-1299826.0,-636474.0,0.0,-4.02,12.23,-8.21,-4.02,0.0,8.0,-1.72,0.0,0.0
2020-01-20,364891.0,118104.0,-482996.0,364891.0,0.0,3.07,0.99,-4.06,3.07,0.0,8.07,0.88,0.0,0.0
2020-01-21,-1441433.0,1959457.0,-518023.0,-1441433.0,0.0,-12.06,16.39,-4.33,-12.06,0.0,7.94,-1.61,0.0,0.0
2020-01-22,-470562.0,208724.0,261839.0,-470562.0,0.0,-4.56,2.02,2.54,-4.56,0.0,7.91,-0.38,0.0,0.0
2020-01-23,-2408472.0,4138617.0,-1730144.0,-2406952.0,-1520.0,-12.11,20.8,-8.7,-12.1,-0.01,7.61,-3.79,0.0,0.0
2020-02-03,1071597.0,2417847.0,-3489444.0,-260043.0,1331640.0,6.12,13.82,-19.94,-1.49,7.61,6.85,-9.99,0.0,0.0
2020-02-04,-1267641.0,1552328.0,-284686.0,-1267641.0,0.0,-5.42,6.64,-1.22,-5.42,0.0,7.02,2.48,0.0,0.0
2020-02-05,-818369.0,1463145.0,-644776.0,-818369.0,0.0,-4.27,7.64,-3.37,-4.27,0.0,6.96,-0.85,0.0,0.0
2020-02-06,-1052938.0,332272.0,720667.0,-1052938.0,0.0,-5.44,1.72,3.72,-5.44,0.0,7.07,1.58,0.0,0.0
2020-02-07,-1283065.0,1589823.0,-306759.0,-1283065.0,0.0,-7.74,9.59,-1.85,-7.74,0.0,7.03,-0.57,0.0,0.0
2020-02-10,688227.0,-622710.0,-65516.0,688227.0,0.0,4.89,-4.42,-0.47,4.89,0.0,7.16,1.85,0.0,0.0
2020-02-11,-1116329.0,1395038.0,-278710.0,-1116329.0,0.0,-9.2,11.5,-2.3,-9.2,0.0,7.12,-0.56,0.0,0.0
2020-02-12,-1070628.0,1223696.0,-153068.0,-1037117.0,-33511.0,-7.1,8.11,-1.02,-6.88,-0.22,7.14,0.28,0.0,0.0
2020-02-13,-1818508.0,2261567.0,-443059.0,-809722.0,-1008786.0,-13.07,16.26,-3.18,-5.82,-7.25,7.03,-1.54,0.0,0.0
