date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,2935419.0,-3767900.0,832480.0,-1375827.0,4311246.0,1.21,-1.55,0.34,-0.57,1.78,4.09,0.74,0.0,0.0
2020-01-09,-12019747.0,8693154.0,3326593.0,-8378847.0,-3640900.0,-9.07,6.56,2.51,-6.32,-2.75,4.11,0.49,0.0,0.0
2020-01-10,-20987085.0,13135728.0,7851357.0,-9831853.0,-11155232.0,-22.65,14.18,8.47,-10.61,-12.04,4.03,-1.95,0.0,0.0
2020-01-13,-7769474.0,4515686.0,3253789.0,-3550620.0,-4218854.0,-8.66,5.03,3.63,-3.96,-4.7,4.05,0.5,0.0,0.0
2020-01-14,-10871712.0,10139323.0,732390.0,-16661688.0,5789976.0,-3.71,3.46,0.25,-5.69,1.98,4.09,0.99,0.0,0.0
2020-01-15,-25763112.0,27733764.0,-1970652.0,-19459427.0,-6303685.0,-17.97,19.34,-1.37,-13.57,-4.4,3.93,-3.91,0.0,0.0
2020-01-16,27431169.0,-12447197.0,-14983973.0,10034751.0,17396418.0,10.56,-4.79,-5.77,3.86,6.7,4.12,4.83,0.0,0.0
2020-01-17,-5756274.0,7173942.0,-1417666.0,-608477.0,-5147797.0,-4.07,5.08,-1.0,-0.43,-3.64,4.07,-1.21,0.0,0.0
2020-01-20,-1029574.0,-3212188.0,4241761.0,1060593.0,-2090167.0,-0.6,-1.86,2.46,0.61,-1.21,4.13,1.47,0.0,0.0
2020-01-21,-8352900.0,2167772.0,6185128.0,-9558030.0,1205130.0,-6.96,1.81,5.15,-7.96,1.0,4.09,-0.97,0.0,0.0
2020-01-22,-8860305.0,6370345.0,2489960.0,-3627321.0,-5232984.0,-7.01,5.04,1.97,-2.87,-4.14,4.07,-0.49,0.0,0.0
