date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,5753467.0,1973462.0,-7726929.0,537117.0,5216350.0,5.4,1.85,-7.25,0.5,4.89,17.03,0.18,0.0,0.0
2020-01-09,11876308.0,-12739889.0,863580.0,-5268484.0,17144792.0,7.59,-8.14,0.55,-3.36,10.95,17.46,2.52,0.0,0.0
2020-01-10,18461579.0,-20448714.0,1987135.0,12066799.0,6394780.0,13.48,-14.93,1.45,8.81,4.67,17.78,1.83,0.0,0.0
2020-01-13,-13592910.0,9437544.0,4155366.0,-12524484.0,-1068426.0,-11.31,7.85,3.46,-10.42,-0.89,17.69,-0.51,0.0,0.0
2020-01-14,11510054.0,-8197731.0,-3312324.0,17096685.0,-5586631.0,9.29,-6.61,-2.67,13.79,-4.51,17.8,0.62,0.0,0.0
2020-01-15,-12504627.0,13326177.0,-821550.0,-8246202.0,-4258425.0,-14.37,15.32,-0.94,-9.48,-4.89,17.51,-1.63,0.0,0.0
2020-01-16,-4185565.0,9669315.0,-5483749.0,-4897467.0,711902.0,-5.18,11.96,-6.78,-6.06,0.88,17.67,0.91,0.0,0.0
2020-01-17,-7753020.0,6391631.0,1361391.0,-7907124.0,154104.0,-10.35,8.53,1.82,-10.56,0.21,17.56,-0.62,0.0,0.0
2020-01-20,11665421.0,4384071.0,-16049493.0,12335472.0,-670051.0,9.03,3.39,-12.42,9.54,-0.52,17.97,2.33,0.0,0.0
2020-01-21,-4782858.0,-503080.0,5285938.0,-2549362.0,-2233496.0,-3.66,-0.38,4.04,-1.95,-1.71,17.96,-0.06,0.0,0.0
2020-01-22,-17022341.0,19447980.0,-2425640.0,-17989317.0,966976.0,-12.16,13.89,-1.73,-12.85,0.69,17.98,0.11,0.0,0.0
2020-01-23,5354093.0,-5007522.0,-346571.0,1580060.0,3774033.0,1.49,-1.4,-0.1,0.44,1.05,16.77,-6.73,0.0,0.0
2020-02-03,-8908262.0,9356301.0,-448039.0,-8196182.0,-712080.0,-6.48,6.8,-0.33,-5.96,-0.52,15.09,-10.02,0.0,0.0
2020-02-04,-3039998.0,7964621.0,-4924621.0,-5924664.0,2884666.0,-1.31,3.43,-2.12,-2.55,1.24,16.29,7.95,0.0,0.0
2020-02-05,-589895.0,-2012581.0,2602477.0,-1749808.0,1159913.0,-0.44,-1.5,1.94,-1.31,0.87,16.43,0.86,0.0,0.0
2020-02-06,-15326594.0,10846095.0,4480498.0,-6994363.0,-8332231.0,-8.97,6.35,2.62,-4.09,-4.88,16.47,0.24,0.0,0.0
2020-02-07,-5124089.0,1209273.0,3914815.0,-7906506.0,2782417.0,-3.65,0.86,2.79,-5.63,1.98,16.59,0.73,0.0,0.0
2020-02-10,3277004.0,3088133.0,-6365137.0,-2893186.0,6170190.0,2.65,2.49,-5.14,-2.34,4.98,16.7,0.66,0.0,0.0
2020-02-11,7876916.0,-5073173.0,-2803743.0,5805847.0,2071069.0,6.92,-4.46,-2.46,5.1,1.82,16.7,0.0,0.0,0.0
2020-02-12,486821.0,2113312.0,-2600133.0,1161843.0,-675022.0,0.51,2.22,-2.73,1.22,-0.71,16.74,0.24,0.0,0.0
2020-02-13,-14778066.0,7171340.0,7606726.0,-8338195.0,-6439871.0,-10.19,4.94,5.24,-5.75,-4.44,16.85,0.66,0.0,0.0
2020-02-14,5322772.0,6010142.0,-11332914.0,-1185456.0,6508228.0,3.96,4.47,-8.43,-0.88,4.84,17.17,1.9,0.0,0.0
2020-02-17,8184236.0,-415125.0,-7769112.0,6099745.0,2084491.0,3.98,-0.2,-3.78,2.97,1.01,18.02,4.95,0.0,0.0
2020-02-18,-8120391.0,-1201920.0,9322312.0,3572338.0,-11692729.0,-4.05,-0.6,4.64,1.78,-5.83,17.52,-2.77,0.0,0.0
