date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-22037255.0,18424583.0,3612674.0,-17936181.0,-4101074.0,-22.38,18.71,3.67,-18.21,-4.16,13.96,-2.38,0.0,0.0
2020-01-09,-3992697.0,5009526.0,-1016828.0,-2496835.0,-1495862.0,-5.86,7.36,-1.49,-3.67,-2.2,14.0,0.29,0.0,0.0
2020-01-10,-1582944.0,3522014.0,-1939071.0,-1891734.0,308790.0,-2.76,6.14,-3.38,-3.3,0.54,14.11,0.79,0.0,0.0
2020-01-13,-2886077.0,11244295.0,-8358220.0,-3841591.0,955514.0,-3.52,13.72,-10.2,-4.69,1.17,14.1,-0.07,0.0,0.0
2020-01-14,2377683.0,-4976809.0,2599125.0,104193.0,2273490.0,2.6,-5.44,2.84,0.11,2.48,14.12,0.14,0.0,0.0
2020-01-15,-1872377.0,2957051.0,-1084674.0,-1872377.0,0.0,-3.37,5.33,-1.95,-3.37,0.0,14.06,-0.42,0.0,0.0
2020-01-16,-4211766.0,4129550.0,82216.0,-3506458.0,-705308.0,-11.99,11.76,0.23,-9.98,-2.01,13.91,-1.07,0.0,0.0
2020-01-17,4567706.0,1896283.0,-6463989.0,2117073.0,2450633.0,2.94,1.22,-4.16,1.36,1.58,14.52,4.39,0.0,0.0
2020-01-20,-1268895.0,-4457463.0,5726358.0,-1427786.0,158891.0,-1.33,-4.66,5.99,-1.49,0.17,14.21,-2.13,0.0,0.0
2020-01-21,-2782087.0,3060469.0,-278382.0,-2782087.0,0.0,-5.8,6.39,-0.58,-5.8,0.0,13.96,-1.76,0.0,0.0
2020-01-22,-4607094.0,1581941.0,3025154.0,-3138398.0,-1468696.0,-6.44,2.21,4.23,-4.39,-2.05,13.71,-1.79,0.0,0.0
2020-01-23,-8008028.0,16013314.0,-8005286.0,-7959484.0,-48544.0,-9.21,18.41,-9.21,-9.15,-0.06,13.17,-3.94,0.0,0.0
2020-02-03,9662702.0,428054.0,-10090757.0,-5183313.0,14846015.0,13.14,0.58,-13.72,-7.05,20.19,11.85,-10.02,0.0,0.0
2020-02-04,-5525335.0,-263613.0,5788948.0,-5178563.0,-346772.0,-5.22,-0.25,5.47,-4.9,-0.33,12.13,2.36,0.0,0.0
2020-02-05,9098805.0,3961603.0,-13060408.0,5532483.0,3566322.0,9.43,4.1,-13.53,5.73,3.7,12.55,3.46,0.0,0.0
2020-02-06,13316912.0,-5364011.0,-7952901.0,8678992.0,4637920.0,13.85,-5.58,-8.27,9.03,4.82,12.79,1.91,0.0,0.0
2020-02-07,5523127.0,-13299487.0,7776358.0,2687113.0,2836014.0,5.06,-12.19,7.13,2.46,2.6,13.24,3.52,0.0,0.0
2020-02-10,-1713593.0,-2496449.0,4210041.0,-864068.0,-849525.0,-1.82,-2.66,4.48,-0.92,-0.9,13.59,2.64,0.0,0.0
2020-02-11,-5324331.0,10838004.0,-5513674.0,-1562680.0,-3761651.0,-7.65,15.56,-7.92,-2.24,-5.4,13.34,-1.84,0.0,0.0
2020-02-12,-2646095.0,6991155.0,-4345061.0,-2421539.0,-224556.0,-2.69,7.1,-4.42,-2.46,-0.23,13.6,1.95,0.0,0.0
2020-02-13,5129795.0,5426851.0,-10556645.0,-2476903.0,7606698.0,1.97,2.09,-4.06,-0.95,2.93,14.15,4.04,0.0,0.0
2020-02-14,23236618.0,-17111222.0,-6125396.0,19994358.0,3242260.0,8.02,-5.91,-2.11,6.9,1.12,15.01,6.08,0.0,0.0
2020-02-17,-73122659.0,52978852.0,20143808.0,-48006401.0,-25116258.0,-13.32,9.65,3.67,-8.75,-4.58,16.05,6.93,0.0,0.0
2020-02-18,-26993021.0,25951984.0,1041037.0,-14269568.0,-12723453.0,-8.03,7.72,0.31,-4.24,-3.78,14.94,-6.92,0.0,0.0
2020-02-19,-6914708.0,6418948.0,495762.0,-785956.0,-6128752.0,-3.81,3.53,0.27,-0.43,-3.37,14.58,-2.41,0.0,0.0
