date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-19697269.0,21170605.0,-1473336.0,-13461639.0,-6235630.0,-15.22,16.36,-1.14,-10.4,-4.82,11.5,-2.62,0.0,0.0
2020-01-09,11154219.0,-4254069.0,-6900150.0,8416551.0,2737668.0,8.06,-3.07,-4.98,6.08,1.98,11.83,2.87,0.0,0.0
2020-01-10,-758272.0,7763616.0,-7005345.0,5791692.0,-6549964.0,-0.56,5.77,-5.21,4.3,-4.87,11.87,0.34,0.0,0.0
2020-01-13,7235797.0,-3893430.0,-3342368.0,6992076.0,243721.0,6.43,-3.46,-2.97,6.22,0.22,12.04,1.43,0.0,0.0
2020-01-14,-12601262.0,13214473.0,-613211.0,-11309161.0,-1292101.0,-14.61,15.32,-0.71,-13.11,-1.5,11.92,-1.0,0.0,0.0
2020-01-15,-4261577.0,9121549.0,-4859973.0,-4472552.0,210975.0,-3.22,6.9,-3.67,-3.38,0.16,12.03,0.92,0.0,0.0
2020-01-16,-4872336.0,7930839.0,-3058503.0,-2175468.0,-2696868.0,-5.52,8.98,-3.46,-2.46,-3.06,11.94,-0.75,0.0,0.0
2020-01-17,-12764315.0,14732682.0,-1968367.0,-11370363.0,-1393952.0,-12.0,13.86,-1.85,-10.69,-1.31,11.86,-0.67,0.0,0.0
2020-01-20,-30506704.0,28520045.0,1986659.0,-23334839.0,-7171865.0,-19.91,18.61,1.3,-15.23,-4.68,11.88,0.17,0.0,0.0
2020-01-21,8099808.0,-2798145.0,-5301664.0,-4940673.0,13040481.0,3.12,-1.08,-2.04,-1.91,5.03,12.23,2.95,0.0,0.0
2020-01-22,-5684170.0,6463037.0,-778866.0,-4557041.0,-1127129.0,-3.29,3.74,-0.45,-2.63,-0.65,11.96,-2.21,0.0,0.0
2020-01-23,-9195582.0,12844677.0,-3649095.0,-8071839.0,-1123743.0,-6.04,8.43,-2.4,-5.3,-0.74,11.6,-3.01,0.0,0.0
2020-02-03,-13823542.0,16059020.0,-2235478.0,-9159806.0,-4663736.0,-7.38,8.57,-1.19,-4.89,-2.49,10.67,-8.02,0.0,0.0
2020-02-04,-11486601.0,7420553.0,4066047.0,-12211520.0,724919.0,-6.82,4.41,2.41,-7.25,0.43,11.17,4.69,0.0,0.0
