date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-22207696.0,19485413.0,2722281.0,-11059696.0,-11148000.0,-5.5,4.83,0.67,-2.74,-2.76,26.5,-2.21,0.0,0.0
2020-01-09,59043953.0,-30201443.0,-28842511.0,7884312.0,51159641.0,8.05,-4.12,-3.93,1.08,6.98,27.69,4.49,0.0,0.0
2020-01-10,-60954673.0,21226613.0,39728060.0,-23399677.0,-37554996.0,-11.06,3.85,7.21,-4.24,-6.81,27.68,-0.04,0.0,0.0
2020-01-13,31565986.0,-5982394.0,-25583591.0,9510755.0,22055231.0,7.0,-1.33,-5.67,2.11,4.89,28.06,1.37,0.0,0.0
2020-01-14,-79232782.0,46627825.0,32604956.0,-28505518.0,-50727264.0,-18.35,10.8,7.55,-6.6,-11.75,27.33,-2.6,0.0,0.0
2020-01-15,35487365.0,-9851139.0,-25636226.0,1939428.0,33547937.0,9.82,-2.73,-7.09,0.54,9.28,27.86,1.94,0.0,0.0
2020-01-16,-18449280.0,1966948.0,16482333.0,-8194918.0,-10254362.0,-7.28,0.78,6.5,-3.23,-4.05,27.65,-0.75,0.0,0.0
2020-01-17,23508856.0,-8526643.0,-14982214.0,-22524687.0,46033543.0,5.41,-1.96,-3.45,-5.18,10.59,27.97,1.16,0.0,0.0
2020-01-20,-86841223.0,56122585.0,30718639.0,-34179800.0,-52661423.0,-15.28,9.87,5.4,-6.01,-9.26,27.41,-2.0,0.0,0.0
2020-01-21,-62447920.0,40184838.0,22263082.0,-24993754.0,-37454166.0,-19.12,12.3,6.82,-7.65,-11.47,26.6,-2.96,0.0,0.0
2020-01-22,-15299801.0,25202098.0,-9902297.0,-24275984.0,8976183.0,-3.75,6.17,-2.43,-5.95,2.2,26.74,0.53,0.0,0.0
2020-01-23,-69919732.0,43323691.0,26596040.0,-36846654.0,-33073078.0,-12.69,7.86,4.83,-6.69,-6.0,25.72,-3.81,0.0,0.0
2020-02-03,-13642758.0,10906891.0,2735867.0,-7391332.0,-6251426.0,-36.73,29.37,7.37,-19.9,-16.83,23.15,-9.99,0.0,0.0
2020-02-04,-17646139.0,11542157.0,6103981.0,-8010086.0,-9636053.0,-3.6,2.36,1.25,-1.63,-1.97,21.9,-5.4,0.0,0.0
2020-02-05,-32379999.0,47703161.0,-15323161.0,-29943575.0,-2436424.0,-7.45,10.98,-3.53,-6.89,-0.56,22.55,2.97,0.0,0.0
2020-02-06,-2952053.0,17068780.0,-14116727.0,-15153309.0,12201256.0,-0.8,4.65,-3.85,-4.13,3.32,23.3,3.33,0.0,0.0
2020-02-07,35056582.0,-20020838.0,-15035745.0,10931709.0,24124873.0,7.85,-4.48,-3.36,2.45,5.4,24.56,5.41,0.0,0.0
