date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-41734476.0,31968057.0,9766418.0,-26619563.0,-15114913.0,-14.66,11.23,3.43,-9.35,-5.31,6.36,-2.9,0.0,0.0
2020-01-09,9227804.0,-4448186.0,-4779619.0,2637738.0,6590066.0,5.35,-2.58,-2.77,1.53,3.82,6.48,1.89,0.0,0.0
2020-01-10,-11275831.0,11202925.0,72905.0,-10708555.0,-567276.0,-8.42,8.36,0.05,-7.99,-0.42,6.44,-0.62,0.0,0.0
2020-01-13,-9829570.0,12729960.0,-2900391.0,-9749914.0,-79656.0,-7.33,9.5,-2.16,-7.27,-0.06,6.42,-0.31,0.0,0.0
2020-01-14,9168191.0,-5311293.0,-3856898.0,-2140061.0,11308252.0,2.65,-1.54,-1.12,-0.62,3.27,6.57,2.34,0.0,0.0
2020-01-15,-28213933.0,20288679.0,7925255.0,-12143312.0,-16070621.0,-18.21,13.09,5.11,-7.84,-10.37,6.44,-1.98,0.0,0.0
2020-01-16,11937246.0,-5967122.0,-5970123.0,-2057827.0,13995073.0,4.0,-2.0,-2.0,-0.69,4.69,6.63,2.95,0.0,0.0
2020-01-17,24919938.0,-25270674.0,350736.0,7894085.0,17025853.0,5.67,-5.75,0.08,1.8,3.87,6.9,4.07,0.0,0.0
2020-01-20,-21035664.0,20396085.0,639580.0,-9841716.0,-11193948.0,-6.28,6.09,0.19,-2.94,-3.34,6.89,-0.14,0.0,0.0
2020-01-21,-53533295.0,44696568.0,8836728.0,-23685082.0,-29848213.0,-20.21,16.88,3.34,-8.94,-11.27,6.6,-4.21,0.0,0.0
2020-01-22,-34700712.0,28550496.0,6150217.0,-22178679.0,-12522033.0,-13.86,11.41,2.46,-8.86,-5.0,6.34,-3.94,0.0,0.0
2020-01-23,-51870813.0,56607584.0,-4736770.0,-35283627.0,-16587186.0,-22.09,24.11,-2.02,-15.03,-7.07,5.97,-5.84,0.0,0.0
2020-02-03,6942171.0,13630355.0,-20572527.0,-22398294.0,29340465.0,2.34,4.59,-6.93,-7.55,9.89,5.6,-6.2,0.0,0.0
2020-02-04,-40684983.0,22737123.0,17947860.0,-21018972.0,-19666011.0,-15.95,8.92,7.04,-8.24,-7.71,5.65,0.89,0.0,0.0
2020-02-05,-10994697.0,12681404.0,-1686707.0,-7547395.0,-3447302.0,-5.09,5.87,-0.78,-3.49,-1.6,5.72,1.24,0.0,0.0
2020-02-06,-8639148.0,4984782.0,3654366.0,-8097187.0,-541961.0,-3.81,2.2,1.61,-3.57,-0.24,5.78,1.05,0.0,0.0
2020-02-07,-2126892.0,9840768.0,-7713877.0,-5000518.0,2873626.0,-1.03,4.76,-3.73,-2.42,1.39,5.8,0.35,0.0,0.0
