date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-48310104.0,43516581.0,4793523.0,-22080959.0,-26229145.0,-11.54,10.4,1.15,-5.28,-6.27,4.2,-2.1,0.0,0.0
2020-01-09,-18333263.0,9022976.0,9310286.0,-19341838.0,1008575.0,-3.97,1.95,2.02,-4.19,0.22,4.27,1.67,0.0,0.0
2020-01-10,-28100027.0,18520665.0,9579362.0,-22231956.0,-5868071.0,-4.48,2.95,1.53,-3.55,-0.94,4.33,1.41,0.0,0.0
2020-01-13,-10529991.0,25949795.0,-15419805.0,-23911385.0,13381394.0,-1.8,4.43,-2.63,-4.08,2.28,4.4,1.62,0.0,0.0
2020-01-14,-50761462.0,30789931.0,19971531.0,-22891383.0,-27870079.0,-12.01,7.28,4.72,-5.41,-6.59,4.27,-2.95,0.0,0.0
2020-01-15,167643001.0,-81782802.0,-85860201.0,27732400.0,139910601.0,29.81,-14.54,-15.27,4.93,24.88,4.7,10.07,0.0,0.0
2020-01-16,-125281408.0,84190544.0,41090848.0,-36681193.0,-88600215.0,-10.95,7.36,3.59,-3.21,-7.74,4.59,-2.34,0.0,0.0
2020-01-17,-187693613.0,129900428.0,57793200.0,-126732438.0,-60961175.0,-21.75,15.05,6.7,-14.68,-7.06,4.36,-5.01,0.0,0.0
2020-01-20,-15004127.0,9823560.0,5180568.0,-8831779.0,-6172348.0,-3.39,2.22,1.17,-2.0,-1.4,4.41,1.15,0.0,0.0
2020-01-21,11414372.0,1357153.0,-12771524.0,-8766262.0,20180634.0,2.18,0.26,-2.44,-1.68,3.86,4.42,0.23,0.0,0.0
2020-01-22,-19268962.0,20708979.0,-1440016.0,-11217685.0,-8051277.0,-37.5,40.3,-2.8,-21.83,-15.67,3.98,-9.95,0.0,0.0
2020-01-23,-12514254.0,12755719.0,-241464.0,-7668503.0,-4845751.0,-34.75,35.43,-0.67,-21.3,-13.46,3.58,-10.05,0.0,0.0
2020-02-03,-6243914.0,6174086.0,69829.0,-4413982.0,-1829932.0,-41.13,40.67,0.46,-29.08,-12.05,3.22,-10.06,0.0,0.0
2020-02-04,-119048442.0,122721447.0,-3673008.0,-99851470.0,-19196972.0,-13.37,13.78,-0.41,-11.21,-2.16,3.03,-5.9,0.0,0.0
2020-02-05,-52289699.0,54264413.0,-1974714.0,-31527849.0,-20761850.0,-8.09,8.39,-0.31,-4.88,-3.21,3.01,-0.66,0.0,0.0
2020-02-06,-3663462.0,35276896.0,-31613424.0,-20862595.0,17199133.0,-0.44,4.25,-3.81,-2.51,2.07,3.31,9.97,0.0,0.0
2020-02-07,-54586651.0,58428432.0,-3841792.0,-55708899.0,1122248.0,-6.47,6.92,-0.46,-6.6,0.13,3.35,1.21,0.0,0.0
2020-02-10,-45001442.0,44328666.0,672775.0,-30727077.0,-14274365.0,-9.85,9.71,0.15,-6.73,-3.13,3.26,-2.69,0.0,0.0
2020-02-11,-67152310.0,56732304.0,10420007.0,-27260599.0,-39891711.0,-14.91,12.59,2.31,-6.05,-8.85,3.11,-4.6,0.0,0.0
2020-02-12,-7689275.0,10691842.0,-3002566.0,3819567.0,-11508842.0,-1.98,2.75,-0.77,0.98,-2.96,3.19,2.57,0.0,0.0
2020-02-13,-45004916.0,45530042.0,-525126.0,-13502233.0,-31502683.0,-12.79,12.94,-0.15,-3.84,-8.95,3.1,-2.82,0.0,0.0
2020-02-14,-16298126.0,26626836.0,-10328708.0,-8707870.0,-7590256.0,-6.13,10.01,-3.88,-3.27,-2.85,3.06,-1.29,0.0,0.0
2020-02-17,-3647900.0,7701117.0,-4053217.0,-9600452.0,5952552.0,-1.2,2.54,-1.34,-3.17,1.97,3.17,3.59,0.0,0.0
2020-02-18,-4587643.0,13751093.0,-9163450.0,-15004288.0,10416645.0,-0.9,2.69,-1.8,-2.94,2.04,3.3,4.1,0.0,0.0
2020-02-19,-22215154.0,30751254.0,-8536100.0,-21586300.0,-628854.0,-5.81,8.04,-2.23,-5.65,-0.16,3.21,-2.73,0.0,0.0
2020-02-20,-10065568.0,24132290.0,-14066723.0,-4390404.0,-5675164.0,-2.72,6.51,-3.8,-1.19,-1.53,3.28,2.18,0.0,0.0
2020-02-21,-15679083.0,18838904.0,-3159820.0,-18961253.0,3282170.0,-3.15,3.79,-0.63,-3.81,0.66,3.35,2.13,0.0,0.0
2020-02-24,-33172694.0,38202828.0,-5030134.0,-30775418.0,-2397276.0,-6.56,7.55,-0.99,-6.09,-0.47,3.45,2.99,0.0,0.0
2020-02-25,-32573789.0,41689011.0,-9115222.0,-17465546.0,-15108243.0,-6.46,8.27,-1.81,-3.46,-3.0,3.4,-1.45,0.0,0.0
2020-02-26,-41304029.0,39876476.0,1427553.0,-20591231.0,-20712798.0,-6.91,6.68,0.24,-3.45,-3.47,3.41,0.29,0.0,0.0
2020-02-27,-49036482.0,46814984.0,2221498.0,-34842720.0,-14193762.0,-12.61,12.04,0.57,-8.96,-3.65,3.33,-2.35,0.0,0.0
2020-02-28,-49463838.0,60555012.0,-11091175.0,-37288644.0,-12175194.0,-12.82,15.69,-2.87,-9.66,-3.15,3.1,-6.91,0.0,0.0
2020-03-02,-11510398.0,19811974.0,-8301576.0,-3249860.0,-8260538.0,-3.64,6.27,-2.63,-1.03,-2.61,3.16,1.94,0.0,0.0
2020-03-03,-27164515.0,30335109.0,-3170592.0,-22823041.0,-4341474.0,-8.9,9.94,-1.04,-7.48,-1.42,3.15,-0.32,0.0,0.0
2020-03-04,-14284440.0,19229824.0,-4945384.0,-5272992.0,-9011448.0,-6.98,9.4,-2.42,-2.58,-4.4,3.14,-0.32,0.0,0.0
2020-03-05,10650730.0,715401.0,-11366131.0,2282806.0,8367924.0,2.91,0.2,-3.1,0.62,2.28,3.23,2.87,0.0,0.0
2020-03-06,13133984.0,17968125.0,-31102110.0,-22673088.0,35807072.0,2.11,2.88,-4.99,-3.64,5.74,3.34,3.41,0.0,0.0
2020-03-09,-28021668.0,41741413.0,-13719746.0,-28272060.0,250392.0,-4.79,7.14,-2.35,-4.84,0.04,3.37,0.9,0.0,0.0
2020-03-10,-38414168.0,39967812.0,-1553644.0,-22674881.0,-15739287.0,-8.82,9.17,-0.36,-5.2,-3.61,3.34,-0.89,0.0,0.0
2020-03-11,-66021156.0,54687747.0,11333409.0,-21599364.0,-44421792.0,-16.27,13.48,2.79,-5.32,-10.95,3.19,-4.49,0.0,0.0
2020-03-12,-2386076.0,19061935.0,-16675859.0,-5981033.0,3594957.0,-0.98,7.83,-6.85,-2.46,1.48,3.17,-0.63,0.0,0.0
2020-03-13,-12564661.0,24090782.0,-11526121.0,-7078789.0,-5485872.0,-4.65,8.92,-4.27,-2.62,-2.03,3.11,-1.89,0.0,0.0
