date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5350090.0,6501733.0,-1151643.0,-5350090.0,0.0,-11.18,13.58,-2.41,-11.18,0.0,21.76,-2.81,0.0,0.0
2020-01-09,-2233799.0,987519.0,1246280.0,-2231598.0,-2201.0,-7.63,3.37,4.25,-7.62,-0.01,22.02,1.19,0.0,0.0
2020-01-10,1177111.0,233382.0,-1410493.0,1177111.0,0.0,4.01,0.79,-4.8,4.01,0.0,22.19,0.77,0.0,0.0
2020-01-13,464184.0,-1739370.0,1275185.0,1803453.0,-1339269.0,1.22,-4.56,3.35,4.73,-3.51,22.48,1.31,0.0,0.0
2020-01-14,-2194662.0,1509191.0,685470.0,-2310778.0,116116.0,-6.9,4.75,2.16,-7.27,0.37,22.28,-0.89,0.0,0.0
2020-01-15,-51553.0,673447.0,-621894.0,-51553.0,0.0,-0.25,3.25,-3.0,-0.25,0.0,22.31,0.13,0.0,0.0
2020-01-16,-1346315.0,4450124.0,-3103808.0,-1346315.0,0.0,-5.58,18.43,-12.85,-5.58,0.0,22.08,-1.03,0.0,0.0
2020-01-17,3804783.0,-1886610.0,-1918174.0,2821335.0,983448.0,7.2,-3.57,-3.63,5.34,1.86,22.67,2.67,0.0,0.0
2020-01-20,-892952.0,1686573.0,-793621.0,-854348.0,-38604.0,-2.06,3.9,-1.83,-1.97,-0.09,22.74,0.31,0.0,0.0
2020-01-21,-1112017.0,-8435678.0,9547695.0,523283.0,-1635300.0,-0.92,-6.95,7.87,0.43,-1.35,24.02,5.63,0.0,0.0
2020-01-22,-593625.0,1528650.0,-935025.0,-584285.0,-9340.0,-0.89,2.29,-1.4,-0.88,-0.01,23.3,-3.0,0.0,0.0
2020-01-23,-5143168.0,7671706.0,-2528538.0,-3820421.0,-1322747.0,-8.76,13.07,-4.31,-6.51,-2.25,22.39,-3.91,0.0,0.0
2020-02-03,-5119519.0,9364677.0,-4245157.0,-4712895.0,-406624.0,-9.44,17.26,-7.83,-8.69,-0.75,20.15,-10.0,0.0,0.0
2020-02-04,-2814299.0,1694775.0,1119524.0,1796475.0,-4610774.0,-5.68,3.42,2.26,3.62,-9.3,20.75,2.98,0.0,0.0
2020-02-05,-1887344.0,340517.0,1546828.0,-1287030.0,-600314.0,-3.61,0.65,2.96,-2.46,-1.15,21.5,3.61,0.0,0.0
2020-02-06,-894212.0,1761747.0,-867534.0,-894212.0,0.0,-1.3,2.57,-1.26,-1.3,0.0,21.92,1.95,0.0,0.0
2020-02-07,-994182.0,3624325.0,-2630143.0,-994182.0,0.0,-2.04,7.42,-5.38,-2.04,0.0,21.8,-0.55,0.0,0.0
2020-02-10,-3151258.0,3721202.0,-569945.0,-3151258.0,0.0,-8.39,9.91,-1.52,-8.39,0.0,21.38,-1.93,0.0,0.0
2020-02-11,-5390769.0,6229386.0,-838617.0,-4382769.0,-1008000.0,-15.26,17.63,-2.37,-12.4,-2.85,21.12,-1.22,0.0,0.0
2020-02-12,-1644118.0,3060495.0,-1416376.0,-1644118.0,0.0,-6.56,12.22,-5.65,-6.56,0.0,21.16,0.19,0.0,0.0
2020-02-13,-4586607.0,5256746.0,-670140.0,-3816784.0,-769823.0,-16.03,18.38,-2.34,-13.34,-2.69,20.85,-1.47,0.0,0.0
2020-02-14,153827.0,807408.0,-961234.0,153827.0,0.0,0.78,4.09,-4.87,0.78,0.0,20.95,0.48,0.0,0.0
2020-02-17,3105400.0,-2123174.0,-982225.0,2041803.0,1063597.0,9.79,-6.69,-3.1,6.43,3.35,21.5,2.63,0.0,0.0
2020-02-18,-3297770.0,4557404.0,-1259634.0,-3297770.0,0.0,-10.32,14.26,-3.94,-10.32,0.0,21.46,-0.19,0.0,0.0
2020-02-19,-2377520.0,1865475.0,512047.0,-2377520.0,0.0,-9.23,7.24,1.99,-9.23,0.0,21.34,-0.56,0.0,0.0
2020-02-20,5354563.0,-5573424.0,218861.0,3495864.0,1858699.0,10.58,-11.02,0.43,6.91,3.67,22.1,3.56,0.0,0.0
2020-02-21,-6215802.0,4673617.0,1542186.0,-4894085.0,-1321717.0,-9.43,7.09,2.34,-7.42,-2.0,22.19,0.41,0.0,0.0
2020-02-24,-968429.0,3170695.0,-2202267.0,-968429.0,0.0,-2.41,7.88,-5.48,-2.41,0.0,21.94,-1.13,0.0,0.0
2020-02-25,-878499.0,3881453.0,-3002954.0,-1814012.0,935513.0,-1.88,8.3,-6.42,-3.88,2.0,22.07,0.59,0.0,0.0
2020-02-26,-1848505.0,4768060.0,-2919555.0,-1914085.0,65580.0,-5.12,13.22,-8.09,-5.31,0.18,21.65,-1.9,0.0,0.0
2020-02-27,7485746.0,-5689823.0,-1795923.0,3758191.0,3727555.0,14.01,-10.65,-3.36,7.03,6.98,22.89,5.73,0.0,0.0
2020-02-28,-2953908.0,6065333.0,-3111425.0,-2953908.0,0.0,-5.54,11.38,-5.84,-5.54,0.0,21.55,-5.85,0.0,0.0
2020-03-02,910845.0,-1625884.0,715038.0,740919.0,169926.0,2.64,-4.72,2.07,2.15,0.49,22.13,2.69,0.0,0.0
2020-03-03,2283376.0,-2461269.0,177893.0,411772.0,1871604.0,4.42,-4.77,0.34,0.8,3.62,22.2,0.32,0.0,0.0
2020-03-04,-198809.0,263867.0,-65058.0,-198809.0,0.0,-0.79,1.05,-0.26,-0.79,0.0,22.18,-0.09,0.0,0.0
2020-03-05,-2158698.0,1509488.0,649209.0,-2158698.0,0.0,-5.8,4.06,1.75,-5.8,0.0,22.33,0.68,0.0,0.0
2020-03-06,2365618.0,-2108317.0,-257301.0,363942.0,2001676.0,5.49,-4.89,-0.6,0.84,4.65,22.52,0.85,0.0,0.0
2020-03-09,-5331228.0,7851611.0,-2520384.0,-5331228.0,0.0,-13.4,19.74,-6.34,-13.4,0.0,21.85,-2.98,0.0,0.0
2020-03-10,-173958.0,2764151.0,-2590193.0,-173958.0,0.0,-0.52,8.34,-7.82,-0.52,0.0,21.88,0.14,0.0,0.0
2020-03-11,-104555.0,1440268.0,-1335713.0,-104555.0,0.0,-0.47,6.45,-5.98,-0.47,0.0,21.71,-0.78,0.0,0.0
2020-03-12,-3864566.0,6810556.0,-2945989.0,-3864566.0,0.0,-13.64,24.04,-10.4,-13.64,0.0,21.03,-3.13,0.0,0.0
2020-03-13,-1054558.0,1805942.0,-751385.0,-1054558.0,0.0,-4.28,7.34,-3.05,-4.28,0.0,20.65,-1.81,0.0,0.0
2020-03-16,-4457946.0,2551285.0,1906660.0,-3435689.0,-1022257.0,-16.78,9.6,7.18,-12.93,-3.85,20.24,-1.99,0.0,0.0
2020-03-17,273650.0,1070304.0,-1343953.0,273650.0,0.0,1.57,6.16,-7.73,1.57,0.0,20.3,0.3,0.0,0.0
2020-03-18,-1735706.0,1829273.0,-93567.0,-1503159.0,-232547.0,-9.2,9.7,-0.5,-7.97,-1.23,20.03,-1.33,0.0,0.0
2020-03-19,-2682234.0,4333661.0,-1651427.0,-2647941.0,-34293.0,-13.19,21.31,-8.12,-13.02,-0.17,19.84,-0.95,0.0,0.0
2020-03-20,-1345181.0,1120038.0,225143.0,-1345181.0,0.0,-10.17,8.47,1.7,-10.17,0.0,20.05,1.06,0.0,0.0
2020-03-23,-6939960.0,8922662.0,-1982701.0,-6939960.0,0.0,-21.99,28.27,-6.28,-21.99,0.0,19.47,-2.89,0.0,0.0
2020-03-24,-23687804.0,19198741.0,4489063.0,-23687804.0,0.0,-40.08,32.49,7.6,-40.08,0.0,19.1,-1.9,0.0,0.0
2020-03-25,-161058.0,462959.0,-301901.0,-161058.0,0.0,-0.55,1.58,-1.03,-0.55,0.0,19.33,1.2,0.0,0.0
2020-03-26,-3516440.0,2193686.0,1322753.0,-2209366.0,-1307074.0,-13.8,8.61,5.19,-8.67,-5.13,19.29,-0.21,0.0,0.0
2020-03-27,1157762.0,-2111122.0,953359.0,-647959.0,1805721.0,2.62,-4.77,2.16,-1.47,4.08,19.8,2.64,0.0,0.0
2020-03-30,-696067.0,-2178434.0,2874501.0,-462427.0,-233640.0,-1.13,-3.55,4.69,-0.75,-0.38,20.29,2.47,0.0,0.0
2020-03-31,-770303.0,2724052.0,-1953749.0,-692459.0,-77844.0,-2.22,7.84,-5.62,-1.99,-0.22,20.07,-1.08,0.0,0.0
2020-04-01,-951045.0,169747.0,781298.0,-951045.0,0.0,-4.24,0.76,3.49,-4.24,0.0,19.74,-1.64,0.0,0.0
2020-04-02,-494272.0,2907644.0,-2413371.0,-1125724.0,631452.0,-1.86,10.94,-9.08,-4.23,2.37,19.68,-0.3,0.0,0.0
2020-04-03,-1023899.0,633954.0,389947.0,-1023899.0,0.0,-4.04,2.5,1.54,-4.04,0.0,19.87,0.97,0.0,0.0
2020-04-07,936763.0,-226957.0,-709806.0,-268371.0,1205134.0,3.64,-0.88,-2.75,-1.04,4.68,20.08,1.06,0.0,0.0
2020-04-08,191896.0,1129769.0,-1321665.0,191896.0,0.0,0.98,5.76,-6.74,0.98,0.0,20.09,0.05,0.0,0.0
2020-04-09,719549.0,430929.0,-1150477.0,719549.0,0.0,3.28,1.96,-5.24,3.28,0.0,20.24,0.75,0.0,0.0
2020-04-10,-704172.0,611518.0,92654.0,-704172.0,0.0,-3.21,2.79,0.42,-3.21,0.0,19.97,-1.33,0.0,0.0
2020-04-13,-1614099.0,2799930.0,-1185831.0,-1614099.0,0.0,-8.48,14.71,-6.23,-8.48,0.0,20.03,0.3,0.0,0.0
2020-04-14,-587465.0,303649.0,283815.0,-587465.0,0.0,-3.06,1.58,1.48,-3.06,0.0,20.2,0.85,0.0,0.0
2020-04-15,5368278.0,-5011665.0,-356614.0,4347153.0,1021125.0,11.77,-10.99,-0.78,9.53,2.24,20.59,1.93,0.0,0.0
2020-04-16,-1109958.0,4190313.0,-3080355.0,-116028.0,-993930.0,-2.44,9.23,-6.78,-0.26,-2.19,20.6,0.05,0.0,0.0
2020-04-17,-1918055.0,4225702.0,-2307646.0,-1918055.0,0.0,-5.69,12.53,-6.84,-5.69,0.0,20.28,-1.55,0.0,0.0
2020-04-20,-2630777.0,3160568.0,-529791.0,-1579910.0,-1050867.0,-12.17,14.63,-2.45,-7.31,-4.86,20.25,-0.15,0.0,0.0
