date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2468042.0,5608476.0,-3140434.0,-8269486.0,5801444.0,-1.04,2.37,-1.32,-3.49,2.45,37.11,1.03,0.0,0.0
2020-01-09,2631793.0,-5652053.0,3020260.0,4034284.0,-1402491.0,1.3,-2.8,1.5,2.0,-0.69,37.13,0.05,0.0,0.0
2020-01-10,-20666399.0,1462591.0,19203807.0,-9474457.0,-11191942.0,-7.21,0.51,6.7,-3.31,-3.91,36.77,-0.97,0.0,0.0
2020-01-13,-3755926.0,22475007.0,-18719081.0,-5975299.0,2219373.0,-1.14,6.8,-5.67,-1.81,0.67,36.65,-0.33,0.0,0.0
2020-01-14,-5905474.0,-8497112.0,14402584.0,-6108317.0,202843.0,-2.37,-3.4,5.77,-2.45,0.08,36.46,-0.52,0.0,0.0
2020-01-15,-1132780.0,-969002.0,2101782.0,-1116500.0,-16280.0,-0.79,-0.68,1.47,-0.78,-0.01,36.4,-0.16,0.0,0.0
2020-01-16,1900996.0,8386004.0,-10287000.0,-369965.0,2270961.0,1.25,5.52,-6.77,-0.24,1.49,36.25,-0.41,0.0,0.0
2020-01-17,-10650337.0,246412.0,10403924.0,-7852332.0,-2798005.0,-4.52,0.1,4.42,-3.33,-1.19,36.35,0.28,0.0,0.0
2020-01-20,-11430598.0,3951056.0,7479541.0,-7394059.0,-4036539.0,-3.95,1.37,2.59,-2.56,-1.4,36.14,-0.58,0.0,0.0
2020-01-21,-7565649.0,3862374.0,3703276.0,-2556688.0,-5008961.0,-2.42,1.24,1.19,-0.82,-1.6,35.34,-2.21,0.0,0.0
2020-01-22,-15114615.0,912206.0,14202410.0,-4709315.0,-10405300.0,-6.6,0.4,6.2,-2.06,-4.54,35.37,0.08,0.0,0.0
2020-01-23,-26105666.0,19283467.0,6822198.0,-21054931.0,-5050735.0,-7.68,5.67,2.01,-6.19,-1.49,33.7,-4.72,0.0,0.0
2020-02-03,42768353.0,-22588271.0,-20180081.0,42800071.0,-31718.0,7.59,-4.01,-3.58,7.59,-0.01,32.65,-3.12,0.0,0.0
2020-02-04,57392899.0,-48982790.0,-8410109.0,47236638.0,10156261.0,10.41,-8.89,-1.53,8.57,1.84,31.99,-2.02,0.0,0.0
2020-02-05,-2146644.0,-39988078.0,42134721.0,5947014.0,-8093658.0,-0.46,-8.6,9.06,1.28,-1.74,31.8,-0.59,0.0,0.0
2020-02-06,7227366.0,-46307911.0,39080545.0,8318053.0,-1090687.0,1.51,-9.66,8.15,1.74,-0.23,33.12,4.15,0.0,0.0
2020-02-07,-8355452.0,8073042.0,282409.0,-3395398.0,-4960054.0,-3.39,3.27,0.11,-1.38,-2.01,32.8,-0.97,0.0,0.0
2020-02-10,28485994.0,-42487701.0,14001707.0,28364757.0,121237.0,8.09,-12.07,3.98,8.06,0.03,33.85,3.2,0.0,0.0
2020-02-11,17642740.0,1828907.0,-19471648.0,11409608.0,6233132.0,4.32,0.45,-4.77,2.79,1.53,33.86,0.03,0.0,0.0
2020-02-12,-7197747.0,5024321.0,2173426.0,-6993465.0,-204282.0,-2.63,1.84,0.79,-2.56,-0.07,33.55,-0.92,0.0,0.0
2020-02-13,-45605900.0,32881858.0,12724043.0,-32451124.0,-13154776.0,-18.41,13.27,5.14,-13.1,-5.31,32.95,-1.79,0.0,0.0
2020-02-14,33236711.0,-20623914.0,-12612797.0,20258839.0,12977872.0,9.82,-6.09,-3.73,5.99,3.83,34.03,3.28,0.0,0.0
2020-02-17,-21829612.0,19033763.0,2795849.0,-14913557.0,-6916055.0,-6.5,5.67,0.83,-4.44,-2.06,34.22,0.56,0.0,0.0
2020-02-18,-13932678.0,15131895.0,-1199216.0,-5125163.0,-8807515.0,-4.73,5.13,-0.41,-1.74,-2.99,33.5,-2.1,0.0,0.0
2020-02-19,9609189.0,12160814.0,-21770004.0,13674547.0,-4065358.0,3.39,4.29,-7.69,4.83,-1.44,33.55,0.15,0.0,0.0
2020-02-20,-3315420.0,-9183854.0,12499275.0,-16009947.0,12694527.0,-0.97,-2.69,3.66,-4.69,3.72,34.65,3.28,0.0,0.0
2020-02-21,-16567070.0,13781630.0,2785439.0,-15330832.0,-1236238.0,-7.13,5.93,1.2,-6.6,-0.53,34.57,-0.23,0.0,0.0
2020-02-24,-3049688.0,6820351.0,-3770663.0,-8117933.0,5068245.0,-1.32,2.96,-1.63,-3.52,2.2,34.36,-0.61,0.0,0.0
2020-02-25,-51694310.0,48049198.0,3645113.0,-31462591.0,-20231719.0,-11.58,10.77,0.82,-7.05,-4.53,33.36,-2.91,0.0,0.0
2020-02-26,-22346496.0,9844689.0,12501807.0,-14559784.0,-7786712.0,-7.61,3.35,4.26,-4.96,-2.65,32.85,-1.53,0.0,0.0
2020-02-27,25999889.0,-15760883.0,-10239005.0,8151067.0,17848822.0,7.05,-4.27,-2.77,2.21,4.84,34.28,4.35,0.0,0.0
2020-02-28,7113525.0,-16614066.0,9500540.0,4622510.0,2491015.0,2.41,-5.64,3.22,1.57,0.85,33.85,-1.25,0.0,0.0
2020-03-02,21321499.0,-31857590.0,10536091.0,13231491.0,8090008.0,5.44,-8.12,2.69,3.37,2.06,35.21,4.02,0.0,0.0
2020-03-03,31170946.0,-46471092.0,15300146.0,13328626.0,17842320.0,8.99,-13.4,4.41,3.84,5.14,36.26,2.98,0.0,0.0
