date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,12649108.0,2510737.0,-15159846.0,-45184.0,12694292.0,5.17,1.03,-6.2,-0.02,5.19,16.01,-0.31,0.0,0.0
2020-01-09,-4751177.0,7481073.0,-2729895.0,-858702.0,-3892475.0,-3.99,6.28,-2.29,-0.72,-3.27,15.99,-0.12,0.0,0.0
2020-01-10,-10636335.0,9242507.0,1393830.0,-4192851.0,-6443484.0,-7.86,6.83,1.03,-3.1,-4.76,15.93,-0.38,0.0,0.0
2020-01-13,-5439882.0,11443737.0,-6003855.0,-1626196.0,-3813686.0,-4.8,10.1,-5.3,-1.43,-3.36,15.95,0.13,0.0,0.0
2020-01-14,8835905.0,2230265.0,-11066171.0,2378733.0,6457172.0,7.24,1.83,-9.06,1.95,5.29,15.95,0.0,0.0,0.0
2020-01-15,-12503741.0,9011822.0,3491919.0,-3430902.0,-9072839.0,-17.1,12.33,4.78,-4.69,-12.41,15.82,-0.82,0.0,0.0
2020-01-16,4350690.0,-739914.0,-3610776.0,1807541.0,2543149.0,5.91,-1.0,-4.9,2.45,3.45,15.88,0.38,0.0,0.0
2020-01-17,1424740.0,2007714.0,-3432454.0,1402635.0,22105.0,2.17,3.06,-5.22,2.13,0.03,15.8,-0.5,0.0,0.0
2020-01-20,267580.0,3124761.0,-3392340.0,203188.0,64392.0,0.39,4.6,-5.0,0.3,0.09,15.81,0.06,0.0,0.0
2020-01-21,-4038857.0,-2497868.0,6536725.0,-4547021.0,508164.0,-4.06,-2.51,6.57,-4.57,0.51,15.81,0.0,0.0,0.0
2020-01-22,-1711803.0,6509077.0,-4797274.0,-1735323.0,23520.0,-2.07,7.87,-5.8,-2.1,0.03,15.83,0.13,0.0,0.0
2020-01-23,-1060037.0,4261157.0,-3201120.0,-3615763.0,2555726.0,-0.82,3.31,-2.49,-2.81,1.98,15.5,-2.08,0.0,0.0
2020-02-03,-6572737.0,6467109.0,105630.0,-2896466.0,-3676271.0,-44.76,44.04,0.72,-19.73,-25.04,13.95,-10.0,0.0,0.0
2020-02-04,-61984187.0,38230662.0,23753525.0,-5516379.0,-56467808.0,-18.72,11.55,7.17,-1.67,-17.05,12.89,-7.6,0.0,0.0
2020-02-05,-5010216.0,12896892.0,-7886676.0,-4324818.0,-685398.0,-2.72,7.0,-4.28,-2.35,-0.37,12.88,-0.08,0.0,0.0
2020-02-06,18381171.0,-10878038.0,-7503133.0,15662540.0,2718631.0,7.89,-4.67,-3.22,6.73,1.17,13.23,2.72,0.0,0.0
2020-02-07,-735150.0,176298.0,558852.0,-3678393.0,2943243.0,-0.57,0.14,0.43,-2.86,2.29,13.41,1.36,0.0,0.0
2020-02-10,-9122196.0,6930204.0,2191991.0,-4293061.0,-4829135.0,-5.15,3.91,1.24,-2.42,-2.73,13.45,0.3,0.0,0.0
2020-02-11,-8293084.0,7686242.0,606841.0,-3128742.0,-5164342.0,-5.98,5.54,0.44,-2.25,-3.72,13.48,0.22,0.0,0.0
2020-02-12,-6751941.0,5280644.0,1471298.0,-12585512.0,5833571.0,-3.26,2.55,0.71,-6.09,2.82,13.69,1.56,0.0,0.0
2020-02-13,-664807.0,6627074.0,-5962267.0,3024123.0,-3688930.0,-0.45,4.45,-4.0,2.03,-2.48,13.7,0.07,0.0,0.0
2020-02-14,12982103.0,-7653810.0,-5328293.0,-7943931.0,20926034.0,5.39,-3.18,-2.21,-3.3,8.68,14.18,3.5,0.0,0.0
2020-02-17,-22125844.0,11288455.0,10837388.0,-12383763.0,-9742081.0,-7.92,4.04,3.88,-4.43,-3.49,14.39,1.48,0.0,0.0
2020-02-18,-6149043.0,218630.0,5930412.0,2313648.0,-8462691.0,-2.01,0.07,1.94,0.76,-2.76,14.86,3.27,0.0,0.0
2020-02-19,-6107300.0,7179281.0,-1071981.0,-7042651.0,935351.0,-2.75,3.23,-0.48,-3.17,0.42,14.93,0.47,0.0,0.0
2020-02-20,4805001.0,342880.0,-5147882.0,-9461993.0,14266994.0,1.47,0.1,-1.57,-2.89,4.36,15.33,2.68,0.0,0.0
2020-02-21,-25924248.0,24596512.0,1327736.0,-28357566.0,2433318.0,-7.4,7.03,0.38,-8.1,0.7,15.44,0.72,0.0,0.0
2020-02-24,-20862647.0,2771297.0,18091350.0,-29545315.0,8682668.0,-5.27,0.7,4.57,-7.47,2.19,15.82,2.46,0.0,0.0
2020-02-25,-35425358.0,24971607.0,10453750.0,-17742891.0,-17682467.0,-9.36,6.6,2.76,-4.69,-4.67,15.5,-2.02,0.0,0.0
2020-02-26,-42154870.0,40101091.0,2053778.0,-33893387.0,-8261483.0,-16.51,15.7,0.8,-13.27,-3.23,14.56,-6.06,0.0,0.0
2020-02-27,-20038708.0,19361920.0,676787.0,-15993445.0,-4045263.0,-9.38,9.07,0.32,-7.49,-1.89,14.49,-0.48,0.0,0.0
2020-02-28,-28103386.0,21756885.0,6346501.0,-13460696.0,-14642690.0,-10.2,7.9,2.3,-4.89,-5.31,13.3,-8.21,0.0,0.0
2020-03-02,-9911198.0,10011064.0,-99865.0,-7742662.0,-2168536.0,-5.68,5.74,-0.06,-4.44,-1.24,13.59,2.18,0.0,0.0
2020-03-03,-10445500.0,8635328.0,1810171.0,-8415506.0,-2029994.0,-5.7,4.71,0.99,-4.59,-1.11,13.61,0.15,0.0,0.0
2020-03-04,-6119929.0,7305721.0,-1185790.0,-5822281.0,-297648.0,-4.62,5.52,-0.9,-4.4,-0.22,13.51,-0.73,0.0,0.0
2020-03-05,-11753783.0,3941036.0,7812748.0,-5730335.0,-6023448.0,-9.35,3.14,6.22,-4.56,-4.79,13.58,0.52,0.0,0.0
2020-03-06,-4818843.0,2801699.0,2017143.0,-4150791.0,-668052.0,-3.88,2.26,1.63,-3.34,-0.54,13.5,-0.59,0.0,0.0
2020-03-09,-26285498.0,26154891.0,130607.0,-12350230.0,-13935268.0,-15.94,15.86,0.08,-7.49,-8.45,12.77,-5.41,0.0,0.0
2020-03-10,-18691344.0,23354289.0,-4662944.0,-8883593.0,-9807751.0,-7.68,9.6,-1.92,-3.65,-4.03,13.05,2.19,0.0,0.0
2020-03-11,-12753101.0,3515259.0,9237842.0,-5610993.0,-7142108.0,-8.21,2.26,5.94,-3.61,-4.6,12.77,-2.15,0.0,0.0
2020-03-12,-18371112.0,17864863.0,506249.0,-13088381.0,-5282731.0,-15.84,15.4,0.44,-11.28,-4.55,12.39,-2.98,0.0,0.0
2020-03-13,-18153979.0,18355700.0,-201721.0,-1451510.0,-16702469.0,-10.03,10.15,-0.11,-0.8,-9.23,12.26,-1.05,0.0,0.0
2020-03-16,-14785165.0,22827766.0,-8042600.0,-10672396.0,-4112769.0,-8.82,13.62,-4.8,-6.37,-2.45,11.49,-6.28,0.0,0.0
2020-03-17,-7236552.0,10323397.0,-3086845.0,-7236552.0,0.0,-5.89,8.41,-2.51,-5.89,0.0,11.5,0.09,0.0,0.0
2020-03-18,818927.0,7763353.0,-8582280.0,1198872.0,-379945.0,0.68,6.42,-7.1,0.99,-0.31,11.29,-1.83,0.0,0.0
2020-03-19,-556460.0,3587527.0,-3031067.0,383864.0,-940324.0,-0.54,3.45,-2.92,0.37,-0.9,11.46,1.51,0.0,0.0
2020-03-20,71540.0,2034147.0,-2105688.0,71540.0,0.0,0.09,2.6,-2.69,0.09,0.0,11.54,0.7,0.0,0.0
2020-03-23,-5385876.0,7312914.0,-1927038.0,-2999769.0,-2386107.0,-5.26,7.14,-1.88,-2.93,-2.33,10.86,-5.89,0.0,0.0
2020-03-24,-8562587.0,8222112.0,340475.0,-7209226.0,-1353361.0,-10.83,10.4,0.43,-9.12,-1.71,11.02,1.47,0.0,0.0
