date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,7869642.0,-4593198.0,-3276444.0,3845167.0,4024475.0,7.84,-4.58,-3.27,3.83,4.01,5.39,0.94,0.0,0.0
2020-01-09,-6487087.0,-1582344.0,8069432.0,-2914652.0,-3572435.0,-10.88,-2.65,13.53,-4.89,-5.99,5.41,0.37,0.0,0.0
2020-01-10,17974481.0,-17857301.0,-117180.0,15640096.0,2334385.0,6.52,-6.48,-0.04,5.67,0.85,5.83,7.76,0.0,0.0
2020-01-13,-10849708.0,9464708.0,1384999.0,-11405018.0,555310.0,-5.59,4.88,0.71,-5.88,0.29,5.91,1.37,0.0,0.0
2020-01-14,-8814884.0,1986888.0,6827996.0,-7133189.0,-1681695.0,-8.0,1.8,6.19,-6.47,-1.53,5.71,-3.38,0.0,0.0
2020-01-15,-6769181.0,745713.0,6023468.0,-2883827.0,-3885354.0,-6.97,0.77,6.21,-2.97,-4.0,5.71,0.0,0.0,0.0
2020-01-16,-7719994.0,18386395.0,-10666401.0,-7212523.0,-507471.0,-6.52,15.52,-9.01,-6.09,-0.43,5.75,0.7,0.0,0.0
2020-01-17,-18396579.0,7438239.0,10958341.0,-12465097.0,-5931482.0,-16.97,6.86,10.11,-11.5,-5.47,5.76,0.17,0.0,0.0
2020-01-20,-5865370.0,10684253.0,-4818883.0,-6537092.0,671722.0,-6.45,11.75,-5.3,-7.19,0.74,5.78,0.35,0.0,0.0
2020-01-21,753776.0,-882165.0,128388.0,-1934618.0,2688394.0,0.37,-0.44,0.06,-0.95,1.33,5.95,2.94,0.0,0.0
2020-01-22,-13813183.0,2609981.0,11203203.0,-12516686.0,-1296497.0,-11.02,2.08,8.94,-9.99,-1.03,5.7,-4.2,0.0,0.0
2020-01-23,-15226199.0,8567975.0,6658224.0,-11800676.0,-3425523.0,-14.34,8.07,6.27,-11.11,-3.23,5.56,-2.46,0.0,0.0
2020-02-03,-9402549.0,14456476.0,-5053927.0,-8156945.0,-1245604.0,-9.08,13.97,-4.88,-7.88,-1.2,5.15,-7.37,0.0,0.0
2020-02-04,-3009523.0,9270188.0,-6260665.0,-4197236.0,1187713.0,-2.21,6.82,-4.6,-3.09,0.87,5.57,8.16,0.0,0.0
2020-02-05,9436345.0,3791340.0,-13227685.0,730796.0,8705549.0,4.39,1.76,-6.15,0.34,4.05,5.9,5.92,0.0,0.0
2020-02-06,-42605421.0,26790666.0,15814756.0,-56051974.0,13446553.0,-7.45,4.68,2.77,-9.8,2.35,6.49,10.0,0.0,0.0
2020-02-07,-175568769.0,141243168.0,34325597.0,-123231775.0,-52336994.0,-27.54,22.15,5.38,-19.33,-8.21,6.0,-7.55,0.0,0.0
2020-02-10,8670698.0,-3972384.0,-4698314.0,11867791.0,-3197093.0,2.85,-1.3,-1.54,3.89,-1.05,5.8,-3.33,0.0,0.0
