date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-43557248.0,45227914.0,-1670665.0,-23237876.0,-20319372.0,-17.58,18.25,-0.67,-9.38,-8.2,3.42,-4.47,0.0,0.0
2020-01-09,-1882675.0,-1868605.0,3751280.0,6238370.0,-8121045.0,-0.94,-0.93,1.86,3.1,-4.04,3.53,3.22,0.0,0.0
2020-01-10,-9053782.0,14014228.0,-4960445.0,-6159793.0,-2893989.0,-6.92,10.71,-3.79,-4.71,-2.21,3.46,-1.98,0.0,0.0
2020-01-13,-16582389.0,18762724.0,-2180335.0,-12466987.0,-4115402.0,-12.64,14.3,-1.66,-9.5,-3.14,3.41,-1.45,0.0,0.0
2020-01-14,-23304081.0,27460677.0,-4156595.0,-15044804.0,-8259277.0,-16.82,19.82,-3.0,-10.86,-5.96,3.37,-1.17,0.0,0.0
2020-01-15,-33148988.0,32334969.0,814019.0,-4115668.0,-29033320.0,-18.22,17.78,0.45,-2.26,-15.96,3.29,-2.37,0.0,0.0
2020-01-16,-57113745.0,49214216.0,7899529.0,-30116205.0,-26997540.0,-31.53,27.17,4.36,-16.63,-14.91,3.22,-2.13,0.0,0.0
2020-01-17,-20278534.0,19305694.0,972840.0,-16002850.0,-4275684.0,-14.21,13.53,0.68,-11.21,-3.0,3.19,-0.93,0.0,0.0
2020-01-20,-51576033.0,43917694.0,7658340.0,-26116192.0,-25459841.0,-29.58,25.19,4.39,-14.98,-14.6,3.11,-2.51,0.0,0.0
2020-01-21,-9657954.0,12367481.0,-2709527.0,-6125895.0,-3532059.0,-10.85,13.89,-3.04,-6.88,-3.97,3.1,-0.32,0.0,0.0
2020-01-22,-3314653.0,9125972.0,-5811320.0,-2556496.0,-758157.0,-3.8,10.48,-6.67,-2.93,-0.87,3.06,-1.29,0.0,0.0
2020-01-23,-6594957.0,15512024.0,-8917068.0,-4176255.0,-2418702.0,-13.77,32.39,-18.62,-8.72,-5.05,2.75,-10.13,0.0,0.0
2020-02-03,-372.0,2460532.0,-2460159.0,84073.0,-84445.0,-0.0,15.28,-15.27,0.52,-0.52,2.48,-9.82,0.0,0.0
2020-02-04,-21545511.0,29701956.0,-8156445.0,-20678971.0,-866540.0,-8.68,11.96,-3.28,-8.33,-0.35,2.28,-8.06,0.0,0.0
2020-02-05,-6182308.0,11605295.0,-5422987.0,-6122356.0,-59952.0,-4.46,8.37,-3.91,-4.42,-0.04,2.32,1.75,0.0,0.0
2020-02-06,487375.0,3941484.0,-4428859.0,-2540207.0,3027582.0,0.38,3.11,-3.5,-2.0,2.39,2.4,3.45,0.0,0.0
2020-02-07,-2132356.0,3901601.0,-1769245.0,-3083398.0,951042.0,-1.56,2.86,-1.29,-2.26,0.7,2.45,2.08,0.0,0.0
2020-02-10,-1990314.0,4257728.0,-2267414.0,-1395346.0,-594968.0,-2.07,4.43,-2.36,-1.45,-0.62,2.46,0.41,0.0,0.0
2020-02-11,-1660303.0,4775556.0,-3115254.0,-1020079.0,-640224.0,-1.64,4.72,-3.08,-1.01,-0.63,2.44,-0.81,0.0,0.0
2020-02-12,-5074947.0,6111730.0,-1036783.0,-3536384.0,-1538563.0,-5.95,7.17,-1.22,-4.15,-1.8,2.47,1.23,0.0,0.0
2020-02-13,-6879912.0,13971139.0,-7091227.0,-5067501.0,-1812411.0,-7.53,15.29,-7.76,-5.55,-1.98,2.41,-2.43,0.0,0.0
2020-02-14,-8988075.0,11257099.0,-2269024.0,-9476419.0,488344.0,-9.66,12.1,-2.44,-10.19,0.52,2.36,-2.07,0.0,0.0
2020-02-17,-1519741.0,5921457.0,-4401715.0,-665746.0,-853995.0,-1.28,4.99,-3.71,-0.56,-0.72,2.46,4.24,0.0,0.0
2020-02-18,-2866215.0,6088969.0,-3222755.0,-1863802.0,-1002413.0,-1.93,4.1,-2.17,-1.26,-0.68,2.57,4.47,0.0,0.0
2020-02-19,-10502852.0,11423182.0,-920330.0,-10275598.0,-227254.0,-8.91,9.69,-0.78,-8.72,-0.19,2.49,-3.11,0.0,0.0
2020-02-20,7357396.0,-4777546.0,-2579850.0,5848275.0,1509121.0,6.83,-4.44,-2.4,5.43,1.4,2.55,2.41,0.0,0.0
2020-02-21,52201022.0,-28971438.0,-23229585.0,-5659129.0,57860151.0,22.52,-12.5,-10.02,-2.44,24.97,2.81,10.2,0.0,0.0
