date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,14287013.0,-14905826.0,618811.0,5837504.0,8449509.0,8.38,-8.74,0.36,3.42,4.96,5.65,3.67,0.0,0.0
2020-01-09,-7185673.0,4133640.0,3052033.0,-5499859.0,-1685814.0,-7.68,4.42,3.26,-5.88,-1.8,5.66,0.18,0.0,0.0
2020-01-10,9032770.0,-3957517.0,-5075255.0,3850609.0,5182161.0,6.44,-2.82,-3.62,2.75,3.7,5.78,2.12,0.0,0.0
2020-01-13,-4332356.0,5238574.0,-906217.0,-7300746.0,2968390.0,-4.96,6.0,-1.04,-8.36,3.4,5.69,-1.56,0.0,0.0
2020-01-14,5103459.0,-630821.0,-4472639.0,-1203921.0,6307380.0,4.15,-0.51,-3.64,-0.98,5.13,5.94,4.39,0.0,0.0
2020-01-15,-3081783.0,-833774.0,3915557.0,-3961882.0,880099.0,-3.88,-1.05,4.93,-4.99,1.11,5.84,-1.68,0.0,0.0
2020-01-16,-5165644.0,6456279.0,-1290636.0,-6499390.0,1333746.0,-10.57,13.21,-2.64,-13.3,2.73,5.7,-2.4,0.0,0.0
2020-01-17,-5884263.0,9859602.0,-3975340.0,-6144407.0,260144.0,-12.22,20.48,-8.26,-12.76,0.54,5.6,-1.75,0.0,0.0
2020-01-20,470430.0,732422.0,-1202853.0,459905.0,10525.0,1.46,2.27,-3.73,1.42,0.03,5.63,0.54,0.0,0.0
2020-01-21,-6568159.0,9067806.0,-2499645.0,-6568159.0,0.0,-15.36,21.2,-5.85,-15.36,0.0,5.47,-2.84,0.0,0.0
2020-01-22,-5446414.0,4136443.0,1309972.0,-4180282.0,-1266132.0,-16.44,12.48,3.95,-12.62,-3.82,5.46,-0.18,0.0,0.0
2020-01-23,-3692823.0,6797565.0,-3104742.0,-2664855.0,-1027968.0,-9.96,18.34,-8.37,-7.19,-2.77,5.27,-3.48,0.0,0.0
2020-02-03,1288145.0,729507.0,-2017652.0,1288145.0,0.0,8.46,4.79,-13.26,8.46,0.0,4.74,-10.06,0.0,0.0
2020-02-04,28436.0,764471.0,-792907.0,-130859.0,159295.0,0.07,1.92,-1.99,-0.33,0.4,4.62,-2.53,0.0,0.0
2020-02-05,-1025058.0,2247885.0,-1222829.0,-3420209.0,2395151.0,-3.1,6.79,-3.7,-10.34,7.24,4.76,3.03,0.0,0.0
2020-02-06,-1242508.0,2574422.0,-1331914.0,-1242508.0,0.0,-4.6,9.53,-4.93,-4.6,0.0,4.77,0.21,0.0,0.0
2020-02-07,501713.0,-4253355.0,3751643.0,501713.0,0.0,1.31,-11.09,9.78,1.31,0.0,4.96,3.98,0.0,0.0
2020-02-10,-61432.0,4126294.0,-4064862.0,-61432.0,0.0,-0.22,14.62,-14.4,-0.22,0.0,4.97,0.2,0.0,0.0
2020-02-11,-969403.0,2392064.0,-1422660.0,-969403.0,0.0,-4.63,11.43,-6.8,-4.63,0.0,4.95,-0.4,0.0,0.0
2020-02-12,-1949681.0,3400687.0,-1451004.0,-264331.0,-1685350.0,-7.05,12.3,-5.25,-0.96,-6.1,4.95,0.0,0.0,0.0
2020-02-13,513883.0,629183.0,-1143067.0,513883.0,0.0,1.59,1.95,-3.55,1.59,0.0,4.95,0.0,0.0,0.0
2020-02-14,-3780681.0,2808553.0,972128.0,-3780681.0,0.0,-8.83,6.56,2.27,-8.83,0.0,4.93,-0.4,0.0,0.0
2020-02-17,2675450.0,4580400.0,-7255850.0,748492.0,1926958.0,5.25,8.99,-14.24,1.47,3.78,5.03,2.03,0.0,0.0
2020-02-18,-1174228.0,2269587.0,-1095358.0,-1174228.0,0.0,-3.2,6.19,-2.99,-3.2,0.0,5.07,0.8,0.0,0.0
2020-02-19,-2162499.0,1415813.0,746684.0,-2162499.0,0.0,-6.99,4.58,2.41,-6.99,0.0,5.05,-0.39,0.0,0.0
2020-02-20,-3451513.0,195186.0,3256327.0,422925.0,-3874438.0,-8.55,0.48,8.07,1.05,-9.6,5.11,1.19,0.0,0.0
2020-02-21,-2945188.0,2899710.0,45478.0,-2898641.0,-46547.0,-6.43,6.33,0.1,-6.33,-0.1,5.14,0.59,0.0,0.0
2020-02-24,49848996.0,-26934772.0,-22914223.0,8760637.0,41088359.0,22.1,-11.94,-10.16,3.88,18.21,5.66,10.12,0.0,0.0
2020-02-25,1680096.0,10142211.0,-11822307.0,-17082841.0,18762937.0,0.53,3.19,-3.72,-5.38,5.91,5.85,3.36,0.0,0.0
2020-02-26,-56149649.0,41402297.0,14747353.0,-29529567.0,-26620082.0,-30.52,22.5,8.02,-16.05,-14.47,5.41,-7.52,0.0,0.0
2020-02-27,-8495544.0,6960015.0,1535529.0,-6340542.0,-2155002.0,-11.08,9.08,2.0,-8.27,-2.81,5.36,-0.92,0.0,0.0
2020-02-28,-8594918.0,16544022.0,-7949104.0,-9647988.0,1053070.0,-10.23,19.68,-9.46,-11.48,1.25,5.02,-6.34,0.0,0.0
2020-03-02,-1151746.0,13634.0,1138112.0,167511.0,-1319257.0,-2.07,0.02,2.05,0.3,-2.37,5.18,3.19,0.0,0.0
2020-03-03,-3327887.0,2584452.0,743435.0,-3599830.0,271943.0,-4.89,3.8,1.09,-5.29,0.4,5.22,0.77,0.0,0.0
2020-03-04,-1634954.0,1738394.0,-103440.0,-859507.0,-775447.0,-4.22,4.49,-0.27,-2.22,-2.0,5.28,1.15,0.0,0.0
2020-03-05,1380143.0,-4946815.0,3566672.0,1520465.0,-140322.0,1.92,-6.89,4.97,2.12,-0.2,5.42,2.65,0.0,0.0
2020-03-06,-2570393.0,2071897.0,498497.0,-2332852.0,-237541.0,-4.61,3.71,0.89,-4.18,-0.43,5.4,-0.37,0.0,0.0
2020-03-09,-11333427.0,11998823.0,-665397.0,-5352103.0,-5981324.0,-22.86,24.21,-1.34,-10.8,-12.07,5.15,-4.63,0.0,0.0
2020-03-10,-1915622.0,2405524.0,-489903.0,-1981174.0,65552.0,-3.87,4.86,-0.99,-4.0,0.13,5.26,2.14,0.0,0.0
2020-03-11,-3315384.0,2696312.0,619072.0,-3550388.0,235004.0,-7.88,6.41,1.47,-8.44,0.56,5.22,-0.76,0.0,0.0
2020-03-12,-2752118.0,3803506.0,-1051388.0,-2752118.0,0.0,-9.17,12.67,-3.5,-9.17,0.0,5.12,-1.92,0.0,0.0
2020-03-13,562577.0,172153.0,-734730.0,562577.0,0.0,1.49,0.46,-1.95,1.49,0.0,5.09,-0.59,0.0,0.0
2020-03-16,-1541932.0,3446035.0,-1904104.0,-2098300.0,556368.0,-4.98,11.13,-6.15,-6.77,1.8,4.96,-2.55,0.0,0.0
2020-03-17,-3668193.0,1531688.0,2136505.0,-1560607.0,-2107586.0,-13.11,5.48,7.64,-5.58,-7.53,4.95,-0.2,0.0,0.0
2020-03-18,495030.0,1597258.0,-2092288.0,495030.0,0.0,2.31,7.45,-9.76,2.31,0.0,4.86,-1.82,0.0,0.0
2020-03-19,-4370784.0,3823304.0,547480.0,-3082499.0,-1288285.0,-16.84,14.73,2.11,-11.88,-4.96,4.86,0.0,0.0,0.0
2020-03-20,37295749.0,-20862109.0,-16433641.0,8408476.0,28887273.0,21.98,-12.3,-9.69,4.96,17.03,5.35,10.08,0.0,0.0
2020-03-23,-30407902.0,31432197.0,-1024294.0,-21895418.0,-8512484.0,-25.0,25.84,-0.84,-18.0,-7.0,5.03,-5.98,0.0,0.0
2020-03-24,1135438.0,1073249.0,-2208687.0,1141147.0,-5709.0,1.67,1.58,-3.25,1.68,-0.01,5.12,1.79,0.0,0.0
2020-03-25,13895204.0,-14200134.0,304930.0,4961172.0,8934032.0,11.2,-11.45,0.25,4.0,7.2,5.4,5.47,0.0,0.0
2020-03-26,-19274848.0,15465632.0,3809217.0,-13170922.0,-6103926.0,-22.77,18.27,4.5,-15.56,-7.21,5.14,-4.81,0.0,0.0
2020-03-27,-3739599.0,5084283.0,-1344684.0,-3739599.0,0.0,-9.48,12.88,-3.41,-9.48,0.0,5.14,0.0,0.0,0.0
2020-03-30,-552018.0,1238397.0,-686380.0,-631676.0,79658.0,-1.81,4.07,-2.25,-2.07,0.26,5.06,-1.56,0.0,0.0
2020-03-31,-596225.0,3950958.0,-3354733.0,-596225.0,0.0,-1.87,12.37,-10.5,-1.87,0.0,4.97,-1.78,0.0,0.0
2020-04-01,-212187.0,2186867.0,-1974679.0,-212187.0,0.0,-1.03,10.65,-9.62,-1.03,0.0,4.97,0.0,0.0,0.0
2020-04-02,-1369607.0,401725.0,967881.0,-1500661.0,131054.0,-5.52,1.62,3.9,-6.05,0.53,5.04,1.41,0.0,0.0
2020-04-03,-2847254.0,1172343.0,1674911.0,-2847254.0,0.0,-15.19,6.26,8.94,-15.19,0.0,4.98,-1.19,0.0,0.0
2020-04-07,-7306301.0,3672695.0,3633606.0,-4714591.0,-2591710.0,-21.47,10.79,10.68,-13.86,-7.62,5.07,1.81,0.0,0.0
2020-04-08,157081.0,-909487.0,752405.0,157081.0,0.0,0.5,-2.88,2.38,0.5,0.0,5.11,0.79,0.0,0.0
2020-04-09,445951.0,-341540.0,-104412.0,445951.0,0.0,1.49,-1.14,-0.35,1.49,0.0,5.15,0.78,0.0,0.0
2020-04-10,-1641515.0,1925785.0,-284271.0,-1675627.0,34112.0,-3.66,4.29,-0.63,-3.73,0.08,5.02,-2.52,0.0,0.0
2020-04-13,-2545524.0,4372228.0,-1826703.0,-2545524.0,0.0,-12.46,21.4,-8.94,-12.46,0.0,4.95,-1.39,0.0,0.0
2020-04-14,1407256.0,-1152791.0,-254465.0,1407256.0,0.0,9.45,-7.75,-1.71,9.45,0.0,5.07,2.42,0.0,0.0
2020-04-15,-1277183.0,2306525.0,-1029342.0,-1277183.0,0.0,-9.12,16.47,-7.35,-9.12,0.0,4.98,-1.78,0.0,0.0
2020-04-16,402962.0,-3485.0,-399477.0,402962.0,0.0,3.98,-0.03,-3.95,3.98,0.0,5.01,0.6,0.0,0.0
2020-04-17,-534025.0,305917.0,228108.0,-534025.0,0.0,-3.13,1.79,1.34,-3.13,0.0,4.98,-0.6,0.0,0.0
2020-04-20,-397273.0,-58957.0,456230.0,-397273.0,0.0,-4.08,-0.6,4.68,-4.08,0.0,5.01,0.6,0.0,0.0
2020-04-21,-1182519.0,1932855.0,-750336.0,-1182519.0,0.0,-9.2,15.05,-5.84,-9.2,0.0,5.01,0.0,0.0,0.0
2020-04-22,-2629422.0,2839415.0,-209993.0,-1044016.0,-1585406.0,-16.95,18.31,-1.35,-6.73,-10.22,5.01,0.0,0.0,0.0
2020-04-23,-435057.0,322636.0,112421.0,-435057.0,0.0,-2.16,1.6,0.56,-2.16,0.0,5.02,0.2,0.0,0.0
2020-04-24,-386984.0,-308929.0,695912.0,-386984.0,0.0,-1.38,-1.1,2.48,-1.38,0.0,4.99,-0.6,0.0,0.0
2020-04-27,-3275548.0,4246609.0,-971060.0,-3275548.0,0.0,-14.57,18.89,-4.32,-14.57,0.0,4.88,-2.2,0.0,0.0
2020-04-28,2347961.0,-1961542.0,-386417.0,2347961.0,0.0,9.29,-7.76,-1.53,9.29,0.0,4.96,1.64,0.0,0.0
2020-04-29,-1606402.0,1879955.0,-273552.0,-1606402.0,0.0,-12.54,14.67,-2.14,-12.54,0.0,4.92,-0.81,0.0,0.0
2020-04-30,-6008594.0,3776713.0,2231882.0,-1986714.0,-4021880.0,-22.67,14.25,8.42,-7.5,-15.18,4.98,1.22,0.0,0.0
2020-05-06,-2960214.0,3223008.0,-262794.0,-2960214.0,0.0,-12.91,14.06,-1.15,-12.91,0.0,4.98,0.0,0.0,0.0
