date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4242338.0,7639276.0,-3396939.0,-4242338.0,0.0,-6.87,12.38,-5.5,-6.87,0.0,5.58,-2.79,0.0,0.0
2020-01-09,3913677.0,-8508627.0,4594951.0,5642255.0,-1728578.0,4.26,-9.27,5.0,6.14,-1.88,5.77,3.41,0.0,0.0
2020-01-10,-1861402.0,627313.0,1234088.0,-766095.0,-1095307.0,-2.44,0.82,1.62,-1.0,-1.43,5.76,-0.17,0.0,0.0
2020-01-13,-2277486.0,2891987.0,-614501.0,-2155162.0,-122324.0,-4.95,6.29,-1.34,-4.68,-0.27,5.78,0.35,0.0,0.0
2020-01-14,-4353005.0,8840697.0,-4487693.0,-4353005.0,0.0,-9.34,18.97,-9.63,-9.34,0.0,5.74,-0.69,0.0,0.0
2020-01-15,-4330431.0,6723724.0,-2393293.0,-4330431.0,0.0,-12.27,19.06,-6.78,-12.27,0.0,5.69,-0.87,0.0,0.0
2020-01-16,-661026.0,3395021.0,-2733995.0,-661026.0,0.0,-1.85,9.48,-7.64,-1.85,0.0,5.65,-0.7,0.0,0.0
2020-01-17,6430250.0,-8530103.0,2099854.0,5278912.0,1151338.0,5.06,-6.72,1.65,4.16,0.91,5.83,3.19,0.0,0.0
2020-01-20,-7632240.0,5334400.0,2297839.0,-4822582.0,-2809658.0,-11.04,7.71,3.32,-6.97,-4.06,5.77,-1.03,0.0,0.0
2020-01-21,-9959021.0,13138706.0,-3179685.0,-8526273.0,-1432748.0,-13.22,17.44,-4.22,-11.32,-1.9,5.54,-3.99,0.0,0.0
2020-01-22,-2128329.0,2391362.0,-263034.0,-1886343.0,-241986.0,-5.67,6.37,-0.7,-5.03,-0.65,5.53,-0.18,0.0,0.0
2020-01-23,-4396736.0,12302733.0,-7905998.0,-5338956.0,942220.0,-4.71,13.17,-8.46,-5.71,1.01,4.98,-9.95,0.0,0.0
2020-02-03,-416156.0,851057.0,-434901.0,-416156.0,0.0,-6.91,14.13,-7.22,-6.91,0.0,4.48,-10.04,0.0,0.0
2020-02-04,-810676.0,601043.0,209632.0,-810676.0,0.0,-1.29,0.96,0.33,-1.29,0.0,4.28,-4.46,0.0,0.0
2020-02-05,-282231.0,4199278.0,-3917048.0,-282231.0,0.0,-0.63,9.32,-8.7,-0.63,0.0,4.42,3.27,0.0,0.0
2020-02-06,1064801.0,715017.0,-1779818.0,955841.0,108960.0,2.12,1.42,-3.54,1.9,0.22,4.59,3.85,0.0,0.0
2020-02-07,-546911.0,2042440.0,-1495529.0,-546911.0,0.0,-1.47,5.51,-4.03,-1.47,0.0,4.67,1.74,0.0,0.0
2020-02-10,14515591.0,-9339474.0,-5176119.0,2191703.0,12323888.0,19.91,-12.81,-7.1,3.01,16.9,5.14,10.06,0.0,0.0
2020-02-11,-10115131.0,4163067.0,5952064.0,-7612378.0,-2502753.0,-6.39,2.63,3.76,-4.81,-1.58,5.12,-0.39,0.0,0.0
2020-02-12,-4010355.0,5999833.0,-1989476.0,-3719980.0,-290375.0,-5.8,8.68,-2.88,-5.38,-0.42,5.1,-0.39,0.0,0.0
2020-02-13,-2505814.0,7091581.0,-4585768.0,-2890490.0,384676.0,-3.87,10.96,-7.08,-4.47,0.59,4.95,-2.94,0.0,0.0
2020-02-14,-1115636.0,3819258.0,-2703622.0,-1115636.0,0.0,-2.93,10.04,-7.11,-2.93,0.0,4.86,-1.82,0.0,0.0
2020-02-17,-1639986.0,1285919.0,354067.0,-1595308.0,-44678.0,-3.88,3.04,0.84,-3.77,-0.11,5.02,3.29,0.0,0.0
2020-02-18,-1449528.0,3819231.0,-2369703.0,-1382325.0,-67203.0,-2.52,6.64,-4.12,-2.4,-0.12,5.13,2.19,0.0,0.0
2020-02-19,-603086.0,2003380.0,-1400294.0,-1324814.0,721728.0,-1.57,5.23,-3.66,-3.46,1.88,5.03,-1.95,0.0,0.0
2020-02-20,-6868594.0,6993795.0,-125201.0,-2733593.0,-4135001.0,-14.41,14.68,-0.26,-5.74,-8.68,5.08,0.99,0.0,0.0
2020-02-21,3138829.0,-2950655.0,-188175.0,1500562.0,1638267.0,2.74,-2.58,-0.16,1.31,1.43,5.22,2.76,0.0,0.0
2020-02-24,-3676049.0,4137301.0,-461251.0,-2131373.0,-1544676.0,-2.83,3.19,-0.36,-1.64,-1.19,5.4,3.45,0.0,0.0
2020-02-25,-4525882.0,4882599.0,-356718.0,-3489588.0,-1036294.0,-4.08,4.4,-0.32,-3.15,-0.93,5.36,-0.74,0.0,0.0
2020-02-26,-8710072.0,11612681.0,-2902609.0,-8734197.0,24125.0,-10.34,13.78,-3.44,-10.36,0.03,5.17,-3.54,0.0,0.0
2020-02-27,53055446.0,-31685601.0,-21369847.0,12879552.0,40175894.0,28.52,-17.04,-11.49,6.92,21.6,5.69,10.06,0.0,0.0
2020-02-28,-24171371.0,18103250.0,6068121.0,-14758651.0,-9412720.0,-6.73,5.04,1.69,-4.11,-2.62,5.61,-1.41,0.0,0.0
2020-03-02,-23276987.0,23544241.0,-267253.0,-21097624.0,-2179363.0,-9.77,9.88,-0.11,-8.85,-0.91,5.67,1.07,0.0,0.0
2020-03-03,1509532.0,1354900.0,-2864431.0,3508553.0,-1999021.0,0.48,0.43,-0.92,1.12,-0.64,5.96,5.11,0.0,0.0
2020-03-04,-14045901.0,17640097.0,-3594196.0,-8524526.0,-5521375.0,-8.39,10.54,-2.15,-5.09,-3.3,5.75,-3.52,0.0,0.0
2020-03-05,-479897.0,9849065.0,-9369168.0,-2127097.0,1647200.0,-0.37,7.51,-7.14,-1.62,1.26,5.68,-1.22,0.0,0.0
2020-03-06,3230702.0,3604004.0,-6834706.0,891475.0,2339227.0,2.27,2.53,-4.81,0.63,1.65,5.67,-0.18,0.0,0.0
2020-03-09,535929.0,-2932604.0,2396675.0,576155.0,-40226.0,0.27,-1.49,1.22,0.29,-0.02,5.79,2.12,0.0,0.0
2020-03-10,-11748853.0,15287204.0,-3538350.0,-9994101.0,-1754752.0,-7.55,9.82,-2.27,-6.42,-1.13,5.6,-3.28,0.0,0.0
2020-03-11,-4935288.0,7505187.0,-2569900.0,-5318040.0,382752.0,-5.22,7.93,-2.72,-5.62,0.4,5.44,-2.86,0.0,0.0
2020-03-12,-11909940.0,21070944.0,-9161005.0,-11106493.0,-803447.0,-12.16,21.52,-9.36,-11.34,-0.82,5.12,-5.88,0.0,0.0
2020-03-13,-4072243.0,5038880.0,-966637.0,-4804090.0,731847.0,-5.15,6.38,-1.22,-6.08,0.93,4.91,-4.1,0.0,0.0
2020-03-16,-5086302.0,9335589.0,-4249286.0,-5086302.0,0.0,-8.27,15.19,-6.91,-8.27,0.0,4.69,-4.48,0.0,0.0
2020-03-17,-1648224.0,3073848.0,-1425623.0,-1072873.0,-575351.0,-3.81,7.11,-3.3,-2.48,-1.33,4.7,0.21,0.0,0.0
2020-03-18,-1765750.0,4203725.0,-2437973.0,-1770733.0,4983.0,-5.19,12.35,-7.16,-5.2,0.01,4.54,-3.4,0.0,0.0
2020-03-19,-197950.0,1884496.0,-1686547.0,-369330.0,171380.0,-0.54,5.11,-4.58,-1.0,0.46,4.6,1.32,0.0,0.0
2020-03-20,-815001.0,1511532.0,-696531.0,-762219.0,-52782.0,-2.98,5.52,-2.54,-2.78,-0.19,4.62,0.43,0.0,0.0
2020-03-23,-1912815.0,4977317.0,-3064501.0,-1912815.0,0.0,-7.99,20.8,-12.81,-7.99,0.0,4.39,-4.98,0.0,0.0
2020-03-24,41931.0,-867946.0,826016.0,41931.0,0.0,0.19,-4.02,3.83,0.19,0.0,4.51,2.73,0.0,0.0
