date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,2145728.0,1154579.0,-3300308.0,2145728.0,0.0,5.01,2.7,-7.71,5.01,0.0,7.09,-0.84,0.0,0.0
2020-01-09,-4985827.0,2824893.0,2160933.0,-1712496.0,-3273331.0,-9.79,5.55,4.24,-3.36,-6.43,7.15,0.85,0.0,0.0
2020-01-10,-713071.0,-369051.0,1082122.0,-490777.0,-222294.0,-0.55,-0.29,0.84,-0.38,-0.17,7.49,4.76,0.0,0.0
2020-01-13,3773697.0,-5363411.0,1589714.0,2322476.0,1451221.0,5.26,-7.48,2.22,3.24,2.02,7.56,0.93,0.0,0.0
2020-01-14,2051861.0,-3737374.0,1685514.0,1263355.0,788506.0,4.77,-8.68,3.92,2.94,1.83,7.49,-0.93,0.0,0.0
2020-01-15,2141091.0,-934947.0,-1206144.0,2264722.0,-123631.0,3.51,-1.53,-1.98,3.71,-0.2,7.57,1.07,0.0,0.0
2020-01-16,-1200585.0,2924739.0,-1724154.0,-2344038.0,1143453.0,-2.44,5.95,-3.51,-4.77,2.33,7.56,-0.13,0.0,0.0
2020-01-17,-818112.0,4546263.0,-3728152.0,-1998735.0,1180623.0,-2.2,12.23,-10.03,-5.38,3.18,7.49,-0.93,0.0,0.0
2020-01-20,2358676.0,-652755.0,-1705920.0,2404365.0,-45689.0,5.82,-1.61,-4.21,5.94,-0.11,7.4,-1.2,0.0,0.0
2020-01-21,-2163328.0,4054420.0,-1891093.0,-2901329.0,738001.0,-5.55,10.4,-4.85,-7.44,1.89,7.26,-1.89,0.0,0.0
2020-01-22,-4781444.0,3832323.0,949120.0,-3525518.0,-1255926.0,-12.21,9.78,2.42,-9.0,-3.21,7.19,-0.96,0.0,0.0
2020-01-23,-4882678.0,5595024.0,-712344.0,-3621221.0,-1261457.0,-11.85,13.58,-1.73,-8.79,-3.06,6.91,-3.89,0.0,0.0
2020-02-03,-1467989.0,1068662.0,399328.0,-1467989.0,0.0,-18.48,13.46,5.03,-18.48,0.0,6.21,-10.13,0.0,0.0
2020-02-04,733599.0,-3008176.0,2274576.0,381977.0,351622.0,1.01,-4.15,3.14,0.53,0.49,6.06,-2.42,0.0,0.0
2020-02-05,-1154378.0,2518060.0,-1363683.0,1216324.0,-2370702.0,-1.94,4.24,-2.3,2.05,-3.99,6.12,0.99,0.0,0.0
2020-02-06,-175772.0,1367316.0,-1191544.0,-175772.0,0.0,-0.55,4.3,-3.74,-0.55,0.0,6.16,0.65,0.0,0.0
2020-02-07,-3752972.0,2079345.0,1673627.0,-3199283.0,-553689.0,-5.76,3.19,2.57,-4.91,-0.85,6.4,3.9,0.0,0.0
2020-02-10,-3312572.0,5558151.0,-2245579.0,-3312572.0,0.0,-8.86,14.86,-6.0,-8.86,0.0,6.5,1.56,0.0,0.0
