date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-9183835.0,10465069.0,-1281232.0,-5857829.0,-3326006.0,-14.18,16.16,-1.98,-9.04,-5.14,16.11,-2.07,0.0,0.0
2020-01-09,8274349.0,-7932457.0,-341894.0,6900513.0,1373836.0,9.6,-9.21,-0.4,8.01,1.59,16.59,2.98,0.0,0.0
2020-01-10,2054715.0,-1620152.0,-434562.0,2054715.0,0.0,4.29,-3.39,-0.91,4.29,0.0,16.65,0.36,0.0,0.0
2020-01-13,-635419.0,-125603.0,761022.0,-635419.0,0.0,-1.53,-0.3,1.83,-1.53,0.0,16.66,0.06,0.0,0.0
2020-01-14,-1552512.0,2257510.0,-704998.0,-1552512.0,0.0,-3.85,5.6,-1.75,-3.85,0.0,16.59,-0.42,0.0,0.0
2020-01-15,-4018990.0,-914968.0,4933959.0,-3385950.0,-633040.0,-6.71,-1.53,8.24,-5.65,-1.06,16.75,0.96,0.0,0.0
2020-01-16,-3088091.0,4015340.0,-927248.0,-3088091.0,0.0,-6.53,8.49,-1.96,-6.53,0.0,16.47,-1.67,0.0,0.0
2020-01-17,-4170472.0,5319891.0,-1149420.0,-4170472.0,0.0,-8.6,10.98,-2.37,-8.6,0.0,16.32,-0.91,0.0,0.0
2020-01-20,4368698.0,261799.0,-4630497.0,1413931.0,2954767.0,6.57,0.39,-6.97,2.13,4.45,16.65,2.02,0.0,0.0
2020-01-21,3234125.0,-12379772.0,9145647.0,3431111.0,-196986.0,3.01,-11.52,8.51,3.19,-0.18,16.88,1.38,0.0,0.0
2020-01-22,-1185989.0,-2972848.0,4158838.0,-547769.0,-638220.0,-1.5,-3.76,5.26,-0.69,-0.81,16.58,-1.78,0.0,0.0
2020-01-23,-7036169.0,6654287.0,381880.0,-7328470.0,292301.0,-9.26,8.76,0.5,-9.65,0.38,16.09,-2.96,0.0,0.0
2020-02-03,-11670287.0,16911320.0,-5241033.0,-4571494.0,-7098793.0,-9.83,14.24,-4.41,-3.85,-5.98,14.48,-10.01,0.0,0.0
2020-02-04,-4993228.0,10985649.0,-5992422.0,-4787332.0,-205896.0,-5.45,11.99,-6.54,-5.23,-0.22,15.15,4.63,0.0,0.0
2020-02-05,3994226.0,-4786046.0,791818.0,1548684.0,2445542.0,4.37,-5.24,0.87,1.69,2.68,15.73,3.83,0.0,0.0
2020-02-06,247602.0,3425508.0,-3673110.0,1333780.0,-1086178.0,0.18,2.52,-2.7,0.98,-0.8,16.12,2.48,0.0,0.0
2020-02-07,-8408692.0,7332798.0,1075895.0,-5759374.0,-2649318.0,-7.22,6.29,0.92,-4.94,-2.27,16.19,0.43,0.0,0.0
2020-02-10,-209863.0,-2989615.0,3199478.0,-264173.0,54310.0,-0.29,-4.09,4.37,-0.36,0.07,15.96,-1.42,0.0,0.0
2020-02-11,-13178524.0,11657360.0,1521163.0,-12466276.0,-712248.0,-17.71,15.66,2.04,-16.75,-0.96,15.57,-2.44,0.0,0.0
2020-02-12,-642987.0,79281.0,563706.0,-642987.0,0.0,-1.59,0.2,1.39,-1.59,0.0,15.71,0.9,0.0,0.0
2020-02-13,-4283823.0,4539637.0,-255814.0,-1909448.0,-2374375.0,-7.5,7.95,-0.45,-3.34,-4.16,15.39,-2.04,0.0,0.0
