date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5472882.0,2732392.0,2740489.0,-1722850.0,-3750032.0,-9.82,4.9,4.92,-3.09,-6.73,1.88,-1.05,0.0,0.0
2020-01-09,-4214901.0,3170749.0,1044153.0,-4064502.0,-150399.0,-14.29,10.75,3.54,-13.78,-0.51,1.87,-0.53,0.0,0.0
2020-01-10,1611323.0,1032706.0,-2644028.0,1611323.0,0.0,6.19,3.97,-10.16,6.19,0.0,1.86,-0.53,0.0,0.0
2020-01-13,10240018.0,-4765217.0,-5474799.0,10560911.0,-320893.0,20.25,-9.42,-10.83,20.89,-0.63,1.95,4.84,0.0,0.0
2020-01-14,3151669.0,-297641.0,-2854028.0,1839420.0,1312249.0,6.78,-0.64,-6.14,3.96,2.82,2.05,5.13,0.0,0.0
2020-01-15,3331556.0,-1098477.0,-2233079.0,-3047873.0,6379429.0,8.28,-2.73,-5.55,-7.57,15.85,2.15,4.88,0.0,0.0
2020-01-16,-470494.0,4147856.0,-3677362.0,40072.0,-510566.0,-0.36,3.16,-2.8,0.03,-0.39,2.13,-0.93,0.0,0.0
2020-01-17,-2672854.0,2747137.0,-74284.0,-196062.0,-2476792.0,-7.14,7.34,-0.2,-0.52,-6.62,2.06,-3.29,0.0,0.0
2020-01-20,-1984440.0,2531987.0,-547549.0,-1996903.0,12463.0,-5.93,7.56,-1.64,-5.96,0.04,1.99,-3.4,0.0,0.0
2020-01-21,-4480624.0,1798773.0,2681851.0,-2784936.0,-1695688.0,-13.81,5.54,8.26,-8.58,-5.22,2.0,0.5,0.0,0.0
2020-01-22,5257735.0,-4936330.0,-321404.0,2986456.0,2271279.0,12.1,-11.36,-0.74,6.87,5.23,2.1,5.0,0.0,0.0
2020-01-23,-1570346.0,3266408.0,-1696062.0,716978.0,-2287324.0,-2.81,5.85,-3.04,1.29,-4.1,2.0,-4.76,0.0,0.0
2020-02-03,-397100.0,224010.0,173090.0,-397100.0,0.0,-26.22,14.79,11.43,-26.22,0.0,1.9,-5.0,0.0,0.0
2020-02-04,-108238.0,1022107.0,-913869.0,-108238.0,0.0,-3.51,33.12,-29.61,-3.51,0.0,1.81,-4.74,0.0,0.0
2020-02-05,-2743759.0,4845659.0,-2101900.0,-2208904.0,-534855.0,-5.45,9.63,-4.18,-4.39,-1.06,1.78,-1.66,0.0,0.0
2020-02-06,-6935541.0,5585718.0,1349822.0,-4782387.0,-2153154.0,-16.14,13.0,3.14,-11.13,-5.01,1.71,-3.93,0.0,0.0
