date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-31599706.0,25391659.0,6208048.0,-17427877.0,-14171829.0,-15.29,12.28,3.0,-8.43,-6.86,12.62,-2.77,0.0,0.0
2020-01-09,10099910.0,-13599502.0,3499592.0,5014512.0,5085398.0,2.95,-3.97,1.02,1.46,1.48,13.12,3.96,0.0,0.0
2020-01-10,-4530104.0,8049304.0,-3519201.0,-6841220.0,2311116.0,-2.3,4.08,-1.79,-3.47,1.17,13.23,0.84,0.0,0.0
2020-01-13,14144273.0,-16330328.0,2186057.0,12493482.0,1650791.0,6.13,-7.07,0.95,5.41,0.72,13.62,2.95,0.0,0.0
2020-01-14,-18163528.0,23001716.0,-4838188.0,-13277314.0,-4886214.0,-8.74,11.07,-2.33,-6.39,-2.35,13.62,0.0,0.0,0.0
2020-01-15,-10180175.0,8949543.0,1230633.0,-4110520.0,-6069655.0,-6.06,5.33,0.73,-2.45,-3.61,13.65,0.22,0.0,0.0
2020-01-16,-13364273.0,15714220.0,-2349946.0,-6839696.0,-6524577.0,-9.8,11.53,-1.72,-5.02,-4.79,13.52,-0.95,0.0,0.0
2020-01-17,-10785356.0,9757819.0,1027538.0,-4684320.0,-6101036.0,-9.12,8.25,0.87,-3.96,-5.16,13.39,-0.96,0.0,0.0
2020-01-20,-9695867.0,8645196.0,1050669.0,-7433579.0,-2262288.0,-7.11,6.34,0.77,-5.45,-1.66,13.47,0.6,0.0,0.0
2020-01-21,-18194688.0,19912631.0,-1717942.0,-17443751.0,-750937.0,-10.1,11.05,-0.95,-9.68,-0.42,13.18,-2.15,0.0,0.0
2020-01-22,-19608347.0,11765533.0,7842815.0,-19919505.0,311158.0,-11.67,7.0,4.67,-11.86,0.19,13.24,0.45,0.0,0.0
2020-01-23,-4829178.0,11407300.0,-6578122.0,6163282.0,-10992460.0,-1.87,4.42,-2.55,2.39,-4.26,12.86,-2.87,0.0,0.0
2020-02-03,-19172132.0,16642540.0,2529592.0,-13217112.0,-5955020.0,-6.84,5.93,0.9,-4.71,-2.12,12.09,-5.98,0.0,0.0
2020-02-04,-1780462.0,15072660.0,-13292198.0,-903979.0,-876483.0,-0.69,5.8,-5.12,-0.35,-0.34,12.93,6.94,0.0,0.0
2020-02-05,681947.0,-25440087.0,24758141.0,7147637.0,-6465690.0,0.24,-9.1,8.85,2.56,-2.31,12.92,-0.08,0.0,0.0
2020-02-06,50455986.0,-34273641.0,-16182345.0,8630216.0,41825770.0,8.53,-5.79,-2.73,1.46,7.07,14.22,10.05,0.0,0.0
2020-02-07,-9976458.0,-3394685.0,13371143.0,-7623680.0,-2352778.0,-2.44,-0.83,3.27,-1.86,-0.57,14.22,0.0,0.0,0.0
2020-02-10,-57643223.0,33658709.0,23984514.0,-27901246.0,-29741977.0,-8.98,5.25,3.74,-4.35,-4.64,14.36,0.98,0.0,0.0
2020-02-11,-16307609.0,11616940.0,4690669.0,-4995775.0,-11311834.0,-5.22,3.72,1.5,-1.6,-3.62,13.99,-2.57,0.0,0.0
2020-02-12,-23771838.0,34427848.0,-10656010.0,-24519229.0,747391.0,-9.26,13.41,-4.15,-9.55,0.29,14.03,0.29,0.0,0.0
2020-02-13,587585.0,-2693966.0,2106382.0,941964.0,-354379.0,0.14,-0.65,0.51,0.23,-0.09,14.24,1.5,0.0,0.0
2020-02-14,-57013570.0,42471559.0,14542011.0,-29489044.0,-27524526.0,-15.18,11.31,3.87,-7.85,-7.33,13.72,-3.65,0.0,0.0
2020-02-17,24917874.0,623676.0,-25541549.0,13491398.0,11426476.0,8.33,0.21,-8.53,4.51,3.82,14.08,2.62,0.0,0.0
