date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-124902490.0,82303120.0,42599370.0,-58744873.0,-66157617.0,-16.29,10.74,5.56,-7.66,-8.63,11.67,-2.67,0.0,0.0
2020-01-09,-1804035.0,568292.0,1235742.0,576952.0,-2380987.0,-0.38,0.12,0.26,0.12,-0.5,11.84,1.46,0.0,0.0
2020-01-10,-62255875.0,60970154.0,1285721.0,-43950251.0,-18305624.0,-18.81,18.42,0.39,-13.28,-5.53,11.4,-3.72,0.0,0.0
2020-01-13,-22922658.0,18764625.0,4158032.0,-24628370.0,1705712.0,-10.79,8.83,1.96,-11.59,0.8,11.45,0.44,0.0,0.0
2020-01-14,-30056230.0,36762396.0,-6706166.0,-16110040.0,-13946190.0,-12.1,14.79,-2.7,-6.48,-5.61,11.35,-0.87,0.0,0.0
2020-01-15,-20695735.0,31261231.0,-10565496.0,-21320062.0,624327.0,-12.02,18.15,-6.14,-12.38,0.36,11.16,-1.67,0.0,0.0
2020-01-16,10272911.0,-19321953.0,9049043.0,14893700.0,-4620789.0,2.7,-5.08,2.38,3.91,-1.21,11.29,1.16,0.0,0.0
2020-01-17,-42910520.0,33370596.0,9539924.0,-20302898.0,-22607622.0,-17.06,13.26,3.79,-8.07,-8.99,11.01,-2.48,0.0,0.0
2020-01-20,-33689569.0,30622406.0,3067164.0,-24930160.0,-8759409.0,-9.94,9.04,0.91,-7.36,-2.58,10.6,-3.72,0.0,0.0
2020-01-21,-11088397.0,6155680.0,4932716.0,-9721173.0,-1367224.0,-5.46,3.03,2.43,-4.79,-0.67,10.6,0.0,0.0,0.0
2020-01-22,-11918654.0,23101407.0,-11182753.0,-7291701.0,-4626953.0,-7.38,14.31,-6.93,-4.52,-2.87,10.35,-2.36,0.0,0.0
2020-01-23,-41102340.0,37391105.0,3711234.0,-22625414.0,-18476926.0,-19.34,17.59,1.75,-10.65,-8.69,9.94,-3.96,0.0,0.0
2020-02-03,-7538585.0,4765875.0,2772710.0,-4236930.0,-3301655.0,-68.3,43.18,25.12,-38.38,-29.91,8.95,-9.96,0.0,0.0
2020-02-04,-9445443.0,11710230.0,-2264788.0,-7276391.0,-2169052.0,-4.14,5.13,-0.99,-3.19,-0.95,8.55,-4.47,0.0,0.0
2020-02-05,-28478126.0,24739669.0,3738457.0,-26509865.0,-1968261.0,-14.01,12.17,1.84,-13.05,-0.97,8.75,2.34,0.0,0.0
2020-02-06,-5184695.0,5344582.0,-159886.0,-1139915.0,-4044780.0,-2.3,2.37,-0.07,-0.51,-1.79,9.01,2.97,0.0,0.0
2020-02-07,-15728474.0,18433909.0,-2705432.0,-15376672.0,-351802.0,-9.25,10.85,-1.59,-9.05,-0.21,8.93,-0.89,0.0,0.0
2020-02-10,-19848092.0,17361706.0,2486387.0,-18944788.0,-903304.0,-10.79,9.44,1.35,-10.3,-0.49,8.91,-0.22,0.0,0.0
2020-02-11,13460510.0,-16998903.0,3538393.0,-662916.0,14123426.0,4.51,-5.7,1.19,-0.22,4.73,9.19,3.14,0.0,0.0
2020-02-12,-16505688.0,11750554.0,4755136.0,-11371797.0,-5133891.0,-9.46,6.74,2.73,-6.52,-2.94,9.14,-0.54,0.0,0.0
2020-02-13,-18157140.0,18789130.0,-631991.0,-9766196.0,-8390944.0,-12.53,12.97,-0.44,-6.74,-5.79,8.89,-2.74,0.0,0.0
2020-02-14,-19215710.0,18541207.0,674502.0,-3411396.0,-15804314.0,-17.09,16.49,0.6,-3.03,-14.06,8.78,-1.24,0.0,0.0
2020-02-17,16981863.0,-5087941.0,-11893922.0,7131101.0,9850762.0,6.14,-1.84,-4.3,2.58,3.56,9.3,5.92,0.0,0.0
2020-02-18,-3200062.0,12440020.0,-9239958.0,-7687073.0,4487011.0,-1.31,5.09,-3.78,-3.15,1.84,9.59,3.12,0.0,0.0
2020-02-19,-4021826.0,14628390.0,-10606565.0,-4166717.0,144891.0,-2.32,8.45,-6.13,-2.41,0.08,9.35,-2.5,0.0,0.0
2020-02-20,-4427335.0,9067593.0,-4640258.0,-8909204.0,4481869.0,-2.3,4.71,-2.41,-4.63,2.33,9.47,1.28,0.0,0.0
2020-02-21,-14443105.0,9642621.0,4800484.0,-9392447.0,-5050658.0,-7.9,5.28,2.63,-5.14,-2.76,9.47,0.0,0.0,0.0
2020-02-24,-15768885.0,6672751.0,9096136.0,-6446756.0,-9322129.0,-7.44,3.15,4.29,-3.04,-4.4,9.49,0.21,0.0,0.0
2020-02-25,-41976248.0,42879601.0,-903353.0,-30090945.0,-11885303.0,-14.96,15.28,-0.32,-10.73,-4.24,9.22,-2.85,0.0,0.0
2020-02-26,-21512128.0,14525333.0,6986795.0,-10032028.0,-11480100.0,-10.26,6.93,3.33,-4.79,-5.48,8.98,-2.6,0.0,0.0
2020-02-27,-4205667.0,9674082.0,-5468415.0,-4637090.0,431423.0,-3.06,7.04,-3.98,-3.37,0.31,8.96,-0.22,0.0,0.0
2020-02-28,-10450001.0,16008802.0,-5558801.0,-6407491.0,-4042510.0,-5.07,7.76,-2.7,-3.11,-1.96,8.37,-6.58,0.0,0.0
2020-03-02,-566758.0,1597684.0,-1030926.0,-434969.0,-131789.0,-0.44,1.25,-0.81,-0.34,-0.1,8.73,4.3,0.0,0.0
2020-03-03,-19232591.0,18113460.0,1119132.0,-7500490.0,-11732101.0,-13.16,12.4,0.77,-5.13,-8.03,8.65,-0.92,0.0,0.0
2020-03-04,2082660.0,-3588904.0,1506244.0,6144952.0,-4062292.0,1.92,-3.31,1.39,5.67,-3.75,8.76,1.27,0.0,0.0
2020-03-05,56905255.0,-28972369.0,-27932886.0,26853309.0,30051946.0,12.31,-6.27,-6.04,5.81,6.5,9.64,10.05,0.0,0.0
2020-03-06,-34778648.0,39738668.0,-4960019.0,-30540976.0,-4237672.0,-8.57,9.79,-1.22,-7.53,-1.04,9.45,-1.97,0.0,0.0
2020-03-09,-55387440.0,50473133.0,4914306.0,-36836570.0,-18550870.0,-20.72,18.88,1.84,-13.78,-6.94,8.83,-6.56,0.0,0.0
2020-03-10,-1230724.0,809299.0,421423.0,-191909.0,-1038815.0,-0.74,0.49,0.25,-0.12,-0.63,8.9,0.79,0.0,0.0
2020-03-11,3865256.0,-1500422.0,-2364835.0,-816158.0,4681414.0,2.42,-0.94,-1.48,-0.51,2.93,8.93,0.34,0.0,0.0
2020-03-12,-13524221.0,17792918.0,-4268698.0,-12493781.0,-1030440.0,-12.44,16.37,-3.93,-11.5,-0.95,8.67,-2.91,0.0,0.0
2020-03-13,-8659291.0,9505896.0,-846605.0,-8660989.0,1698.0,-5.93,6.51,-0.58,-5.93,0.0,8.41,-3.0,0.0,0.0
2020-03-16,-13619831.0,15779033.0,-2159202.0,-4409554.0,-9210277.0,-11.14,12.9,-1.77,-3.61,-7.53,8.0,-4.88,0.0,0.0
2020-03-17,-12538127.0,12943316.0,-405188.0,-5488505.0,-7049622.0,-9.79,10.11,-0.32,-4.29,-5.51,7.74,-3.25,0.0,0.0
2020-03-18,351751.0,-654906.0,303153.0,-542943.0,894694.0,0.35,-0.66,0.3,-0.54,0.9,7.58,-2.07,0.0,0.0
2020-03-19,-9598692.0,12743879.0,-3145185.0,-7074592.0,-2524100.0,-11.11,14.75,-3.64,-8.19,-2.92,7.53,-0.66,0.0,0.0
2020-03-20,557428.0,1073225.0,-1630653.0,3856892.0,-3299464.0,0.37,0.72,-1.1,2.59,-2.22,7.95,5.58,0.0,0.0
2020-03-23,3444341.0,-889554.0,-2554786.0,3444341.0,0.0,2.49,-0.64,-1.85,2.49,0.0,7.9,-0.63,0.0,0.0
2020-03-24,-764582.0,-4874235.0,5638817.0,923048.0,-1687630.0,-0.75,-4.78,5.53,0.91,-1.66,8.06,2.03,0.0,0.0
2020-03-25,-3601243.0,5638935.0,-2037692.0,-3835333.0,234090.0,-3.84,6.01,-2.17,-4.09,0.25,8.12,0.74,0.0,0.0
2020-03-26,-1510308.0,6223744.0,-4713436.0,-787136.0,-723172.0,-2.12,8.76,-6.63,-1.11,-1.02,8.03,-1.11,0.0,0.0
2020-03-27,-1640575.0,3113042.0,-1472466.0,-1640575.0,0.0,-2.74,5.21,-2.46,-2.74,0.0,7.97,-0.75,0.0,0.0
2020-03-30,-8254271.0,11852558.0,-3598287.0,-8787284.0,533013.0,-11.94,17.15,-5.21,-12.71,0.77,7.73,-3.01,0.0,0.0
2020-03-31,-3299752.0,6245257.0,-2945505.0,-2865430.0,-434322.0,-6.24,11.81,-5.57,-5.42,-0.82,7.63,-1.29,0.0,0.0
2020-04-01,-4241655.0,3444400.0,797256.0,-3735786.0,-505869.0,-9.04,7.34,1.7,-7.96,-1.08,7.63,0.0,0.0,0.0
2020-04-02,12873428.0,-12773670.0,-99758.0,8861675.0,4011753.0,16.28,-16.15,-0.13,11.2,5.07,7.95,4.19,0.0,0.0
