date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-9520006.0,5981085.0,3538922.0,-8298199.0,-1221807.0,-8.64,5.43,3.21,-7.53,-1.11,32.76,-2.93,0.0,0.0
2020-01-09,-3087141.0,-2337794.0,5424934.0,-2993432.0,-93709.0,-2.82,-2.13,4.95,-2.73,-0.09,33.47,2.17,0.0,0.0
2020-01-10,15337635.0,-13396634.0,-1941002.0,12145373.0,3192262.0,6.41,-5.6,-0.81,5.08,1.33,34.56,3.26,0.0,0.0
2020-01-13,-1981871.0,-3851589.0,5833460.0,-12224850.0,10242979.0,-0.78,-1.52,2.3,-4.81,4.03,35.9,3.88,0.0,0.0
2020-01-14,-818749.0,-1397143.0,2215892.0,-2749104.0,1930355.0,-0.45,-0.77,1.21,-1.51,1.06,35.63,-0.75,0.0,0.0
2020-01-15,733678.0,-2911505.0,2177827.0,5016553.0,-4282875.0,0.39,-1.53,1.15,2.64,-2.26,36.07,1.23,0.0,0.0
2020-01-16,11397058.0,-12278778.0,881719.0,6930738.0,4466320.0,5.81,-6.26,0.45,3.53,2.28,37.5,3.96,0.0,0.0
2020-01-17,6245109.0,-5944807.0,-300303.0,1801101.0,4444008.0,4.67,-4.44,-0.22,1.35,3.32,37.78,0.75,0.0,0.0
2020-01-20,-2768481.0,3954655.0,-1186175.0,-3683281.0,914800.0,-1.98,2.83,-0.85,-2.64,0.65,37.79,0.03,0.0,0.0
2020-01-21,-13236082.0,16337891.0,-3101809.0,-8395249.0,-4840833.0,-9.95,12.28,-2.33,-6.31,-3.64,37.41,-1.01,0.0,0.0
2020-01-22,-8276034.0,6815420.0,1460615.0,334301.0,-8610335.0,-5.97,4.92,1.05,0.24,-6.21,37.03,-1.02,0.0,0.0
2020-01-23,-17226445.0,20519558.0,-3293114.0,-17694119.0,467674.0,-10.67,12.71,-2.04,-10.96,0.29,35.2,-4.94,0.0,0.0
2020-02-03,12864828.0,-1100246.0,-11764583.0,-8756176.0,21621004.0,11.26,-0.96,-10.29,-7.66,18.92,31.61,-10.2,0.0,0.0
2020-02-04,-10126097.0,-9698834.0,19824932.0,-5225581.0,-4900516.0,-3.95,-3.79,7.74,-2.04,-1.91,32.35,2.34,0.0,0.0
2020-02-05,10687809.0,-7602571.0,-3085238.0,7450744.0,3237065.0,5.19,-3.69,-1.5,3.62,1.57,32.9,1.7,0.0,0.0
2020-02-06,-5156478.0,4565615.0,590863.0,-2919277.0,-2237201.0,-2.46,2.18,0.28,-1.39,-1.07,33.89,3.01,0.0,0.0
2020-02-07,-12423083.0,5455358.0,6967725.0,-14387113.0,1964030.0,-7.27,3.19,4.08,-8.42,1.15,33.91,0.06,0.0,0.0
2020-02-10,-13491196.0,7516403.0,5974793.0,-15480194.0,1988998.0,-10.91,6.08,4.83,-12.51,1.61,33.73,-0.53,0.0,0.0
2020-02-11,1894492.0,-3680441.0,1785949.0,-1592964.0,3487456.0,1.93,-3.75,1.82,-1.62,3.55,34.11,1.13,0.0,0.0
2020-02-12,945534.0,-7756341.0,6810807.0,590529.0,355005.0,1.14,-9.37,8.23,0.71,0.43,34.15,0.12,0.0,0.0
2020-02-13,-4538135.0,5541688.0,-1003553.0,-5298545.0,760410.0,-4.55,5.56,-1.01,-5.31,0.76,33.3,-2.49,0.0,0.0
2020-02-14,-3314155.0,5159348.0,-1845193.0,-3815324.0,501169.0,-3.02,4.7,-1.68,-3.48,0.46,32.85,-1.35,0.0,0.0
2020-02-17,-13630491.0,8437371.0,5193120.0,-6958252.0,-6672239.0,-8.48,5.25,3.23,-4.33,-4.15,33.2,1.07,0.0,0.0
2020-02-18,3622231.0,10998394.0,-14620624.0,5129983.0,-1507752.0,1.49,4.51,-6.0,2.11,-0.62,34.07,2.62,0.0,0.0
2020-02-19,11055821.0,-9332833.0,-1722986.0,14273308.0,-3217487.0,5.35,-4.52,-0.83,6.91,-1.56,34.55,1.41,0.0,0.0
2020-02-20,30694793.0,-18407319.0,-12287473.0,17429457.0,13265336.0,10.65,-6.39,-4.26,6.05,4.6,36.48,5.59,0.0,0.0
2020-02-21,17232154.0,-1127970.0,-16104184.0,-16880138.0,34112292.0,7.42,-0.49,-6.93,-7.26,14.68,40.2,10.2,0.0,0.0
2020-02-24,-6978347.0,-3780187.0,10758534.0,-6277881.0,-700466.0,-1.33,-0.72,2.05,-1.2,-0.13,40.88,1.69,0.0,0.0
2020-02-25,3910983.0,5313474.0,-9224458.0,5369643.0,-1458660.0,1.24,1.69,-2.93,1.7,-0.46,41.78,2.2,0.0,0.0
2020-02-26,-18675898.0,17759853.0,916044.0,-14133262.0,-4542636.0,-8.0,7.6,0.39,-6.05,-1.95,39.55,-5.34,0.0,0.0
2020-02-27,53668713.0,-15905329.0,-37763385.0,11100186.0,42568527.0,13.12,-3.89,-9.23,2.71,10.41,42.76,8.12,0.0,0.0
2020-02-28,-15087441.0,5193107.0,9894335.0,-9037594.0,-6049847.0,-5.27,1.81,3.46,-3.16,-2.11,40.81,-4.56,0.0,0.0
2020-03-02,-9238742.0,4396337.0,4842405.0,-9258673.0,19931.0,-4.04,1.92,2.12,-4.04,0.01,41.48,1.64,0.0,0.0
2020-03-03,-17142868.0,10974687.0,6168180.0,-10048709.0,-7094159.0,-4.84,3.1,1.74,-2.84,-2.0,40.67,-1.95,0.0,0.0
2020-03-04,14993361.0,-25071755.0,10078394.0,16733990.0,-1740629.0,4.91,-8.21,3.3,5.48,-0.57,42.6,4.75,0.0,0.0
2020-03-05,-17383482.0,-2023889.0,19407370.0,-13152313.0,-4231169.0,-4.39,-0.51,4.9,-3.32,-1.07,43.5,2.11,0.0,0.0
2020-03-06,-9392025.0,16622889.0,-7230864.0,-11426178.0,2034153.0,-5.59,9.89,-4.3,-6.8,1.21,43.3,-0.46,0.0,0.0
2020-03-09,-32136766.0,29128115.0,3008652.0,-20422136.0,-11714630.0,-12.27,11.13,1.15,-7.8,-4.47,40.57,-6.3,0.0,0.0
2020-03-10,-2759381.0,-3272344.0,6031725.0,-92172.0,-2667209.0,-1.95,-2.31,4.26,-0.07,-1.89,41.39,2.02,0.0,0.0
2020-03-11,-11400775.0,7259731.0,4141044.0,-15808851.0,4408076.0,-5.95,3.79,2.16,-8.25,2.3,41.41,0.05,0.0,0.0
2020-03-12,-14367901.0,14364244.0,3658.0,-8883603.0,-5484298.0,-7.91,7.91,0.0,-4.89,-3.02,40.07,-3.24,0.0,0.0
2020-03-13,-7505961.0,4436020.0,3069940.0,-1470203.0,-6035758.0,-3.83,2.26,1.57,-0.75,-3.08,39.41,-1.65,0.0,0.0
2020-03-16,-10139507.0,23922333.0,-13782826.0,-15518720.0,5379213.0,-3.38,7.99,-4.6,-5.18,1.8,36.3,-7.89,0.0,0.0
