date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-11005971.0,9142034.0,1863936.0,-2576363.0,-8429608.0,-4.61,3.83,0.78,-1.08,-3.53,19.49,-1.86,0.0,0.0
2020-01-09,-11991405.0,15247039.0,-3255635.0,-6801475.0,-5189930.0,-6.97,8.86,-1.89,-3.95,-3.02,19.55,0.31,0.0,0.0
2020-01-10,-14237790.0,17932183.0,-3694393.0,-8867990.0,-5369800.0,-10.97,13.82,-2.85,-6.83,-4.14,19.3,-1.28,0.0,0.0
2020-01-13,-6830782.0,4230308.0,2600473.0,-8853503.0,2022721.0,-4.82,2.98,1.83,-6.24,1.43,19.55,1.3,0.0,0.0
2020-01-14,-5343454.0,7142090.0,-1798636.0,-6791258.0,1447804.0,-4.28,5.72,-1.44,-5.44,1.16,19.38,-0.87,0.0,0.0
2020-01-15,25196606.0,-25443115.0,246508.0,17914952.0,7281654.0,9.77,-9.86,0.1,6.94,2.82,19.99,3.15,0.0,0.0
2020-01-16,-47486486.0,33473865.0,14012622.0,-27889041.0,-19597445.0,-17.55,12.37,5.18,-10.31,-7.24,19.07,-4.6,0.0,0.0
2020-01-17,-34262494.0,31071331.0,3191164.0,-24430705.0,-9831789.0,-18.69,16.95,1.74,-13.33,-5.36,18.86,-1.1,0.0,0.0
2020-01-20,-52732190.0,40478487.0,12253702.0,-43477037.0,-9255153.0,-23.98,18.41,5.57,-19.77,-4.21,18.45,-2.17,0.0,0.0
2020-01-21,-49840783.0,41602689.0,8238095.0,-25827591.0,-24013192.0,-25.56,21.34,4.22,-13.25,-12.31,18.02,-2.33,0.0,0.0
2020-01-22,-12055827.0,6149653.0,5906174.0,-9613213.0,-2442614.0,-8.26,4.21,4.05,-6.59,-1.67,18.09,0.39,0.0,0.0
2020-01-23,-3842304.0,2645181.0,1197123.0,-273098.0,-3569206.0,-2.18,1.5,0.68,-0.16,-2.03,17.97,-0.66,0.0,0.0
2020-02-03,-35095864.0,24543910.0,10551953.0,-14542357.0,-20553507.0,-11.68,8.17,3.51,-4.84,-6.84,16.75,-6.79,0.0,0.0
2020-02-04,9907828.0,-10442060.0,534232.0,6419048.0,3488780.0,4.2,-4.43,0.23,2.72,1.48,17.58,4.96,0.0,0.0
