date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3954982.0,-6960488.0,3005504.0,2847511.0,1107471.0,6.8,-11.97,5.17,4.9,1.9,19.55,1.45,0.0,0.0
2020-01-09,-810081.0,-135600.0,945682.0,740624.0,-1550705.0,-2.9,-0.49,3.38,2.65,-5.55,19.57,0.1,0.0,0.0
2020-01-10,-1066262.0,1075631.0,-9370.0,-1066262.0,0.0,-3.05,3.08,-0.03,-3.05,0.0,19.84,1.38,0.0,0.0
2020-01-13,-2293107.0,-1728572.0,4021678.0,-1292421.0,-1000686.0,-7.42,-5.6,13.02,-4.18,-3.24,19.77,-0.35,0.0,0.0
2020-01-14,583450.0,-1377657.0,794205.0,2116642.0,-1533192.0,2.06,-4.87,2.81,7.49,-5.42,19.88,0.56,0.0,0.0
2020-01-15,-1804459.0,3902052.0,-2097593.0,-1252343.0,-552116.0,-8.28,17.9,-9.62,-5.75,-2.53,19.88,0.0,0.0,0.0
2020-01-16,6902960.0,-4168901.0,-2734059.0,5609511.0,1293449.0,14.44,-8.72,-5.72,11.73,2.7,20.5,3.12,0.0,0.0
2020-01-17,288731.0,2616664.0,-2905396.0,288731.0,0.0,0.51,4.66,-5.17,0.51,0.0,20.8,1.46,0.0,0.0
2020-01-20,542879.0,342629.0,-885508.0,547131.0,-4252.0,1.33,0.84,-2.17,1.34,-0.01,21.05,1.2,0.0,0.0
2020-01-21,208037.0,-4006289.0,3798252.0,208037.0,0.0,0.44,-8.54,8.1,0.44,0.0,21.28,1.09,0.0,0.0
2020-01-22,-1887473.0,818964.0,1068509.0,-1777195.0,-110278.0,-3.89,1.69,2.2,-3.66,-0.23,21.2,-0.38,0.0,0.0
2020-01-23,-1018297.0,-124170.0,1142467.0,-1018297.0,0.0,-2.75,-0.33,3.08,-2.75,0.0,20.91,-1.37,0.0,0.0
2020-02-03,-6083905.0,3187027.0,2896877.0,-6111751.0,27846.0,-18.81,9.85,8.96,-18.9,0.09,18.82,-10.0,0.0,0.0
2020-02-04,1084402.0,-3576948.0,2492546.0,1684402.0,-600000.0,1.46,-4.82,3.36,2.27,-0.81,19.04,1.17,0.0,0.0
2020-02-05,297843.0,-6274353.0,5976511.0,297843.0,0.0,0.54,-11.4,10.86,0.54,0.0,19.29,1.31,0.0,0.0
2020-02-06,888396.0,-5821134.0,4932736.0,100100.0,788296.0,2.1,-13.79,11.68,0.24,1.87,19.45,0.83,0.0,0.0
2020-02-07,-502565.0,-2688691.0,3191256.0,-502565.0,0.0,-1.27,-6.79,8.06,-1.27,0.0,19.87,2.16,0.0,0.0
2020-02-10,824356.0,-2147540.0,1323183.0,824356.0,0.0,1.71,-4.45,2.74,1.71,0.0,20.93,5.33,0.0,0.0
2020-02-11,-1440016.0,-1906359.0,3346374.0,-1440016.0,0.0,-3.21,-4.25,7.46,-3.21,0.0,20.95,0.1,0.0,0.0
2020-02-12,42323.0,-1786894.0,1744571.0,3391310.0,-3348987.0,0.11,-4.74,4.63,9.0,-8.89,20.97,0.1,0.0,0.0
2020-02-13,-4019109.0,-297980.0,4317089.0,-4019109.0,0.0,-9.12,-0.68,9.8,-9.12,0.0,21.01,0.19,0.0,0.0
2020-02-14,-2763007.0,5221807.0,-2458798.0,-6105629.0,3342622.0,-3.16,5.98,-2.81,-6.99,3.83,21.76,3.57,0.0,0.0
2020-02-17,-7859784.0,-400860.0,8260645.0,-6752096.0,-1107688.0,-10.51,-0.54,11.05,-9.03,-1.48,21.71,-0.23,0.0,0.0
2020-02-18,2732806.0,-1200706.0,-1532101.0,2728508.0,4298.0,4.29,-1.88,-2.4,4.28,0.01,21.95,1.11,0.0,0.0
2020-02-19,1885281.0,-4976915.0,3091634.0,2623195.0,-737914.0,3.06,-8.09,5.02,4.26,-1.2,22.12,0.77,0.0,0.0
