date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2546682.0,2069124.0,477557.0,-2546682.0,0.0,-6.72,5.46,1.26,-6.72,0.0,8.62,0.0,0.0,0.0
2020-01-09,628300.0,-4062216.0,3433915.0,628300.0,0.0,2.63,-16.97,14.35,2.63,0.0,8.63,0.12,0.0,0.0
2020-01-10,-1507976.0,6817135.0,-5309160.0,-2569855.0,1061879.0,-3.66,16.53,-12.87,-6.23,2.57,8.5,-1.51,0.0,0.0
2020-01-13,3840405.0,-3486964.0,-353440.0,4089860.0,-249455.0,12.83,-11.65,-1.18,13.66,-0.83,8.67,2.0,0.0,0.0
2020-01-14,318606.0,-5130529.0,4811923.0,318606.0,0.0,1.26,-20.35,19.08,1.26,0.0,8.71,0.46,0.0,0.0
2020-01-15,3110573.0,-8535684.0,5425111.0,2043817.0,1066756.0,4.29,-11.78,7.49,2.82,1.47,8.97,2.99,0.0,0.0
2020-01-16,-5727062.0,1433079.0,4293983.0,-5727062.0,0.0,-8.91,2.23,6.68,-8.91,0.0,8.73,-2.68,0.0,0.0
2020-01-17,-1164097.0,-337950.0,1502047.0,-1164097.0,0.0,-4.63,-1.34,5.97,-4.63,0.0,8.72,-0.11,0.0,0.0
2020-01-20,4700674.0,4164290.0,-8864964.0,4700674.0,0.0,11.36,10.07,-21.43,11.36,0.0,8.76,0.46,0.0,0.0
2020-01-21,-1476004.0,1534130.0,-58126.0,-1476004.0,0.0,-4.26,4.43,-0.17,-4.26,0.0,8.58,-2.05,0.0,0.0
2020-01-22,220633.0,-1712977.0,1492343.0,220633.0,0.0,0.96,-7.46,6.5,0.96,0.0,8.7,1.4,0.0,0.0
2020-01-23,-7770505.0,4644534.0,3125971.0,-5228358.0,-2542147.0,-19.65,11.75,7.91,-13.22,-6.43,8.21,-5.63,0.0,0.0
