date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1341809.0,562459.0,779352.0,24220.0,-1366029.0,-2.84,1.19,1.65,0.05,-2.89,10.35,1.17,0.0,0.0
2020-01-09,7693173.0,563898.0,-8257071.0,6613499.0,1079674.0,7.65,0.56,-8.21,6.57,1.07,10.71,3.48,0.0,0.0
2020-01-10,-2125343.0,-4310685.0,6436027.0,-249454.0,-1875889.0,-3.88,-7.87,11.75,-0.46,-3.42,10.58,-1.21,0.0,0.0
2020-01-13,38692.0,3927540.0,-3966232.0,38692.0,0.0,0.05,5.21,-5.26,0.05,0.0,10.68,0.95,0.0,0.0
2020-01-14,1005288.0,1288352.0,-2293640.0,1989076.0,-983788.0,2.04,2.61,-4.65,4.03,-1.99,10.56,-1.12,0.0,0.0
2020-01-15,-5262505.0,3838059.0,1424447.0,-5637985.0,375480.0,-13.14,9.59,3.56,-14.08,0.94,10.63,0.66,0.0,0.0
2020-01-16,-3957637.0,2132440.0,1825195.0,-3538175.0,-419462.0,-9.8,5.28,4.52,-8.76,-1.04,10.5,-1.22,0.0,0.0
2020-01-17,-102532.0,-459804.0,562335.0,-102532.0,0.0,-0.43,-1.94,2.38,-0.43,0.0,10.4,-0.95,0.0,0.0
2020-01-20,844217.0,-1554549.0,710332.0,1119617.0,-275400.0,2.27,-4.18,1.91,3.01,-0.74,10.09,-2.98,0.0,0.0
2020-01-21,-2497261.0,8430171.0,-5932909.0,-2497261.0,0.0,-7.18,24.25,-17.07,-7.18,0.0,9.7,-3.87,0.0,0.0
2020-01-22,4196215.0,-1089018.0,-3107198.0,4196215.0,0.0,9.77,-2.54,-7.24,9.77,0.0,9.72,0.21,0.0,0.0
2020-01-23,-692109.0,318838.0,373271.0,2331613.0,-3023722.0,-1.22,0.56,0.66,4.12,-5.35,9.4,-3.29,0.0,0.0
2020-02-03,-482220.0,146358.0,335862.0,-482220.0,0.0,-26.13,7.93,18.2,-26.13,0.0,8.46,-10.0,0.0,0.0
2020-02-04,-6162718.0,1651356.0,4511361.0,3830361.0,-9993079.0,-10.17,2.72,7.44,6.32,-16.48,7.72,-8.75,0.0,0.0
2020-02-05,-7588133.0,7752977.0,-164844.0,-6774243.0,-813890.0,-11.67,11.92,-0.25,-10.42,-1.25,7.43,-3.76,0.0,0.0
2020-02-06,2372747.0,5410138.0,-7782885.0,577306.0,1795441.0,3.17,7.23,-10.41,0.77,2.4,7.8,4.98,0.0,0.0
2020-02-07,1259589.0,-2271846.0,1012255.0,1552402.0,-292813.0,2.01,-3.62,1.61,2.47,-0.47,7.97,2.18,0.0,0.0
2020-02-10,-431348.0,-696984.0,1128332.0,-431348.0,0.0,-1.31,-2.12,3.44,-1.31,0.0,7.99,0.25,0.0,0.0
2020-02-11,192798.0,795762.0,-988560.0,192798.0,0.0,0.46,1.91,-2.38,0.46,0.0,8.17,2.25,0.0,0.0
2020-02-12,-2170396.0,601495.0,1568901.0,-2314946.0,144550.0,-4.95,1.37,3.58,-5.28,0.33,8.34,2.08,0.0,0.0
2020-02-13,-1266136.0,2845906.0,-1579771.0,-1266136.0,0.0,-4.99,11.22,-6.23,-4.99,0.0,8.17,-2.04,0.0,0.0
2020-02-14,38114.0,884807.0,-922920.0,38114.0,0.0,0.2,4.74,-4.95,0.2,0.0,8.25,0.98,0.0,0.0
2020-02-17,-1142959.0,-532734.0,1675691.0,-1189519.0,46560.0,-4.96,-2.31,7.27,-5.16,0.2,8.36,1.33,0.0,0.0
2020-02-18,-3529367.0,2369817.0,1159551.0,-1749440.0,-1779927.0,-12.29,8.25,4.04,-6.09,-6.2,8.31,-0.6,0.0,0.0
2020-02-19,-1193773.0,-699031.0,1892805.0,52706.0,-1246479.0,-4.81,-2.82,7.62,0.21,-5.02,8.24,-0.84,0.0,0.0
2020-02-20,6452350.0,-2656701.0,-3795649.0,5183800.0,1268550.0,7.07,-2.91,-4.16,5.68,1.39,8.89,7.89,0.0,0.0
2020-02-21,3143139.0,-2313987.0,-829152.0,2486560.0,656579.0,3.91,-2.88,-1.03,3.1,0.82,9.17,3.15,0.0,0.0
2020-02-24,-2036768.0,-2883736.0,4920505.0,-1721265.0,-315503.0,-4.33,-6.13,10.46,-3.66,-0.67,9.11,-0.65,0.0,0.0
2020-02-25,-1672536.0,-1040058.0,2712595.0,-1672536.0,0.0,-4.35,-2.71,7.06,-4.35,0.0,9.0,-1.21,0.0,0.0
2020-02-26,1009463.0,-404089.0,-605375.0,1192463.0,-183000.0,2.95,-1.18,-1.77,3.48,-0.53,8.96,-0.44,0.0,0.0
2020-02-27,-444681.0,714594.0,-269914.0,-444681.0,0.0,-2.09,3.36,-1.27,-2.09,0.0,8.9,-0.67,0.0,0.0
2020-02-28,814173.0,-442984.0,-371189.0,814173.0,0.0,2.87,-1.56,-1.31,2.87,0.0,8.99,1.01,0.0,0.0
2020-03-02,308876.0,-397099.0,88224.0,-995154.0,1304030.0,0.84,-1.08,0.24,-2.71,3.55,9.05,0.67,0.0,0.0
2020-03-03,1554576.0,-5284421.0,3729845.0,338102.0,1216474.0,2.37,-8.07,5.7,0.52,1.86,9.25,2.21,0.0,0.0
2020-03-04,-1348325.0,-1292577.0,2640902.0,-1387885.0,39560.0,-4.12,-3.95,8.07,-4.24,0.12,9.2,-0.54,0.0,0.0
2020-03-05,1479670.0,-1885664.0,405994.0,1479670.0,0.0,2.99,-3.81,0.82,2.99,0.0,9.36,1.74,0.0,0.0
2020-03-06,1037493.0,-2487609.0,1450115.0,1213501.0,-176008.0,1.72,-4.12,2.4,2.01,-0.29,9.78,4.49,0.0,0.0
2020-03-09,-10107769.0,73586.0,10034182.0,-8108122.0,-1999647.0,-13.52,0.1,13.42,-10.84,-2.67,9.88,1.02,0.0,0.0
2020-03-10,-2757100.0,-1979088.0,4736188.0,-7299178.0,4542078.0,-2.39,-1.71,4.1,-6.32,3.93,10.08,2.02,0.0,0.0
2020-03-11,-4917791.0,3717489.0,1200302.0,-1965968.0,-2951823.0,-11.22,8.48,2.74,-4.48,-6.73,9.95,-1.29,0.0,0.0
2020-03-12,-324691.0,87450.0,237240.0,-324691.0,0.0,-1.05,0.28,0.77,-1.05,0.0,9.65,-3.02,0.0,0.0
2020-03-13,-5881530.0,-1672873.0,7554404.0,52941.0,-5934471.0,-13.01,-3.7,16.7,0.12,-13.12,9.64,-0.1,0.0,0.0
2020-03-16,-7932580.0,7120681.0,811899.0,-5847668.0,-2084912.0,-17.59,15.79,1.8,-12.97,-4.62,9.29,-3.63,0.0,0.0
2020-03-17,2381289.0,-1525028.0,-856261.0,2381289.0,0.0,9.43,-6.04,-3.39,9.43,0.0,9.13,-1.72,0.0,0.0
2020-03-18,144289.0,1164312.0,-1308600.0,144289.0,0.0,0.76,6.1,-6.85,0.76,0.0,8.99,-1.53,0.0,0.0
2020-03-19,1359412.0,811566.0,-2170978.0,1359412.0,0.0,5.61,3.35,-8.96,5.61,0.0,8.81,-2.0,0.0,0.0
2020-03-20,-513187.0,169099.0,344088.0,-513187.0,0.0,-2.8,0.92,1.88,-2.8,0.0,8.94,1.48,0.0,0.0
2020-03-23,224289.0,-351405.0,127116.0,224289.0,0.0,1.51,-2.36,0.85,1.51,0.0,8.58,-4.03,0.0,0.0
2020-03-24,1947060.0,-1020297.0,-926764.0,1035195.0,911865.0,11.5,-6.03,-5.47,6.11,5.39,8.9,3.73,0.0,0.0
2020-03-25,-1384456.0,671160.0,713297.0,-1384456.0,0.0,-5.25,2.54,2.7,-5.25,0.0,9.2,3.37,0.0,0.0
2020-03-26,695249.0,1387865.0,-2083113.0,695249.0,0.0,2.78,5.56,-8.34,2.78,0.0,9.21,0.11,0.0,0.0
2020-03-27,-1008963.0,1960323.0,-951360.0,-1008963.0,0.0,-7.51,14.59,-7.08,-7.51,0.0,9.21,0.0,0.0,0.0
2020-03-30,-710213.0,1034342.0,-324129.0,-710213.0,0.0,-6.53,9.51,-2.98,-6.53,0.0,8.99,-2.39,0.0,0.0
2020-03-31,-268460.0,322324.0,-53865.0,-268460.0,0.0,-2.73,3.28,-0.55,-2.73,0.0,8.93,-0.67,0.0,0.0
2020-04-01,-473187.0,1721718.0,-1248532.0,-473187.0,0.0,-5.43,19.75,-14.32,-5.43,0.0,8.75,-2.02,0.0,0.0
