date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-32132098.0,28952826.0,3179272.0,-12392918.0,-19739180.0,-11.56,10.42,1.14,-4.46,-7.1,8.61,-2.16,0.0,0.0
2020-01-09,-13409825.0,8667588.0,4742235.0,-11594690.0,-1815135.0,-7.1,4.59,2.51,-6.14,-0.96,8.65,0.46,0.0,0.0
2020-01-10,-19593716.0,23983883.0,-4390166.0,-10237350.0,-9356366.0,-11.78,14.43,-2.64,-6.16,-5.63,8.5,-1.73,0.0,0.0
2020-01-13,5977474.0,9036182.0,-15013656.0,2278426.0,3699048.0,3.42,5.16,-8.58,1.3,2.11,8.62,1.41,0.0,0.0
2020-01-14,24254627.0,-1664166.0,-22590460.0,14828371.0,9426256.0,6.11,-0.42,-5.69,3.73,2.37,8.75,1.51,0.0,0.0
2020-01-15,-41208526.0,34495527.0,6712998.0,-31104602.0,-10103924.0,-19.85,16.62,3.23,-14.99,-4.87,8.54,-2.4,0.0,0.0
2020-01-16,190774489.0,-89124614.0,-101649888.0,56433702.0,134340787.0,19.0,-8.87,-10.12,5.62,13.38,9.18,7.49,0.0,0.0
2020-01-17,-3964229.0,16419949.0,-12455712.0,11440924.0,-15405153.0,-0.48,1.98,-1.5,1.38,-1.86,9.37,2.07,0.0,0.0
2020-01-20,-104355297.0,51823681.0,52531615.0,-44789780.0,-59565517.0,-18.6,9.24,9.36,-7.98,-10.62,9.19,-1.92,0.0,0.0
2020-01-21,-53793959.0,33233432.0,20560527.0,-23382658.0,-30411301.0,-11.88,7.34,4.54,-5.16,-6.72,8.87,-3.48,0.0,0.0
2020-01-22,-24762183.0,19659037.0,5103147.0,-18879475.0,-5882708.0,-7.17,5.7,1.48,-5.47,-1.7,8.73,-1.58,0.0,0.0
2020-01-23,-92478131.0,61573636.0,30904494.0,-68284026.0,-24194105.0,-25.45,16.95,8.51,-18.8,-6.66,8.18,-6.3,0.0,0.0
2020-02-03,-7636736.0,5927744.0,1708992.0,579232.0,-8215968.0,-55.13,42.79,12.34,4.18,-59.31,7.36,-10.02,0.0,0.0
2020-02-04,-22836945.0,26487365.0,-3650419.0,-24863591.0,2026646.0,-7.38,8.56,-1.18,-8.04,0.66,6.96,-5.43,0.0,0.0
2020-02-05,-22225303.0,19880447.0,2344856.0,-17230321.0,-4994982.0,-9.21,8.23,0.97,-7.14,-2.07,7.04,1.15,0.0,0.0
2020-02-06,8996699.0,-816301.0,-8180396.0,1369234.0,7627465.0,4.36,-0.4,-3.97,0.66,3.7,7.2,2.27,0.0,0.0
2020-02-07,17907392.0,-9118125.0,-8789268.0,5405394.0,12501998.0,5.76,-2.93,-2.83,1.74,4.02,7.58,5.28,0.0,0.0
2020-02-10,92031305.0,-39226772.0,-52804533.0,33638923.0,58392382.0,19.27,-8.21,-11.06,7.04,12.23,8.34,10.03,0.0,0.0
2020-02-11,4441942.0,15060452.0,-19502384.0,-2804431.0,7246373.0,0.61,2.06,-2.67,-0.38,0.99,8.53,2.28,0.0,0.0
2020-02-12,-19086203.0,12891257.0,6194946.0,-14113497.0,-4972706.0,-3.29,2.22,1.07,-2.43,-0.86,8.7,1.99,0.0,0.0
2020-02-13,-9737115.0,6872225.0,2864880.0,-12960775.0,3223660.0,-1.5,1.06,0.44,-1.99,0.5,8.85,1.72,0.0,0.0
2020-02-14,-28528113.0,24994976.0,3533137.0,-19511500.0,-9016613.0,-5.49,4.81,0.68,-3.76,-1.74,8.89,0.45,0.0,0.0
2020-02-17,4685476.0,5886333.0,-10571809.0,13278535.0,-8593059.0,0.89,1.12,-2.01,2.53,-1.63,9.18,3.26,0.0,0.0
2020-02-18,-8126835.0,10964869.0,-2838033.0,-11269940.0,3143105.0,-1.4,1.89,-0.49,-1.94,0.54,9.34,1.74,0.0,0.0
2020-02-19,-66702735.0,45984048.0,20718688.0,-49561890.0,-17140845.0,-12.13,8.36,3.77,-9.01,-3.12,8.98,-3.85,0.0,0.0
2020-02-20,93733998.0,-47180647.0,-46553351.0,-6526824.0,100260822.0,23.89,-12.02,-11.86,-1.66,25.55,9.88,10.02,0.0,0.0
2020-02-21,-141240140.0,111743024.0,29497136.0,-62164720.0,-79075420.0,-11.49,9.09,2.4,-5.06,-6.44,9.6,-2.83,0.0,0.0
2020-02-24,31210758.0,2214712.0,-33425488.0,-6624061.0,37834819.0,3.1,0.22,-3.31,-0.66,3.75,10.06,4.79,0.0,0.0
