date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-33513123.0,29770127.0,3742996.0,-23853292.0,-9659831.0,-15.31,13.6,1.71,-10.9,-4.41,16.62,-2.46,0.0,0.0
2020-01-09,-10082758.0,1612724.0,8470033.0,-7029865.0,-3052893.0,-6.34,1.01,5.33,-4.42,-1.92,16.79,1.02,0.0,0.0
2020-01-10,-17675415.0,26788129.0,-9112715.0,-13843057.0,-3832358.0,-13.2,20.0,-6.8,-10.34,-2.86,16.7,-0.54,0.0,0.0
2020-01-13,-9649338.0,1919944.0,7729393.0,-10251560.0,602222.0,-5.25,1.04,4.21,-5.58,0.33,17.03,1.98,0.0,0.0
2020-01-14,-23928699.0,12807637.0,11121061.0,-9142020.0,-14786679.0,-14.19,7.6,6.6,-5.42,-8.77,16.73,-1.76,0.0,0.0
2020-01-15,-9801712.0,3803721.0,5997991.0,-5574849.0,-4226863.0,-9.42,3.66,5.77,-5.36,-4.06,16.77,0.24,0.0,0.0
2020-01-16,2507399.0,-7419075.0,4911678.0,2777610.0,-270211.0,1.83,-5.42,3.59,2.03,-0.2,16.88,0.66,0.0,0.0
2020-01-17,19210988.0,-16616707.0,-2594282.0,18053090.0,1157898.0,10.23,-8.85,-1.38,9.61,0.62,17.11,1.36,0.0,0.0
2020-01-20,-14286934.0,3721326.0,10565609.0,-12624124.0,-1662810.0,-10.76,2.8,7.96,-9.51,-1.25,17.0,-0.64,0.0,0.0
2020-01-21,-20521987.0,30088120.0,-9566134.0,-10347873.0,-10174114.0,-11.9,17.44,-5.55,-6.0,-5.9,16.56,-2.59,0.0,0.0
2020-01-22,-506866.0,16081750.0,-15574884.0,-17117024.0,16610158.0,-0.18,5.75,-5.57,-6.12,5.94,17.45,5.37,0.0,0.0
2020-01-23,-68626580.0,47945134.0,20681446.0,-45125983.0,-23500597.0,-18.05,12.61,5.44,-11.87,-6.18,16.08,-7.85,0.0,0.0
2020-02-03,-10151274.0,5422449.0,4728826.0,270011.0,-10421285.0,-22.27,11.9,10.37,0.59,-22.86,14.45,-10.14,0.0,0.0
2020-02-04,-7099885.0,-873070.0,7972953.0,-10588247.0,3488362.0,-1.94,-0.24,2.18,-2.89,0.95,15.09,4.43,0.0,0.0
2020-02-05,-18574751.0,9529128.0,9045623.0,-18153502.0,-421249.0,-7.85,4.03,3.83,-7.68,-0.18,15.11,0.13,0.0,0.0
2020-02-06,17925974.0,-6478014.0,-11447960.0,-235883.0,18161857.0,5.7,-2.06,-3.64,-0.08,5.78,15.65,3.57,0.0,0.0
2020-02-07,-47861194.0,19880243.0,27980951.0,-19489435.0,-28371759.0,-8.32,3.46,4.86,-3.39,-4.93,16.87,7.8,0.0,0.0
2020-02-10,-30286220.0,19302483.0,10983738.0,-34554639.0,4268419.0,-4.78,3.05,1.73,-5.46,0.67,16.87,0.0,0.0,0.0
2020-02-11,-36496825.0,20773753.0,15723071.0,-11121162.0,-25375663.0,-9.86,5.61,4.25,-3.0,-6.85,16.11,-4.51,0.0,0.0
2020-02-12,5006755.0,-3876003.0,-1130753.0,-3269424.0,8276179.0,2.23,-1.72,-0.5,-1.45,3.68,16.36,1.55,0.0,0.0
2020-02-13,-6885536.0,2130766.0,4754769.0,-6441741.0,-443795.0,-2.38,0.74,1.64,-2.22,-0.15,16.26,-0.61,0.0,0.0
2020-02-14,-19565425.0,17678037.0,1887386.0,-18341395.0,-1224030.0,-8.74,7.9,0.84,-8.19,-0.55,16.24,-0.12,0.0,0.0
2020-02-17,609128.0,-299743.0,-309384.0,6262990.0,-5653862.0,0.19,-0.09,-0.1,1.97,-1.78,16.7,2.83,0.0,0.0
