date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-11997758.0,7186804.0,4810953.0,-9526064.0,-2471694.0,-19.13,11.46,7.67,-15.19,-3.94,6.69,-3.46,0.0,0.0
2020-01-09,-1009935.0,893645.0,116289.0,-1009935.0,0.0,-3.39,3.0,0.39,-3.39,0.0,6.75,0.9,0.0,0.0
2020-01-10,2332680.0,936096.0,-3268775.0,2332680.0,0.0,5.66,2.27,-7.93,5.66,0.0,6.87,1.78,0.0,0.0
2020-01-13,3751668.0,-9419506.0,5667838.0,3751668.0,0.0,7.02,-17.62,10.6,7.02,0.0,6.88,0.15,0.0,0.0
2020-01-14,2733800.0,-1142571.0,-1591228.0,3115355.0,-381555.0,5.54,-2.32,-3.22,6.31,-0.77,6.83,-0.73,0.0,0.0
2020-01-15,-5232538.0,8706661.0,-3474124.0,-2864583.0,-2367955.0,-14.94,24.86,-9.92,-8.18,-6.76,6.7,-1.9,0.0,0.0
2020-01-16,-5761716.0,8650158.0,-2888442.0,-5679591.0,-82125.0,-16.79,25.2,-8.42,-16.55,-0.24,6.58,-1.79,0.0,0.0
2020-01-17,105754.0,-32466.0,-73288.0,105754.0,0.0,0.32,-0.1,-0.22,0.32,0.0,6.52,-0.91,0.0,0.0
2020-01-20,-81116.0,1812590.0,-1731474.0,2154404.0,-2235520.0,-0.23,5.06,-4.84,6.02,-6.25,6.57,0.77,0.0,0.0
2020-01-21,1390510.0,-905804.0,-484706.0,1083312.0,307198.0,3.63,-2.36,-1.26,2.83,0.8,6.39,-2.74,0.0,0.0
2020-01-22,2766195.0,-2449472.0,-316723.0,2766195.0,0.0,10.46,-9.26,-1.2,10.46,0.0,6.45,0.94,0.0,0.0
2020-01-23,-2386061.0,-22117.0,2408178.0,-1103068.0,-1282993.0,-5.91,-0.05,5.96,-2.73,-3.18,6.29,-2.48,0.0,0.0
2020-02-03,-1044270.0,1126340.0,-82070.0,44714.0,-1088984.0,-30.82,33.24,-2.42,1.32,-32.14,5.66,-10.02,0.0,0.0
2020-02-04,-616734.0,1231443.0,-614709.0,-616734.0,0.0,-1.42,2.83,-1.41,-1.42,0.0,5.34,-5.65,0.0,0.0
2020-02-05,-402361.0,1882594.0,-1480233.0,-402361.0,0.0,-0.88,4.12,-3.24,-0.88,0.0,5.38,0.75,0.0,0.0
2020-02-06,246838.0,-1536700.0,1289862.0,215982.0,30856.0,0.57,-3.53,2.96,0.5,0.07,5.39,0.19,0.0,0.0
2020-02-07,372579.0,4756424.0,-5129002.0,372579.0,0.0,0.73,9.32,-10.05,0.73,0.0,5.36,-0.56,0.0,0.0
2020-02-10,-937452.0,-317243.0,1254694.0,-937452.0,0.0,-1.95,-0.66,2.62,-1.95,0.0,5.44,1.49,0.0,0.0
2020-02-11,5223395.0,-10705172.0,5481778.0,4717288.0,506107.0,8.28,-16.97,8.69,7.48,0.8,5.54,1.84,0.0,0.0
2020-02-12,7378643.0,-7389367.0,10724.0,3990215.0,3388428.0,12.35,-12.37,0.02,6.68,5.67,5.78,4.33,0.0,0.0
2020-02-13,-2609655.0,-5713239.0,8322893.0,-3282810.0,673155.0,-4.25,-9.31,13.56,-5.35,1.1,5.84,1.04,0.0,0.0
2020-02-14,-16663837.0,-2261711.0,18925547.0,2034470.0,-18698307.0,-14.93,-2.03,16.96,1.82,-16.75,6.13,4.97,0.0,0.0
