date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,28626857.0,-19769992.0,-8856864.0,896834.0,27730023.0,6.77,-4.67,-2.09,0.21,6.55,7.75,7.04,0.0,0.0
2020-01-09,40854622.0,-21722515.0,-19132108.0,22339836.0,18514786.0,14.7,-7.82,-6.88,8.04,6.66,8.55,10.32,0.0,0.0
2020-01-10,-12086143.0,16323127.0,-4236984.0,-14730858.0,2644715.0,-1.44,1.95,-0.51,-1.76,0.32,8.26,-3.39,0.0,0.0
2020-01-13,-69731364.0,32287856.0,37443508.0,-31292463.0,-38438901.0,-17.35,8.03,9.32,-7.79,-9.56,8.09,-2.06,0.0,0.0
2020-01-14,-12925470.0,17898264.0,-4972793.0,-5568135.0,-7357335.0,-4.41,6.11,-1.7,-1.9,-2.51,8.21,1.48,0.0,0.0
2020-01-15,-65721997.0,47824430.0,17897569.0,-51579426.0,-14142571.0,-16.47,11.99,4.49,-12.93,-3.54,7.77,-5.36,0.0,0.0
2020-01-16,-43218329.0,40288739.0,2929590.0,-25329043.0,-17889286.0,-13.41,12.51,0.91,-7.86,-5.55,7.56,-2.7,0.0,0.0
2020-01-17,-8703039.0,4186649.0,4516390.0,-3064890.0,-5638149.0,-4.33,2.08,2.25,-1.52,-2.81,7.35,-2.78,0.0,0.0
2020-01-20,952103.0,-6753883.0,5801779.0,1222529.0,-270426.0,0.38,-2.68,2.3,0.49,-0.11,7.42,0.95,0.0,0.0
2020-01-21,-7661708.0,4034714.0,3626992.0,-8395141.0,733433.0,-3.16,1.66,1.5,-3.46,0.3,7.45,0.4,0.0,0.0
2020-01-22,-18955446.0,20420946.0,-1465498.0,-9306315.0,-9649131.0,-11.11,11.96,-0.86,-5.45,-5.65,7.27,-2.42,0.0,0.0
2020-01-23,-15386127.0,10310191.0,5075936.0,-10973777.0,-4412350.0,-8.39,5.62,2.77,-5.98,-2.41,7.13,-1.93,0.0,0.0
2020-02-03,-4675556.0,3632744.0,1042812.0,-366860.0,-4308696.0,-25.53,19.84,5.69,-2.0,-23.53,6.39,-10.38,0.0,0.0
2020-02-04,-10901941.0,9772878.0,1129063.0,-9197185.0,-1704756.0,-6.97,6.24,0.72,-5.88,-1.09,6.41,0.31,0.0,0.0
2020-02-05,-10362040.0,10203457.0,158583.0,-12997177.0,2635137.0,-5.73,5.65,0.09,-7.19,1.46,6.8,6.08,0.0,0.0
2020-02-06,-16692954.0,13948204.0,2744750.0,-12193070.0,-4499884.0,-8.46,7.07,1.39,-6.18,-2.28,6.95,2.21,0.0,0.0
2020-02-07,-17733200.0,19755794.0,-2022593.0,-16385793.0,-1347407.0,-11.93,13.3,-1.36,-11.03,-0.91,6.84,-1.58,0.0,0.0
2020-02-10,18446022.0,-12732339.0,-5713683.0,10705474.0,7740548.0,8.07,-5.57,-2.5,4.68,3.39,7.41,8.33,0.0,0.0
2020-02-11,-15275528.0,11893828.0,3381700.0,-7141224.0,-8134304.0,-9.31,7.25,2.06,-4.35,-4.96,7.03,-5.13,0.0,0.0
2020-02-12,-16885648.0,15176083.0,1709566.0,-11596079.0,-5289569.0,-14.49,13.02,1.47,-9.95,-4.54,7.0,-0.43,0.0,0.0
2020-02-13,32503882.0,-18627248.0,-13876634.0,-2080792.0,34584674.0,8.85,-5.07,-3.78,-0.57,9.42,7.69,9.86,0.0,0.0
2020-02-14,-19107409.0,19072924.0,34485.0,-12338461.0,-6768948.0,-8.21,8.19,0.01,-5.3,-2.91,7.39,-3.9,0.0,0.0
2020-02-17,-4117967.0,8688007.0,-4570040.0,-10275383.0,6157416.0,-1.76,3.71,-1.95,-4.39,2.63,7.69,4.06,0.0,0.0
2020-02-18,-17460109.0,16073910.0,1386199.0,-13865835.0,-3594274.0,-7.68,7.07,0.61,-6.1,-1.58,7.7,0.13,0.0,0.0
2020-02-19,-27243970.0,27183564.0,60407.0,-18238410.0,-9005560.0,-14.72,14.69,0.03,-9.85,-4.87,7.4,-3.9,0.0,0.0
2020-02-20,-18754908.0,20232223.0,-1477316.0,-19502494.0,747586.0,-11.85,12.78,-0.93,-12.32,0.47,7.41,0.14,0.0,0.0
2020-02-21,-45846446.0,33789258.0,12057188.0,-21965013.0,-23881433.0,-25.44,18.75,6.69,-12.19,-13.25,7.25,-2.16,0.0,0.0
2020-02-24,-7338030.0,12848278.0,-5510248.0,-6306971.0,-1031059.0,-4.41,7.73,-3.31,-3.79,-0.62,7.42,2.34,0.0,0.0
2020-02-25,3425326.0,-1272265.0,-2153062.0,-5965003.0,9390329.0,1.08,-0.4,-0.68,-1.89,2.97,7.76,4.58,0.0,0.0
