date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-630986.0,2052385.0,-1421398.0,-630986.0,0.0,-2.69,8.76,-6.07,-2.69,0.0,10.93,-2.76,0.0,0.0
2020-01-09,-760465.0,3739985.0,-2979520.0,-760465.0,0.0,-4.32,21.24,-16.92,-4.32,0.0,11.01,0.73,0.0,0.0
2020-01-10,-1773408.0,1512246.0,261162.0,-1773408.0,0.0,-16.68,14.22,2.46,-16.68,0.0,10.95,-0.54,0.0,0.0
2020-01-13,-379702.0,1473751.0,-1094049.0,-379702.0,0.0,-3.43,13.31,-9.88,-3.43,0.0,11.02,0.64,0.0,0.0
2020-01-14,-432935.0,971569.0,-538633.0,-432935.0,0.0,-2.95,6.61,-3.67,-2.95,0.0,11.07,0.45,0.0,0.0
2020-01-15,-520124.0,1811710.0,-1291585.0,-520124.0,0.0,-4.26,14.84,-10.58,-4.26,0.0,10.86,-1.9,0.0,0.0
2020-01-16,-1115435.0,3779287.0,-2663852.0,-1286635.0,171200.0,-6.6,22.37,-15.76,-7.61,1.01,10.64,-2.03,0.0,0.0
2020-01-17,52244.0,87808.0,-140052.0,928228.0,-875984.0,0.55,0.92,-1.46,9.71,-9.16,10.56,-0.75,0.0,0.0
2020-01-20,-318230.0,1087092.0,-768861.0,-318230.0,0.0,-2.4,8.2,-5.8,-2.4,0.0,10.45,-1.04,0.0,0.0
2020-01-21,-2040915.0,3206756.0,-1165840.0,-3065954.0,1025039.0,-10.94,17.19,-6.25,-16.43,5.49,10.27,-1.72,0.0,0.0
2020-01-22,959145.0,-231765.0,-727380.0,959145.0,0.0,10.4,-2.51,-7.89,10.4,0.0,10.31,0.39,0.0,0.0
2020-01-23,-2254605.0,2915268.0,-660662.0,-2254605.0,0.0,-10.73,13.88,-3.14,-10.73,0.0,9.99,-3.1,0.0,0.0
2020-02-03,-217378.0,569247.0,-351869.0,-217378.0,0.0,-9.5,24.89,-15.39,-9.5,0.0,8.99,-10.01,0.0,0.0
