date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-32351439.0,23536306.0,8815132.0,-17664430.0,-14687009.0,-16.83,12.24,4.59,-9.19,-7.64,13.36,-2.98,0.0,0.0
2020-01-09,-9067670.0,14144141.0,-5076471.0,-12629132.0,3561462.0,-4.54,7.08,-2.54,-6.32,1.78,13.59,1.72,0.0,0.0
2020-01-10,-10419588.0,6127095.0,4292494.0,-12512344.0,2092756.0,-5.15,3.03,2.12,-6.19,1.04,13.53,-0.44,0.0,0.0
2020-01-13,-12495920.0,17379718.0,-4883798.0,-12923560.0,427640.0,-7.11,9.89,-2.78,-7.35,0.24,13.65,0.89,0.0,0.0
2020-01-14,10020151.0,1140602.0,-11160752.0,9895306.0,124845.0,3.15,0.36,-3.51,3.12,0.04,13.95,2.2,0.0,0.0
2020-01-15,-6090731.0,618703.0,5472028.0,-4804863.0,-1285868.0,-4.15,0.42,3.72,-3.27,-0.88,13.86,-0.65,0.0,0.0
2020-01-16,-3919192.0,948051.0,2971143.0,5390942.0,-9310134.0,-2.11,0.51,1.6,2.9,-5.01,13.96,0.72,0.0,0.0
2020-01-17,-10642021.0,7999059.0,2642962.0,-4586486.0,-6055535.0,-8.91,6.7,2.21,-3.84,-5.07,13.73,-1.65,0.0,0.0
2020-01-20,8830686.0,-4705681.0,-4125006.0,6858836.0,1971850.0,4.6,-2.45,-2.15,3.57,1.03,14.04,2.26,0.0,0.0
2020-01-21,501527.0,12514747.0,-13016274.0,-1286546.0,1788073.0,0.22,5.41,-5.63,-0.56,0.77,13.98,-0.43,0.0,0.0
2020-01-22,-3184669.0,5539991.0,-2355320.0,2787844.0,-5972513.0,-1.41,2.45,-1.04,1.23,-2.64,14.36,2.72,0.0,0.0
2020-01-23,-18050178.0,7573225.0,10476953.0,-11832533.0,-6217645.0,-7.06,2.96,4.1,-4.62,-2.43,13.77,-4.11,0.0,0.0
2020-02-03,7828858.0,-411209.0,-7417647.0,-8524697.0,16353555.0,22.62,-1.19,-21.43,-24.63,47.25,12.38,-10.09,0.0,0.0
