date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-40717569.0,31113404.0,9604167.0,-30075240.0,-10642329.0,-11.81,9.03,2.79,-8.72,-3.09,15.94,-3.39,0.0,0.0
2020-01-09,-1444223.0,1318139.0,126085.0,119076.0,-1563299.0,-0.81,0.74,0.07,0.07,-0.88,16.03,0.56,0.0,0.0
2020-01-10,-17277411.0,13421210.0,3856200.0,-14868249.0,-2409162.0,-10.68,8.3,2.38,-9.19,-1.49,15.75,-1.75,0.0,0.0
2020-01-13,-1255662.0,824529.0,431133.0,-1247605.0,-8057.0,-1.05,0.69,0.36,-1.05,-0.01,15.91,1.02,0.0,0.0
2020-01-14,2920917.0,2772769.0,-5693685.0,1873034.0,1047883.0,2.13,2.02,-4.15,1.37,0.76,15.96,0.31,0.0,0.0
2020-01-15,-2696498.0,2907198.0,-210699.0,-1265927.0,-1430571.0,-2.57,2.77,-0.2,-1.21,-1.36,15.9,-0.38,0.0,0.0
2020-01-16,-19732644.0,18123157.0,1609488.0,-12780237.0,-6952407.0,-11.57,10.63,0.94,-7.49,-4.08,15.88,-0.13,0.0,0.0
2020-01-17,-8364083.0,8731715.0,-367632.0,-7859657.0,-504426.0,-8.6,8.97,-0.38,-8.08,-0.52,15.74,-0.88,0.0,0.0
2020-01-20,-10289174.0,9927574.0,361599.0,-8027158.0,-2262016.0,-11.22,10.83,0.39,-8.75,-2.47,15.82,0.51,0.0,0.0
2020-01-21,-25028385.0,30944917.0,-5916532.0,-17678673.0,-7349712.0,-15.45,19.1,-3.65,-10.91,-4.54,15.2,-3.92,0.0,0.0
2020-01-22,-35175271.0,36507498.0,-1332227.0,-29164205.0,-6011066.0,-15.91,16.51,-0.6,-13.19,-2.72,14.37,-5.46,0.0,0.0
2020-01-23,-22103728.0,23487762.0,-1384034.0,-18923360.0,-3180368.0,-15.14,16.09,-0.95,-12.96,-2.18,13.9,-3.27,0.0,0.0
2020-02-03,-5207883.0,4436893.0,770990.0,-2371297.0,-2836586.0,-42.79,36.46,6.34,-19.48,-23.31,12.47,-10.29,0.0,0.0
2020-02-04,-14715556.0,25288587.0,-10573030.0,-11816886.0,-2898670.0,-6.68,11.48,-4.8,-5.37,-1.32,11.67,-6.42,0.0,0.0
2020-02-05,-5805414.0,14059047.0,-8253632.0,-2143303.0,-3662111.0,-3.04,7.37,-4.32,-1.12,-1.92,12.27,5.14,0.0,0.0
2020-02-06,-15475275.0,9080188.0,6395087.0,-11316370.0,-4158905.0,-7.51,4.41,3.1,-5.49,-2.02,12.63,2.93,0.0,0.0
2020-02-07,-2597448.0,5821509.0,-3224062.0,-2077199.0,-520249.0,-1.65,3.71,-2.05,-1.32,-0.33,12.79,1.27,0.0,0.0
2020-02-10,-1348425.0,-6739671.0,8088096.0,4040445.0,-5388870.0,-0.54,-2.69,3.23,1.61,-2.15,13.51,5.63,0.0,0.0
2020-02-11,-20585573.0,25712876.0,-5127304.0,-8293359.0,-12292214.0,-13.5,16.87,-3.36,-5.44,-8.06,13.17,-2.52,0.0,0.0
2020-02-12,2721335.0,686898.0,-3408233.0,2439063.0,282272.0,2.29,0.58,-2.87,2.05,0.24,13.37,1.52,0.0,0.0
2020-02-13,-2357741.0,8704374.0,-6346632.0,373628.0,-2731369.0,-2.11,7.81,-5.69,0.34,-2.45,13.32,-0.37,0.0,0.0
2020-02-14,-2254032.0,8743632.0,-6489600.0,-3002056.0,748024.0,-1.98,7.69,-5.71,-2.64,0.66,13.31,-0.08,0.0,0.0
2020-02-17,-4379775.0,2260201.0,2119575.0,-6150945.0,1771170.0,-2.62,1.35,1.27,-3.68,1.06,13.63,2.4,0.0,0.0
2020-02-18,15865281.0,-15003925.0,-861357.0,14848013.0,1017268.0,7.54,-7.13,-0.41,7.06,0.48,14.1,3.45,0.0,0.0
2020-02-19,-10471709.0,1720848.0,8750861.0,2985268.0,-13456977.0,-3.35,0.55,2.8,0.96,-4.31,14.48,2.7,0.0,0.0
2020-02-20,-20167939.0,12082345.0,8085593.0,-17542145.0,-2625794.0,-5.85,3.5,2.35,-5.09,-0.76,14.64,1.1,0.0,0.0
2020-02-21,-8049202.0,11737731.0,-3688529.0,-11061794.0,3012592.0,-3.37,4.92,-1.55,-4.63,1.26,14.58,-0.41,0.0,0.0
2020-02-24,12112530.0,-5994089.0,-6118442.0,1255221.0,10857309.0,4.54,-2.25,-2.29,0.47,4.07,14.84,1.78,0.0,0.0
2020-02-25,-29322934.0,32591871.0,-3268937.0,-16203890.0,-13119044.0,-11.5,12.78,-1.28,-6.35,-5.14,14.66,-1.21,0.0,0.0
2020-02-26,3882868.0,11807942.0,-15690809.0,-7119537.0,11002405.0,0.95,2.9,-3.86,-1.75,2.71,14.94,1.91,0.0,0.0
2020-02-27,-8583140.0,-1305734.0,9888874.0,-7926945.0,-656195.0,-2.8,-0.43,3.22,-2.59,-0.21,14.95,0.07,0.0,0.0
2020-02-28,-22530741.0,19559675.0,2971067.0,-10104084.0,-12426657.0,-8.07,7.0,1.06,-3.62,-4.45,13.88,-7.16,0.0,0.0
2020-03-02,5304341.0,-5337527.0,33186.0,2426361.0,2877980.0,2.18,-2.2,0.01,1.0,1.19,14.82,6.77,0.0,0.0
