date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1457274.0,1052994.0,404280.0,-168548.0,-1288726.0,-5.02,3.63,1.39,-0.58,-4.44,3.7,5.11,0.0,0.0
2020-01-09,-562387.0,52117.0,510270.0,-562387.0,0.0,-5.89,0.55,5.35,-5.89,0.0,3.89,5.14,0.0,0.0
2020-01-10,2274069.0,-1154517.0,-1119552.0,-116280.0,2390349.0,58.27,-29.58,-28.69,-2.98,61.25,4.08,4.88,0.0,0.0
2020-01-13,-3760582.0,2242623.0,1517960.0,-2826979.0,-933603.0,-5.06,3.02,2.04,-3.8,-1.26,4.07,-0.25,0.0,0.0
2020-01-14,338124.0,899362.0,-1237486.0,338124.0,0.0,0.97,2.58,-3.55,0.97,0.0,4.2,3.19,0.0,0.0
2020-01-15,3931555.0,-2565075.0,-1366479.0,3778726.0,152829.0,27.11,-17.69,-9.42,26.06,1.05,4.41,5.0,0.0,0.0
2020-01-16,24871.0,1590241.0,-1615111.0,315757.0,-290886.0,0.06,3.55,-3.61,0.71,-0.65,4.63,4.99,0.0,0.0
2020-01-17,-5956555.0,5319415.0,637141.0,-2977695.0,-2978860.0,-8.55,7.64,0.92,-4.28,-4.28,4.5,-2.81,0.0,0.0
2020-01-20,-5470948.0,3809738.0,1661210.0,-1955172.0,-3515776.0,-13.88,9.67,4.22,-4.96,-8.92,4.28,-4.89,0.0,0.0
2020-01-21,-4726579.0,3115611.0,1610968.0,-1467767.0,-3258812.0,-22.96,15.13,7.82,-7.13,-15.83,4.07,-4.91,0.0,0.0
2020-01-22,6504193.0,-3414038.0,-3090155.0,2082394.0,4421799.0,18.01,-9.46,-8.56,5.77,12.25,4.27,4.91,0.0,0.0
2020-01-23,1683594.0,544678.0,-2228272.0,-298386.0,1981980.0,5.23,1.69,-6.92,-0.93,6.16,4.35,1.87,0.0,0.0
2020-02-03,-672364.0,978397.0,-306033.0,-672364.0,0.0,-14.63,21.29,-6.66,-14.63,0.0,4.13,-5.06,0.0,0.0
2020-02-04,870416.0,2398932.0,-3269347.0,-341633.0,1212049.0,2.58,7.11,-9.69,-1.01,3.59,4.25,2.91,0.0,0.0
2020-02-05,-624373.0,1704933.0,-1080559.0,651448.0,-1275821.0,-2.39,6.52,-4.13,2.49,-4.88,4.25,0.0,0.0,0.0
2020-02-06,-3403022.0,4808213.0,-1405192.0,-2130855.0,-1272167.0,-10.72,15.15,-4.43,-6.71,-4.01,4.09,-3.76,0.0,0.0
2020-02-07,-2351166.0,2343275.0,7891.0,-2351166.0,0.0,-9.67,9.64,0.03,-9.67,0.0,3.94,-3.67,0.0,0.0
2020-02-10,-1417192.0,1034252.0,382941.0,-1417192.0,0.0,-9.66,7.05,2.61,-9.66,0.0,4.02,2.03,0.0,0.0
2020-02-11,-1568306.0,1457005.0,111300.0,-1568306.0,0.0,-16.06,14.92,1.14,-16.06,0.0,3.97,-1.24,0.0,0.0
2020-02-12,1163886.0,-1653029.0,489143.0,1551158.0,-387272.0,12.22,-17.36,5.14,16.29,-4.07,4.17,5.04,0.0,0.0
2020-02-13,2239533.0,-673296.0,-1566237.0,2194419.0,45114.0,6.13,-1.84,-4.29,6.01,0.12,4.38,5.04,0.0,0.0
2020-02-14,482193.0,603294.0,-1085487.0,649541.0,-167348.0,1.13,1.42,-2.55,1.53,-0.39,4.58,4.57,0.0,0.0
2020-02-17,1720020.0,-674871.0,-1045149.0,1060980.0,659040.0,8.17,-3.21,-4.97,5.04,3.13,4.81,5.02,0.0,0.0
2020-02-18,1057470.0,-586810.0,-470660.0,273205.0,784265.0,26.28,-14.58,-11.7,6.79,19.49,5.05,4.99,0.0,0.0
2020-02-19,374180.0,-337080.0,-37100.0,374180.0,0.0,15.72,-14.16,-1.56,15.72,0.0,5.3,4.95,0.0,0.0
2020-02-20,-671014.0,2848742.0,-2177728.0,-672250.0,1236.0,-0.72,3.05,-2.33,-0.72,0.0,5.2,-1.89,0.0,0.0
2020-02-21,-5620139.0,5403024.0,217115.0,-5510401.0,-109738.0,-11.68,11.23,0.45,-11.45,-0.23,5.13,-1.35,0.0,0.0
2020-02-24,3480248.0,-2298933.0,-1181315.0,2095563.0,1384685.0,11.64,-7.69,-3.95,7.01,4.63,5.39,5.07,0.0,0.0
2020-02-25,2847329.0,3083260.0,-5930590.0,1354216.0,1493113.0,4.36,4.72,-9.08,2.07,2.29,5.66,5.01,0.0,0.0
2020-02-26,-3287483.0,4180789.0,-893305.0,-5453729.0,2166246.0,-5.04,6.41,-1.37,-8.37,3.32,5.73,1.24,0.0,0.0
2020-02-27,-9991410.0,10023737.0,-32327.0,-3964379.0,-6027031.0,-17.23,17.29,-0.06,-6.84,-10.39,5.54,-3.32,0.0,0.0
2020-02-28,-6615318.0,5147739.0,1467579.0,-6615318.0,0.0,-20.97,16.32,4.65,-20.97,0.0,5.26,-5.05,0.0,0.0
2020-03-02,-1139004.0,1699001.0,-559997.0,-3366631.0,2227627.0,-3.43,5.12,-1.69,-10.14,6.71,5.31,0.95,0.0,0.0
2020-03-03,-9574797.0,10440957.0,-866159.0,-9389967.0,-184830.0,-21.14,23.05,-1.91,-20.73,-0.41,5.05,-4.9,0.0,0.0
2020-03-04,-596858.0,2099113.0,-1502255.0,-596858.0,0.0,-2.21,7.76,-5.55,-2.21,0.0,5.12,1.39,0.0,0.0
2020-03-05,-595922.0,1466841.0,-870919.0,-595922.0,0.0,-1.57,3.86,-2.29,-1.57,0.0,5.22,1.95,0.0,0.0
2020-03-06,-9019770.0,8781490.0,238280.0,-6247488.0,-2772282.0,-28.66,27.9,0.76,-19.85,-8.81,5.03,-3.64,0.0,0.0
2020-03-09,-3791869.0,7712222.0,-3920352.0,-3159953.0,-631916.0,-13.18,26.8,-13.62,-10.98,-2.2,4.78,-4.97,0.0,0.0
2020-03-10,-4769650.0,4839503.0,-69853.0,-2951797.0,-1817853.0,-12.41,12.59,-0.18,-7.68,-4.73,4.68,-2.09,0.0,0.0
2020-03-11,5404065.0,-2117572.0,-3286492.0,1447252.0,3956813.0,19.08,-7.47,-11.6,5.11,13.97,4.91,4.91,0.0,0.0
2020-03-12,4379554.0,-1957610.0,-2421944.0,2466127.0,1913427.0,8.98,-4.01,-4.97,5.06,3.92,5.16,5.09,0.0,0.0
2020-03-13,-1798096.0,2727330.0,-929235.0,-1924849.0,126753.0,-3.81,5.78,-1.97,-4.08,0.27,5.13,-0.58,0.0,0.0
2020-03-16,-6261199.0,7127705.0,-866506.0,-5164043.0,-1097156.0,-17.34,19.74,-2.4,-14.3,-3.04,4.87,-5.07,0.0,0.0
2020-03-17,-2325340.0,3467929.0,-1142590.0,-2325340.0,0.0,-8.55,12.75,-4.2,-8.55,0.0,4.63,-4.93,0.0,0.0
2020-03-18,-195906.0,-300366.0,496272.0,-195906.0,0.0,-0.98,-1.5,2.48,-0.98,0.0,4.5,-2.81,0.0,0.0
2020-03-19,-4252670.0,3480498.0,772173.0,-2644246.0,-1608424.0,-41.21,33.73,7.48,-25.62,-15.59,4.28,-4.89,0.0,0.0
2020-03-20,-1395805.0,628830.0,766976.0,1382730.0,-2778535.0,-4.61,2.08,2.53,4.57,-9.18,4.41,3.04,0.0,0.0
2020-03-23,-321070.0,762064.0,-440996.0,-324156.0,3086.0,-1.96,4.65,-2.69,-1.98,0.02,4.19,-4.99,0.0,0.0
2020-03-24,-4674846.0,4592336.0,82510.0,-3598826.0,-1076020.0,-21.54,21.16,0.38,-16.58,-4.96,4.06,-3.1,0.0,0.0
2020-03-25,-195313.0,711597.0,-516284.0,-195313.0,0.0,-1.74,6.33,-4.59,-1.74,0.0,4.1,0.99,0.0,0.0
2020-03-26,543710.0,-1208331.0,664621.0,543710.0,0.0,6.52,-14.49,7.97,6.52,0.0,4.18,1.95,0.0,0.0
2020-03-27,21678.0,-233205.0,211526.0,21678.0,0.0,0.14,-1.48,1.34,0.14,0.0,4.23,1.2,0.0,0.0
2020-03-30,-1754274.0,3075778.0,-1321504.0,-1754274.0,0.0,-13.32,23.36,-10.04,-13.32,0.0,4.02,-4.96,0.0,0.0
2020-03-31,-1778850.0,2373305.0,-594453.0,-1778850.0,0.0,-11.14,14.86,-3.72,-11.14,0.0,3.82,-4.98,0.0,0.0
2020-04-01,-313226.0,500821.0,-187594.0,-313226.0,0.0,-2.4,3.85,-1.44,-2.4,0.0,3.7,-3.14,0.0,0.0
2020-04-02,-3589757.0,3201498.0,388260.0,-2421433.0,-1168324.0,-15.95,14.22,1.72,-10.76,-5.19,3.71,0.27,0.0,0.0
2020-04-03,2659474.0,-2391284.0,-268190.0,1116799.0,1542675.0,15.04,-13.52,-1.52,6.32,8.72,3.9,5.12,0.0,0.0
2020-04-07,-640457.0,1125905.0,-485447.0,-640457.0,0.0,-3.23,5.67,-2.45,-3.23,0.0,4.0,2.56,0.0,0.0
2020-04-08,-1093424.0,1174713.0,-81290.0,-1042142.0,-51282.0,-11.38,12.22,-0.85,-10.84,-0.53,4.03,0.75,0.0,0.0
2020-04-09,-539541.0,53604.0,485936.0,-539541.0,0.0,-6.08,0.6,5.47,-6.08,0.0,4.07,0.99,0.0,0.0
2020-04-10,-1895402.0,1036563.0,858840.0,-1556417.0,-338985.0,-21.64,11.83,9.8,-17.77,-3.87,3.96,-2.7,0.0,0.0
2020-04-13,-1185138.0,615234.0,569905.0,-1185138.0,0.0,-7.16,3.71,3.44,-7.16,0.0,4.02,1.52,0.0,0.0
2020-04-14,-536671.0,2245367.0,-1708695.0,-536671.0,0.0,-5.07,21.2,-16.14,-5.07,0.0,3.95,-1.74,0.0,0.0
2020-04-15,-992069.0,4402339.0,-3410270.0,-992069.0,0.0,-6.31,27.99,-21.68,-6.31,0.0,3.75,-5.06,0.0,0.0
2020-04-16,-995816.0,1880302.0,-884487.0,-995816.0,0.0,-7.13,13.47,-6.33,-7.13,0.0,3.61,-3.73,0.0,0.0
2020-04-17,2663424.0,-1645342.0,-1018083.0,1220266.0,1443158.0,21.26,-13.13,-8.13,9.74,11.52,3.79,4.99,0.0,0.0
2020-04-20,2283764.0,-1517788.0,-765976.0,2283764.0,0.0,21.2,-14.09,-7.11,21.2,0.0,3.98,5.01,0.0,0.0
2020-04-21,-264195.0,881074.0,-616880.0,-251237.0,-12958.0,-1.05,3.5,-2.45,-1.0,-0.05,4.06,2.01,0.0,0.0
2020-04-22,-1835073.0,2142689.0,-307615.0,-1835073.0,0.0,-14.67,17.13,-2.46,-14.67,0.0,3.98,-1.97,0.0,0.0
2020-04-23,1201265.0,-187434.0,-1013832.0,1201265.0,0.0,10.89,-1.7,-9.19,10.89,0.0,4.05,1.76,0.0,0.0
2020-04-24,72785.0,221938.0,-294722.0,72785.0,0.0,1.05,3.2,-4.26,1.05,0.0,3.98,-1.73,0.0,0.0
2020-04-27,-2077110.0,1561140.0,515970.0,-2077110.0,0.0,-42.32,31.81,10.51,-42.32,0.0,3.78,-5.03,0.0,0.0
2020-04-28,1800321.0,-1613266.0,-187055.0,1800321.0,0.0,7.02,-6.29,-0.73,7.02,0.0,3.97,5.03,0.0,0.0
2020-04-29,-1043935.0,4995576.0,-3951642.0,-3527129.0,2483194.0,-2.12,10.17,-8.04,-7.18,5.05,3.79,-4.53,0.0,0.0
2020-04-30,-705392.0,419608.0,285783.0,-553034.0,-152358.0,-2.63,1.57,1.07,-2.07,-0.57,3.8,0.26,0.0,0.0
2020-05-06,-322641.0,40344.0,282297.0,-322641.0,0.0,-2.66,0.33,2.33,-2.66,0.0,3.87,1.84,0.0,0.0
2020-05-07,-1867972.0,1936884.0,-68912.0,-1806792.0,-61180.0,-22.46,23.29,-0.83,-21.73,-0.74,3.76,-2.84,0.0,0.0
2020-05-08,37000.0,852120.0,-889120.0,37000.0,0.0,0.46,10.69,-11.15,0.46,0.0,3.76,0.0,0.0,0.0
2020-05-11,0.0,202427.0,-202427.0,0.0,0.0,0.0,3.92,-3.92,0.0,0.0,3.76,0.0,0.0,0.0
2020-05-12,-297800.0,815299.0,-517498.0,-297800.0,0.0,-10.48,28.71,-18.22,-10.48,0.0,3.7,-1.6,0.0,0.0
2020-05-13,-2141863.0,2446842.0,-304978.0,-2141863.0,0.0,-20.5,23.42,-2.92,-20.5,0.0,3.68,-0.54,0.0,0.0
2020-05-14,0.0,270426.0,-270426.0,0.0,0.0,0.0,6.51,-6.51,0.0,0.0,3.6,-2.17,0.0,0.0
2020-05-15,465719.0,739339.0,-1205059.0,465719.0,0.0,7.84,12.45,-20.3,7.84,0.0,3.56,-1.11,0.0,0.0
2020-05-18,-2476445.0,4204890.0,-1728444.0,-2476445.0,0.0,-20.35,34.56,-14.21,-20.35,0.0,3.38,-5.06,0.0,0.0
2020-05-19,-1002492.0,3034682.0,-2032191.0,-1002492.0,0.0,-8.12,24.58,-16.46,-8.12,0.0,3.21,-5.03,0.0,0.0
2020-05-20,-1066311.0,2918531.0,-1852219.0,-1066311.0,0.0,-8.34,22.83,-14.49,-8.34,0.0,3.05,-4.98,0.0,0.0
2020-05-21,-1743122.0,1992626.0,-249504.0,-1743122.0,0.0,-19.48,22.27,-2.79,-19.48,0.0,2.9,-4.92,0.0,0.0
2020-05-22,3439896.0,-1379391.0,-2060505.0,3439896.0,0.0,18.91,-7.58,-11.32,18.91,0.0,3.05,5.17,0.0,0.0
2020-05-25,-647947.0,-160895.0,808842.0,-647947.0,0.0,-5.17,-1.28,6.45,-5.17,0.0,3.2,4.92,0.0,0.0
2020-05-26,14195.0,-566788.0,552592.0,14195.0,0.0,0.44,-17.45,17.02,0.44,0.0,3.36,5.0,0.0,0.0
2020-05-27,73968.0,63943.0,-137912.0,73968.0,0.0,0.36,0.31,-0.68,0.36,0.0,3.42,1.79,0.0,0.0
2020-05-28,123910.0,-93270.0,-30640.0,123910.0,0.0,1.92,-1.44,-0.47,1.92,0.0,3.36,-1.75,0.0,0.0
2020-05-29,2260706.0,-1730573.0,-530133.0,-629658.0,2890364.0,15.54,-11.89,-3.64,-4.33,19.86,3.53,5.06,0.0,0.0
2020-06-01,-1137831.0,2519299.0,-1381466.0,-1137831.0,0.0,-8.13,17.99,-9.87,-8.13,0.0,3.53,0.0,0.0,0.0
2020-06-02,-670581.0,1837738.0,-1167157.0,-670581.0,0.0,-9.04,24.77,-15.73,-9.04,0.0,3.4,-3.68,0.0,0.0
2020-06-03,-208944.0,327687.0,-118743.0,-208944.0,0.0,-2.59,4.07,-1.47,-2.59,0.0,3.47,2.06,0.0,0.0
2020-06-04,-10840.0,962230.0,-951390.0,-10840.0,0.0,-0.19,17.09,-16.9,-0.19,0.0,3.39,-2.31,0.0,0.0
2020-06-05,-513664.0,2108452.0,-1594787.0,-513664.0,0.0,-4.58,18.81,-14.23,-4.58,0.0,3.23,-4.72,0.0,0.0
2020-06-08,318269.0,1214562.0,-1532831.0,318269.0,0.0,3.44,13.12,-16.56,3.44,0.0,3.13,-3.1,0.0,0.0
2020-06-09,71127.0,896675.0,-967802.0,71127.0,0.0,1.28,16.13,-17.41,1.28,0.0,3.14,0.32,0.0,0.0
2020-06-10,-1054352.0,1459369.0,-405017.0,-1054352.0,0.0,-15.28,21.14,-5.87,-15.28,0.0,3.13,-0.32,0.0,0.0
2020-06-11,2796977.0,-2100851.0,-696126.0,1977438.0,819539.0,35.78,-26.87,-8.9,25.29,10.48,3.29,5.11,0.0,0.0
2020-06-12,-943331.0,1825312.0,-881982.0,-943331.0,0.0,-8.11,15.69,-7.58,-8.11,0.0,3.33,1.22,0.0,0.0
2020-06-15,-150591.0,905011.0,-754420.0,-150591.0,0.0,-1.84,11.04,-9.2,-1.84,0.0,3.3,-0.9,0.0,0.0
2020-06-16,-33229.0,830079.0,-796850.0,-33229.0,0.0,-0.77,19.16,-18.39,-0.77,0.0,3.27,-0.91,0.0,0.0
2020-06-18,-20288.0,764612.0,-744324.0,-20288.0,0.0,-0.45,16.81,-16.37,-0.45,0.0,3.16,-1.25,0.0,0.0
2020-06-19,0.0,841880.0,-841880.0,0.0,0.0,0.0,19.35,-19.35,0.0,0.0,3.13,-0.95,0.0,0.0
2020-06-22,-162298.0,712706.0,-550408.0,-162298.0,0.0,-2.95,12.94,-9.99,-2.95,0.0,3.09,-1.28,0.0,0.0
2020-06-23,15536.0,208161.0,-223697.0,15536.0,0.0,0.2,2.66,-2.86,0.2,0.0,3.17,2.59,0.0,0.0
2020-06-29,-812627.0,37118.0,775510.0,-812627.0,0.0,-6.35,0.29,6.06,-6.35,0.0,3.31,-0.6,0.0,0.0
2020-06-30,-219544.0,496561.0,-277017.0,-219544.0,0.0,-4.02,9.1,-5.08,-4.02,0.0,3.3,-0.3,0.0,0.0
2020-07-01,319470.0,-277853.0,-41616.0,319470.0,0.0,3.75,-3.26,-0.49,3.75,0.0,3.37,2.12,0.0,0.0
2020-07-02,-258292.0,764642.0,-506349.0,-258292.0,0.0,-3.32,9.84,-6.52,-3.32,0.0,3.35,-0.59,0.0,0.0
2020-07-06,-3439456.0,3882015.0,-442557.0,-3439456.0,0.0,-16.79,18.95,-2.16,-16.79,0.0,3.34,-3.19,0.0,0.0
2020-07-08,-1758444.0,4250516.0,-2492072.0,-1758444.0,0.0,-11.82,28.56,-16.75,-11.82,0.0,3.22,-3.01,0.0,0.0
