date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-6954839.0,12541202.0,-5586363.0,-6954839.0,0.0,-11.04,19.91,-8.87,-11.04,0.0,11.72,-2.66,0.0,0.0
2020-01-09,3360841.0,-5196121.0,1835281.0,3360841.0,0.0,6.28,-9.71,3.43,6.28,0.0,12.01,2.47,0.0,0.0
2020-01-10,-143112.0,770788.0,-627677.0,-143112.0,0.0,-0.32,1.74,-1.42,-0.32,0.0,11.91,-0.83,0.0,0.0
2020-01-13,201040.0,2248869.0,-2449908.0,201040.0,0.0,0.6,6.73,-7.33,0.6,0.0,12.02,0.92,0.0,0.0
2020-01-14,1540585.0,-784378.0,-756207.0,1063385.0,477200.0,4.85,-2.47,-2.38,3.35,1.5,11.89,-1.08,0.0,0.0
2020-01-15,4526637.0,-7491842.0,2965205.0,4526637.0,0.0,6.35,-10.51,4.16,6.35,0.0,12.17,2.35,0.0,0.0
2020-01-16,-2449714.0,4318052.0,-1868339.0,-2491469.0,41755.0,-5.41,9.54,-4.13,-5.51,0.09,11.93,-1.97,0.0,0.0
2020-01-17,-568136.0,1493627.0,-925491.0,-568136.0,0.0,-1.8,4.74,-2.94,-1.8,0.0,11.82,-0.92,0.0,0.0
2020-01-20,-1252032.0,1706571.0,-454539.0,-1252032.0,0.0,-4.1,5.59,-1.49,-4.1,0.0,11.91,0.76,0.0,0.0
2020-01-21,-2535999.0,2467299.0,68700.0,-1370468.0,-1165531.0,-8.22,8.0,0.22,-4.44,-3.78,11.67,-2.01,0.0,0.0
2020-01-22,-1702433.0,5168952.0,-3466519.0,-1702433.0,0.0,-5.16,15.67,-10.51,-5.16,0.0,11.58,-0.77,0.0,0.0
2020-01-23,-3772403.0,6094547.0,-2322144.0,-3736202.0,-36201.0,-8.71,14.07,-5.36,-8.62,-0.08,11.06,-4.49,0.0,0.0
2020-02-03,4081402.0,-2093293.0,-1988109.0,-3456689.0,7538091.0,5.07,-2.6,-2.47,-4.29,9.36,10.25,-7.32,0.0,0.0
2020-02-04,18718314.0,-10546531.0,-8171783.0,5029965.0,13688349.0,16.46,-9.27,-7.18,4.42,12.03,11.28,10.04,0.0,0.0
2020-02-05,2895521.0,-2852423.0,-43098.0,-4430098.0,7325619.0,1.46,-1.44,-0.02,-2.23,3.7,12.41,10.01,0.0,0.0
2020-02-06,66718.0,-1544964.0,1478246.0,-10476190.0,10542908.0,0.03,-0.62,0.59,-4.21,4.24,13.66,10.06,0.0,0.0
2020-02-07,27679555.0,1155406.0,-28834961.0,-475766.0,28155321.0,6.23,0.26,-6.49,-0.11,6.34,15.03,10.02,0.0,0.0
2020-02-10,-45708085.0,38956101.0,6751986.0,-41434225.0,-4273860.0,-11.49,9.79,1.7,-10.41,-1.07,13.9,-7.51,0.0,0.0
2020-02-11,-21479538.0,10703030.0,10776507.0,-14832799.0,-6646739.0,-8.7,4.34,4.37,-6.01,-2.69,13.11,-5.68,0.0,0.0
2020-02-12,-1298386.0,3669877.0,-2371491.0,-3313816.0,2015430.0,-0.7,1.97,-1.27,-1.78,1.08,13.29,1.37,0.0,0.0
2020-02-13,-9435552.0,17870757.0,-8435205.0,-6626695.0,-2808857.0,-6.48,12.27,-5.79,-4.55,-1.93,12.87,-3.16,0.0,0.0
2020-02-14,-12555852.0,11711434.0,844419.0,-6896741.0,-5659111.0,-10.46,9.76,0.7,-5.74,-4.71,12.66,-1.63,0.0,0.0
2020-02-17,-16570609.0,6242691.0,10327919.0,-6931381.0,-9639228.0,-12.9,4.86,8.04,-5.4,-7.5,12.9,1.89,0.0,0.0
2020-02-18,-7049046.0,-5196268.0,12245314.0,-5741436.0,-1307610.0,-4.17,-3.08,7.25,-3.4,-0.77,13.31,3.18,0.0,0.0
2020-02-19,-16463069.0,19490542.0,-3027473.0,-16463069.0,0.0,-12.93,15.31,-2.38,-12.93,0.0,12.64,-5.03,0.0,0.0
2020-02-20,8101384.0,-1899796.0,-6201587.0,8888163.0,-786779.0,7.8,-1.83,-5.97,8.55,-0.76,13.02,3.0,0.0,0.0
2020-02-21,-17707318.0,11572021.0,6135296.0,-14053024.0,-3654294.0,-7.27,4.75,2.52,-5.77,-1.5,13.49,3.61,0.0,0.0
2020-02-24,9741292.0,-5187614.0,-4553679.0,6106674.0,3634618.0,4.47,-2.38,-2.09,2.8,1.67,14.32,6.15,0.0,0.0
