date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,272306.0,227323.0,-499628.0,272306.0,0.0,1.5,1.25,-2.75,1.5,0.0,7.67,-1.16,0.0,0.0
2020-01-09,837267.0,-2156610.0,1319344.0,857573.0,-20306.0,5.26,-13.55,8.29,5.39,-0.13,7.77,1.3,0.0,0.0
2020-01-10,-3307395.0,541871.0,2765524.0,-3307395.0,0.0,-18.37,3.01,15.36,-18.37,0.0,7.79,0.26,0.0,0.0
2020-01-13,1237368.0,293231.0,-1530599.0,1237368.0,0.0,8.36,1.98,-10.35,8.36,0.0,7.82,0.39,0.0,0.0
2020-01-14,-429003.0,67175.0,361828.0,-429003.0,0.0,-3.23,0.51,2.72,-3.23,0.0,7.79,-0.38,0.0,0.0
2020-01-15,-24960.0,1010802.0,-985843.0,-565500.0,540540.0,-0.18,7.31,-7.13,-4.09,3.91,7.68,-1.41,0.0,0.0
2020-01-16,-900548.0,501217.0,399331.0,-900548.0,0.0,-8.22,4.57,3.64,-8.22,0.0,7.68,0.0,0.0,0.0
2020-01-17,-1636687.0,3685258.0,-2048571.0,-1636687.0,0.0,-10.84,24.4,-13.56,-10.84,0.0,7.52,-2.08,0.0,0.0
2020-01-20,-231417.0,1435260.0,-1203842.0,-231417.0,0.0,-1.82,11.3,-9.48,-1.82,0.0,7.49,-0.4,0.0,0.0
2020-01-21,-1596942.0,1851576.0,-254632.0,-1596942.0,0.0,-16.3,18.9,-2.6,-16.3,0.0,7.38,-1.47,0.0,0.0
2020-01-22,720049.0,226836.0,-946885.0,1189780.0,-469731.0,6.07,1.91,-7.98,10.03,-3.96,7.42,0.54,0.0,0.0
2020-01-23,-161463.0,758284.0,-596821.0,-161463.0,0.0,-1.27,5.98,-4.71,-1.27,0.0,7.3,-1.62,0.0,0.0
2020-02-03,198961.0,731727.0,-930688.0,198961.0,0.0,6.63,24.37,-30.99,6.63,0.0,6.57,-10.0,0.0,0.0
2020-02-04,-1571415.0,2410653.0,-839238.0,-1571415.0,0.0,-8.24,12.64,-4.4,-8.24,0.0,6.14,-6.54,0.0,0.0
2020-02-05,47669.0,929812.0,-977481.0,47669.0,0.0,0.42,8.15,-8.57,0.42,0.0,6.25,1.79,0.0,0.0
