date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1412829.0,1253400.0,159429.0,-1412829.0,0.0,-6.5,5.76,0.73,-6.5,0.0,16.77,-0.83,0.0,0.0
2020-01-09,-413401.0,227620.0,185782.0,-413401.0,0.0,-1.56,0.86,0.7,-1.56,0.0,16.84,0.42,0.0,0.0
2020-01-10,1407340.0,186019.0,-1593359.0,230731.0,1176609.0,7.22,0.95,-8.17,1.18,6.03,16.85,0.06,0.0,0.0
2020-01-13,2128201.0,-759468.0,-1368733.0,1012116.0,1116085.0,5.53,-1.97,-3.56,2.63,2.9,17.08,1.36,0.0,0.0
2020-01-14,934457.0,3245010.0,-4179467.0,934457.0,0.0,4.21,14.61,-18.82,4.21,0.0,17.07,-0.06,0.0,0.0
2020-01-15,-1580116.0,2174621.0,-594504.0,-1575076.0,-5040.0,-9.29,12.79,-3.5,-9.26,-0.03,16.89,-1.05,0.0,0.0
2020-01-16,-320794.0,1707717.0,-1386923.0,-330838.0,10044.0,-2.12,11.29,-9.17,-2.19,0.07,16.8,-0.53,0.0,0.0
2020-01-17,-1166672.0,2027762.0,-861090.0,-1166672.0,0.0,-6.91,12.02,-5.1,-6.91,0.0,16.55,-1.49,0.0,0.0
2020-01-20,-4276562.0,4674954.0,-398392.0,-4276562.0,0.0,-15.27,16.69,-1.42,-15.27,0.0,16.33,-1.33,0.0,0.0
2020-01-21,-5163364.0,5713467.0,-550102.0,-3535099.0,-1628265.0,-20.16,22.31,-2.15,-13.8,-6.36,15.99,-2.08,0.0,0.0
2020-01-22,-2562766.0,3478079.0,-915314.0,-2559622.0,-3144.0,-9.14,12.41,-3.26,-9.13,-0.01,15.96,-0.19,0.0,0.0
2020-01-23,-721418.0,2262345.0,-1540928.0,-721418.0,0.0,-2.82,8.83,-6.02,-2.82,0.0,15.79,-1.07,0.0,0.0
2020-02-03,-383101.0,396744.0,-13641.0,-383101.0,0.0,-13.53,14.02,-0.48,-13.53,0.0,14.21,-10.01,0.0,0.0
2020-02-04,-2690653.0,2446226.0,244427.0,-2547553.0,-143100.0,-7.09,6.45,0.64,-6.71,-0.38,13.12,-7.67,0.0,0.0
2020-02-05,624746.0,396043.0,-1020788.0,624746.0,0.0,2.53,1.6,-4.13,2.53,0.0,13.31,1.45,0.0,0.0
2020-02-06,-540574.0,1811963.0,-1271391.0,-540574.0,0.0,-2.24,7.52,-5.28,-2.24,0.0,13.33,0.15,0.0,0.0
2020-02-07,-1732001.0,1357847.0,374153.0,-1732001.0,0.0,-6.24,4.9,1.35,-6.24,0.0,13.46,0.98,0.0,0.0
2020-02-10,1545566.0,345096.0,-1890663.0,-597337.0,2142903.0,5.96,1.33,-7.3,-2.31,8.27,13.7,1.78,0.0,0.0
2020-02-11,-97832.0,1642720.0,-1544888.0,-145537.0,47705.0,-0.43,7.2,-6.77,-0.64,0.21,13.76,0.44,0.0,0.0
