date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-24359020.0,29847738.0,-5488719.0,-17650692.0,-6708328.0,-15.55,19.05,-3.5,-11.27,-4.28,26.37,-2.98,0.0,0.0
2020-01-09,18101254.0,-10709291.0,-7391964.0,13139902.0,4961352.0,6.82,-4.03,-2.78,4.95,1.87,27.75,5.23,0.0,0.0
2020-01-10,-5671601.0,2202455.0,3469147.0,-5663211.0,-8390.0,-2.86,1.11,1.75,-2.85,-0.0,27.79,0.14,0.0,0.0
2020-01-13,4787038.0,-13871192.0,9084153.0,5121953.0,-334915.0,2.51,-7.26,4.76,2.68,-0.18,28.22,1.55,0.0,0.0
2020-01-14,-26348853.0,19129533.0,7219321.0,-16876163.0,-9472690.0,-13.92,10.11,3.82,-8.92,-5.01,27.61,-2.16,0.0,0.0
2020-01-15,-4716750.0,6869861.0,-2153111.0,243319.0,-4960069.0,-3.76,5.47,-1.72,0.19,-3.95,27.61,0.0,0.0,0.0
2020-01-16,-27629682.0,19653837.0,7975847.0,-21441603.0,-6188079.0,-16.3,11.59,4.71,-12.65,-3.65,27.36,-0.91,0.0,0.0
2020-01-17,-4337365.0,7763582.0,-3426217.0,-6899480.0,2562115.0,-1.08,1.93,-0.85,-1.72,0.64,27.73,1.35,0.0,0.0
2020-01-20,43300915.0,-35783143.0,-7517772.0,27800555.0,15500360.0,10.63,-8.78,-1.85,6.82,3.81,29.01,4.62,0.0,0.0
2020-01-21,-14697870.0,4554825.0,10143045.0,-10208658.0,-4489212.0,-5.79,1.79,3.99,-4.02,-1.77,28.31,-2.41,0.0,0.0
2020-01-22,-9833917.0,1611146.0,8222771.0,-12619403.0,2785486.0,-3.55,0.58,2.97,-4.55,1.01,28.53,0.78,0.0,0.0
2020-01-23,-36701396.0,37162720.0,-461322.0,-28002233.0,-8699163.0,-14.79,14.98,-0.19,-11.29,-3.51,27.13,-4.91,0.0,0.0
2020-02-03,260073.0,5360288.0,-5620360.0,-11686802.0,11946875.0,0.69,14.25,-14.94,-31.07,31.76,24.42,-9.99,0.0,0.0
2020-02-04,-16904285.0,9994201.0,6910084.0,-7377295.0,-9526990.0,-6.55,3.87,2.68,-2.86,-3.69,23.5,-3.77,0.0,0.0
2020-02-05,-29061263.0,29420709.0,-359447.0,-24974142.0,-4087121.0,-13.53,13.7,-0.17,-11.63,-1.9,23.61,0.47,0.0,0.0
2020-02-06,-9541624.0,1170146.0,8371478.0,-7201683.0,-2339941.0,-4.32,0.53,3.79,-3.26,-1.06,23.78,0.72,0.0,0.0
2020-02-07,-30749112.0,17946024.0,12803089.0,-15425629.0,-15323483.0,-12.73,7.43,5.3,-6.39,-6.34,23.95,0.71,0.0,0.0
2020-02-10,10502172.0,-8253713.0,-2248459.0,9126930.0,1375242.0,4.24,-3.33,-0.91,3.69,0.56,24.71,3.17,0.0,0.0
2020-02-11,-11038130.0,14430889.0,-3392759.0,-9847442.0,-1190688.0,-4.17,5.45,-1.28,-3.72,-0.45,24.76,0.2,0.0,0.0
2020-02-12,1435985.0,-9225476.0,7789491.0,5081783.0,-3645798.0,0.69,-4.42,3.73,2.43,-1.75,25.06,1.21,0.0,0.0
2020-02-13,-9865163.0,13777271.0,-3912107.0,-10000573.0,135410.0,-6.44,8.99,-2.55,-6.52,0.09,24.71,-1.4,0.0,0.0
2020-02-14,3503007.0,-5848875.0,2345869.0,5458808.0,-1955801.0,2.02,-3.37,1.35,3.14,-1.13,24.97,1.05,0.0,0.0
2020-02-17,21068220.0,-17632149.0,-3436071.0,13415215.0,7653005.0,8.18,-6.84,-1.33,5.21,2.97,26.14,4.69,0.0,0.0
2020-02-18,-12676418.0,19104689.0,-6428272.0,-8102626.0,-4573792.0,-4.36,6.57,-2.21,-2.78,-1.57,26.58,1.68,0.0,0.0
2020-02-19,-12955006.0,18233972.0,-5278966.0,-16010019.0,3055013.0,-4.74,6.67,-1.93,-5.86,1.12,26.36,-0.83,0.0,0.0
2020-02-20,-8511612.0,2757552.0,5754060.0,-9431475.0,919863.0,-3.06,0.99,2.07,-3.39,0.33,26.9,2.05,0.0,0.0
2020-02-21,16111165.0,-958778.0,-15152388.0,1439716.0,14671449.0,4.63,-0.28,-4.35,0.41,4.21,27.73,3.09,0.0,0.0
2020-02-24,75722792.0,-27627049.0,-48095743.0,-1797795.0,77520587.0,12.09,-4.41,-7.68,-0.29,12.38,30.5,9.99,0.0,0.0
2020-02-25,-14672787.0,2303520.0,12369248.0,416336.0,-15089123.0,-1.24,0.19,1.04,0.04,-1.27,33.22,8.92,0.0,0.0
2020-02-26,-57973488.0,36485817.0,21487664.0,-41322767.0,-16650721.0,-6.94,4.37,2.57,-4.95,-1.99,32.05,-3.52,0.0,0.0
2020-02-27,-68836621.0,32123348.0,36713274.0,-33738891.0,-35097730.0,-11.12,5.19,5.93,-5.45,-5.67,31.03,-3.18,0.0,0.0
2020-02-28,-79637205.0,53628386.0,26008819.0,-48370321.0,-31266884.0,-13.21,8.9,4.32,-8.03,-5.19,27.93,-9.99,0.0,0.0
2020-03-02,14520580.0,-6177023.0,-8343557.0,14951833.0,-431253.0,2.22,-0.94,-1.27,2.28,-0.07,29.62,6.05,0.0,0.0
2020-03-03,-35039715.0,41743988.0,-6704272.0,-11786377.0,-23253338.0,-4.82,5.74,-0.92,-1.62,-3.2,30.46,2.84,0.0,0.0
2020-03-04,-8220930.0,467510.0,7753421.0,-8670619.0,449689.0,-1.63,0.09,1.53,-1.72,0.09,31.15,2.27,0.0,0.0
2020-03-05,-19104296.0,21966311.0,-2862016.0,-9935134.0,-9169162.0,-2.69,3.09,-0.4,-1.4,-1.29,31.39,0.77,0.0,0.0
2020-03-06,37477501.0,-16276793.0,-21200708.0,26190979.0,11286522.0,6.64,-2.88,-3.76,4.64,2.0,32.1,2.26,0.0,0.0
2020-03-09,77750860.0,-23704706.0,-54046144.0,-19315432.0,97066292.0,7.76,-2.37,-5.39,-1.93,9.69,33.87,5.51,0.0,0.0
2020-03-10,-39881137.0,4079280.0,35801872.0,-13509104.0,-26372033.0,-3.44,0.35,3.09,-1.17,-2.28,36.67,8.27,0.0,0.0
2020-03-11,-78742598.0,71299285.0,7443296.0,-55439540.0,-23303058.0,-8.1,7.33,0.77,-5.7,-2.4,34.98,-4.61,0.0,0.0
2020-03-12,-31633282.0,35042251.0,-3408970.0,-15838459.0,-15794823.0,-5.86,6.49,-0.63,-2.93,-2.93,34.1,-2.52,0.0,0.0
2020-03-13,-27247100.0,25185573.0,2061528.0,-19841175.0,-7405925.0,-5.39,4.98,0.41,-3.92,-1.46,33.32,-2.29,0.0,0.0
2020-03-16,-95714677.0,90045192.0,5669484.0,-43734782.0,-51979895.0,-16.88,15.88,1.0,-7.71,-9.17,29.99,-9.99,0.0,0.0
2020-03-17,-15165476.0,18741826.0,-3576349.0,-9343625.0,-5821851.0,-3.74,4.62,-0.88,-2.3,-1.44,29.03,-3.2,0.0,0.0
2020-03-18,-26373508.0,24705235.0,1668273.0,-11744229.0,-14629279.0,-6.79,6.36,0.43,-3.02,-3.77,28.39,-2.2,0.0,0.0
2020-03-19,5322660.0,-9640035.0,4317376.0,14305846.0,-8983186.0,1.21,-2.2,0.98,3.26,-2.05,30.2,6.38,0.0,0.0
2020-03-20,-25003008.0,18395271.0,6607738.0,-25500630.0,497622.0,-7.07,5.2,1.87,-7.21,0.14,30.33,0.43,0.0,0.0
2020-03-23,-4239084.0,3888801.0,350284.0,-1661305.0,-2577779.0,-0.95,0.87,0.08,-0.37,-0.58,30.25,-0.26,0.0,0.0
2020-03-24,-20607448.0,14829512.0,5777937.0,-30828634.0,10221186.0,-4.38,3.15,1.23,-6.56,2.17,31.33,3.57,0.0,0.0
2020-03-25,-16049089.0,5427742.0,10621348.0,-14027573.0,-2021516.0,-4.19,1.42,2.77,-3.66,-0.53,31.23,-0.32,0.0,0.0
2020-03-26,-23758512.0,30748570.0,-6990059.0,-11648662.0,-12109850.0,-9.64,12.48,-2.84,-4.73,-4.92,30.22,-3.23,0.0,0.0
2020-03-27,-34843619.0,37574798.0,-2731177.0,-29554664.0,-5288955.0,-12.88,13.89,-1.01,-10.93,-1.96,29.48,-2.45,0.0,0.0
2020-03-30,-34097963.0,36898230.0,-2800266.0,-17946784.0,-16151179.0,-11.12,12.04,-0.91,-5.85,-5.27,27.4,-7.06,0.0,0.0
2020-03-31,-18909249.0,28915672.0,-10006423.0,-12718080.0,-6191169.0,-8.72,13.34,-4.62,-5.87,-2.86,27.0,-1.46,0.0,0.0
2020-04-01,-6663157.0,2970122.0,3693037.0,-6589909.0,-73248.0,-3.42,1.53,1.9,-3.38,-0.04,26.62,-1.41,0.0,0.0
2020-04-02,16458854.0,-16341424.0,-117429.0,20020578.0,-3561724.0,6.18,-6.13,-0.04,7.51,-1.34,27.9,4.81,0.0,0.0
2020-04-03,-16547560.0,15567294.0,980267.0,-19201658.0,2654098.0,-8.58,8.07,0.51,-9.96,1.38,27.22,-2.44,0.0,0.0
2020-04-07,313854.0,-5593257.0,5279403.0,1396794.0,-1082940.0,0.15,-2.64,2.49,0.66,-0.51,27.88,2.42,0.0,0.0
2020-04-08,-3401651.0,4512079.0,-1110425.0,-1517325.0,-1884326.0,-1.49,1.97,-0.49,-0.66,-0.82,27.82,-0.22,0.0,0.0
2020-04-09,-126076.0,6587616.0,-6461541.0,-1758895.0,1632819.0,-0.07,3.41,-3.34,-0.91,0.84,28.12,1.08,0.0,0.0
2020-04-10,-38226009.0,43461596.0,-5235585.0,-22194576.0,-16031433.0,-14.8,16.83,-2.03,-8.59,-6.21,26.68,-5.12,0.0,0.0
2020-04-13,-14323364.0,19356094.0,-5032731.0,-10880922.0,-3442442.0,-10.57,14.28,-3.71,-8.03,-2.54,25.9,-2.92,0.0,0.0
2020-04-14,3132194.0,-4958562.0,1826366.0,2045683.0,1086511.0,2.57,-4.07,1.5,1.68,0.89,26.45,2.12,0.0,0.0
