date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-7019743.0,10616979.0,-3597236.0,-6824236.0,-195507.0,-8.63,13.05,-4.42,-8.39,-0.24,14.34,-2.38,0.0,0.0
2020-01-09,1305050.0,-735198.0,-569852.0,2123177.0,-818127.0,1.97,-1.11,-0.86,3.2,-1.23,14.64,2.09,0.0,0.0
2020-01-10,-6637496.0,7356285.0,-718790.0,-6581336.0,-56160.0,-13.32,14.76,-1.44,-13.21,-0.11,14.39,-1.71,0.0,0.0
2020-01-13,-1303569.0,1842831.0,-539261.0,-1303569.0,0.0,-3.19,4.51,-1.32,-3.19,0.0,14.44,0.35,0.0,0.0
2020-01-14,134377.0,4529050.0,-4663427.0,490935.0,-356558.0,0.28,9.35,-9.63,1.01,-0.74,14.38,-0.42,0.0,0.0
2020-01-15,-4792387.0,5733750.0,-941363.0,-2556308.0,-2236079.0,-10.05,12.02,-1.97,-5.36,-4.69,14.08,-2.09,0.0,0.0
2020-01-16,-367528.0,-62525.0,430053.0,67564.0,-435092.0,-1.1,-0.19,1.29,0.2,-1.31,14.12,0.28,0.0,0.0
2020-01-17,63688.0,-335778.0,272090.0,63688.0,0.0,0.24,-1.26,1.02,0.24,0.0,14.12,0.0,0.0,0.0
2020-01-20,664298.0,-364626.0,-299672.0,664298.0,0.0,2.1,-1.15,-0.95,2.1,0.0,14.17,0.35,0.0,0.0
2020-01-21,-2972830.0,4912720.0,-1939890.0,-2972830.0,0.0,-10.33,17.07,-6.74,-10.33,0.0,13.8,-2.61,0.0,0.0
2020-01-22,1344107.0,-900309.0,-443799.0,1344107.0,0.0,5.32,-3.56,-1.76,5.32,0.0,13.91,0.8,0.0,0.0
2020-01-23,-2818643.0,2625766.0,192878.0,-1665538.0,-1153105.0,-8.31,7.74,0.57,-4.91,-3.4,13.46,-3.24,0.0,0.0
2020-02-03,-81863.0,765595.0,-683730.0,-81863.0,0.0,-1.13,10.57,-9.44,-1.13,0.0,12.11,-10.03,0.0,0.0
2020-02-04,-3092778.0,2182155.0,910623.0,-3092778.0,0.0,-7.42,5.24,2.19,-7.42,0.0,11.41,-5.78,0.0,0.0
2020-02-05,3493809.0,-3042719.0,-451089.0,944139.0,2549670.0,6.75,-5.88,-0.87,1.82,4.92,12.14,6.4,0.0,0.0
2020-02-06,3589357.0,-1174699.0,-2414658.0,3589357.0,0.0,7.2,-2.36,-4.84,7.2,0.0,12.61,3.87,0.0,0.0
