date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-7350799.0,10806792.0,-3455992.0,-7350799.0,0.0,-7.83,11.52,-3.68,-7.83,0.0,12.77,-3.4,0.0,0.0
2020-01-09,-1669312.0,1494814.0,174497.0,-2768884.0,1099572.0,-2.91,2.61,0.3,-4.83,1.92,13.03,2.04,0.0,0.0
2020-01-10,415969.0,-1082547.0,666578.0,465673.0,-49704.0,0.61,-1.58,0.97,0.68,-0.07,13.07,0.31,0.0,0.0
2020-01-13,-2414809.0,740076.0,1674733.0,-2414809.0,0.0,-3.96,1.21,2.75,-3.96,0.0,13.23,1.22,0.0,0.0
2020-01-14,325048.0,1429245.0,-1754293.0,199838.0,125210.0,0.57,2.49,-3.05,0.35,0.22,13.18,-0.38,0.0,0.0
2020-01-15,2260565.0,-2537994.0,277429.0,2260565.0,0.0,2.63,-2.95,0.32,2.63,0.0,13.45,2.05,0.0,0.0
2020-01-16,-6016701.0,4268469.0,1748232.0,-4955038.0,-1061663.0,-8.98,6.37,2.61,-7.39,-1.58,13.29,-1.19,0.0,0.0
2020-01-17,-873583.0,1970943.0,-1097361.0,-873583.0,0.0,-1.83,4.13,-2.3,-1.83,0.0,13.26,-0.23,0.0,0.0
2020-01-20,-3611259.0,7115475.0,-3504217.0,-3611259.0,0.0,-7.33,14.44,-7.11,-7.33,0.0,13.29,0.23,0.0,0.0
2020-01-21,-7212888.0,10322343.0,-3109455.0,-5628029.0,-1584859.0,-14.61,20.91,-6.3,-11.4,-3.21,12.87,-3.16,0.0,0.0
2020-01-22,2159116.0,-210462.0,-1948653.0,1008076.0,1151040.0,3.75,-0.37,-3.38,1.75,2.0,13.11,1.86,0.0,0.0
2020-01-23,-955445.0,3067375.0,-2111928.0,-955445.0,0.0,-1.27,4.07,-2.8,-1.27,0.0,12.6,-3.89,0.0,0.0
2020-02-03,1038744.0,625968.0,-1664712.0,-661122.0,1699866.0,23.01,13.87,-36.88,-14.64,37.65,11.34,-10.0,0.0,0.0
2020-02-04,-1984062.0,2391497.0,-407434.0,-1888330.0,-95732.0,-2.35,2.84,-0.48,-2.24,-0.11,10.48,-7.58,0.0,0.0
2020-02-05,-2891286.0,3365843.0,-474557.0,-2891286.0,0.0,-4.75,5.52,-0.78,-4.75,0.0,10.63,1.43,0.0,0.0
2020-02-06,1377322.0,1740837.0,-3118159.0,214120.0,1163202.0,2.34,2.96,-5.31,0.36,1.98,10.87,2.26,0.0,0.0
2020-02-07,1381544.0,5466682.0,-6848226.0,1017317.0,364227.0,2.1,8.3,-10.39,1.54,0.55,11.05,1.66,0.0,0.0
2020-02-10,-3817044.0,6351191.0,-2534147.0,-1976760.0,-1840284.0,-6.34,10.55,-4.21,-3.28,-3.06,11.19,1.27,0.0,0.0
2020-02-11,-2091686.0,2666923.0,-575236.0,-2091686.0,0.0,-5.21,6.64,-1.43,-5.21,0.0,11.15,-0.36,0.0,0.0
2020-02-12,-881708.0,1464102.0,-582394.0,-881708.0,0.0,-1.93,3.21,-1.28,-1.93,0.0,11.29,1.26,0.0,0.0
2020-02-13,-910798.0,4399941.0,-3489143.0,205265.0,-1116063.0,-2.19,10.6,-8.41,0.49,-2.69,11.18,-0.97,0.0,0.0
2020-02-14,1346921.0,-403889.0,-943032.0,-177683.0,1524604.0,3.49,-1.05,-2.44,-0.46,3.95,11.26,0.72,0.0,0.0
2020-02-17,-2095243.0,793614.0,1301630.0,-2486434.0,391191.0,-3.5,1.32,2.17,-4.15,0.65,11.6,3.02,0.0,0.0
2020-02-18,-1680534.0,206292.0,1474242.0,-376687.0,-1303847.0,-2.64,0.32,2.32,-0.59,-2.05,11.88,2.41,0.0,0.0
2020-02-19,-5747706.0,7272168.0,-1524461.0,-5743326.0,-4380.0,-8.74,11.06,-2.32,-8.73,-0.01,11.97,0.76,0.0,0.0
2020-02-20,399515.0,1706241.0,-2105757.0,-19382.0,418897.0,0.58,2.49,-3.07,-0.03,0.61,12.15,1.5,0.0,0.0
2020-02-21,183829.0,-2284246.0,2100417.0,183829.0,0.0,0.26,-3.2,2.94,0.26,0.0,12.47,2.63,0.0,0.0
2020-02-24,-1023740.0,-2326698.0,3350438.0,-214002.0,-809738.0,-1.23,-2.79,4.02,-0.26,-0.97,12.95,3.85,0.0,0.0
2020-02-25,-7122779.0,10679214.0,-3556434.0,-4080877.0,-3041902.0,-7.34,11.0,-3.66,-4.2,-3.13,12.9,-0.39,0.0,0.0
2020-02-26,-4936369.0,7034039.0,-2097669.0,-5168749.0,232380.0,-6.04,8.6,-2.56,-6.32,0.28,12.52,-2.95,0.0,0.0
2020-02-27,3531444.0,-2641486.0,-889958.0,2955774.0,575670.0,5.38,-4.02,-1.35,4.5,0.88,12.59,0.56,0.0,0.0
2020-02-28,-1471683.0,6785104.0,-5313421.0,-1143762.0,-327921.0,-2.05,9.46,-7.41,-1.59,-0.46,11.83,-6.04,0.0,0.0
2020-03-02,-1296555.0,741537.0,555019.0,-1274901.0,-21654.0,-2.28,1.3,0.98,-2.24,-0.04,12.25,3.55,0.0,0.0
2020-03-03,-2512562.0,2820735.0,-308172.0,-3552226.0,1039664.0,-3.95,4.43,-0.48,-5.58,1.63,12.48,1.88,0.0,0.0
2020-03-04,-1333570.0,1711303.0,-377734.0,-1295719.0,-37851.0,-2.93,3.76,-0.83,-2.84,-0.08,12.58,0.8,0.0,0.0
2020-03-05,-1089910.0,1332615.0,-242705.0,-857690.0,-232220.0,-2.07,2.53,-0.46,-1.63,-0.44,12.49,-0.72,0.0,0.0
2020-03-06,-2704680.0,2569730.0,134951.0,-2704680.0,0.0,-7.06,6.71,0.35,-7.06,0.0,12.35,-1.12,0.0,0.0
2020-03-09,-5916128.0,7473813.0,-1557685.0,-4737944.0,-1178184.0,-9.35,11.82,-2.46,-7.49,-1.86,11.48,-7.04,0.0,0.0
2020-03-10,-2114301.0,2970394.0,-856092.0,-1293815.0,-820486.0,-4.08,5.74,-1.65,-2.5,-1.58,11.8,2.79,0.0,0.0
2020-03-11,-327243.0,272677.0,54566.0,-327243.0,0.0,-0.69,0.57,0.11,-0.69,0.0,11.75,-0.42,0.0,0.0
2020-03-12,-1045351.0,-691532.0,1736884.0,-1045351.0,0.0,-2.47,-1.64,4.11,-2.47,0.0,11.4,-2.98,0.0,0.0
2020-03-13,-1250923.0,-1602473.0,2853395.0,-1250923.0,0.0,-2.31,-2.95,5.26,-2.31,0.0,10.95,-3.95,0.0,0.0
2020-03-16,-234522.0,4604900.0,-4370378.0,-234522.0,0.0,-0.48,9.46,-8.98,-0.48,0.0,10.36,-5.39,0.0,0.0
2020-03-17,-1075968.0,2089439.0,-1013472.0,-64960.0,-1011008.0,-2.7,5.25,-2.55,-0.16,-2.54,10.36,0.0,0.0,0.0
2020-03-18,1712981.0,287530.0,-2000511.0,1712981.0,0.0,3.88,0.65,-4.53,3.88,0.0,10.22,-1.35,0.0,0.0
2020-03-19,-3467301.0,2758786.0,708515.0,-3467301.0,0.0,-8.81,7.01,1.8,-8.81,0.0,10.4,1.76,0.0,0.0
2020-03-20,-644106.0,1737811.0,-1093705.0,-644106.0,0.0,-2.34,6.32,-3.97,-2.34,0.0,10.52,1.15,0.0,0.0
2020-03-23,-1268693.0,1022466.0,246227.0,-1268693.0,0.0,-3.83,3.09,0.74,-3.83,0.0,9.93,-5.61,0.0,0.0
2020-03-24,-545038.0,2655246.0,-2110209.0,-545038.0,0.0,-1.77,8.64,-6.87,-1.77,0.0,10.18,2.52,0.0,0.0
2020-03-25,1145492.0,-2218917.0,1073425.0,-1191498.0,2336990.0,3.69,-7.15,3.46,-3.84,7.53,10.33,1.47,0.0,0.0
2020-03-26,-1712689.0,1710344.0,2345.0,-1712689.0,0.0,-7.24,7.23,0.01,-7.24,0.0,10.21,-1.16,0.0,0.0
2020-03-27,1112101.0,-112751.0,-999350.0,1112101.0,0.0,4.83,-0.49,-4.34,4.83,0.0,10.11,-0.98,0.0,0.0
2020-03-30,-594506.0,2341112.0,-1746605.0,-594506.0,0.0,-2.23,8.77,-6.55,-2.23,0.0,9.69,-4.15,0.0,0.0
