date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-14104589.0,14226585.0,-121997.0,-4445112.0,-9659477.0,-12.93,13.04,-0.11,-4.07,-8.85,5.78,-2.03,0.0,0.0
2020-01-09,-16435704.0,10745122.0,5690582.0,-11020026.0,-5415678.0,-18.07,11.81,6.26,-12.12,-5.95,5.81,0.52,0.0,0.0
2020-01-10,-1701901.0,577518.0,1124383.0,-1910920.0,209019.0,-2.99,1.01,1.97,-3.35,0.37,5.81,0.0,0.0,0.0
2020-01-13,-13551408.0,8818198.0,4733210.0,-13909250.0,357842.0,-15.64,10.18,5.46,-16.05,0.41,5.85,0.69,0.0,0.0
2020-01-14,-13927403.0,10361147.0,3566256.0,-13921998.0,-5405.0,-13.93,10.36,3.57,-13.93,-0.01,5.77,-1.37,0.0,0.0
2020-01-15,-9525265.0,8353250.0,1172014.0,-7052933.0,-2472332.0,-14.17,12.43,1.74,-10.49,-3.68,5.73,-0.69,0.0,0.0
2020-01-16,-12456082.0,10777548.0,1678535.0,-6314305.0,-6141777.0,-21.82,18.88,2.94,-11.06,-10.76,5.72,-0.17,0.0,0.0
2020-01-17,1493464.0,1628714.0,-3122177.0,-1606399.0,3099863.0,2.58,2.81,-5.39,-2.77,5.35,5.71,-0.17,0.0,0.0
2020-01-20,-6385821.0,8544055.0,-2158234.0,-4513737.0,-1872084.0,-11.15,14.92,-3.77,-7.88,-3.27,5.71,0.0,0.0,0.0
2020-01-21,-34118075.0,29355975.0,4762101.0,-23585808.0,-10532267.0,-30.94,26.62,4.32,-21.39,-9.55,5.55,-2.8,0.0,0.0
2020-01-22,-299707.0,3318979.0,-3019272.0,1662707.0,-1962414.0,-0.41,4.5,-4.09,2.25,-2.66,5.58,0.54,0.0,0.0
2020-01-23,-8792959.0,10333137.0,-1540178.0,-11258049.0,2465090.0,-8.2,9.64,-1.44,-10.5,2.3,5.48,-1.79,0.0,0.0
2020-02-03,-28319552.0,27679008.0,640544.0,-11077138.0,-17242414.0,-19.07,18.63,0.43,-7.46,-11.61,4.93,-10.04,0.0,0.0
2020-02-04,1604942.0,6601793.0,-8206736.0,3204174.0,-1599232.0,0.9,3.72,-4.63,1.81,-0.9,5.11,3.65,0.0,0.0
2020-02-05,-9089079.0,7095963.0,1993116.0,-10268094.0,1179015.0,-7.62,5.95,1.67,-8.61,0.99,5.13,0.39,0.0,0.0
2020-02-06,5158571.0,-3049299.0,-2109272.0,456931.0,4701640.0,4.31,-2.55,-1.76,0.38,3.93,5.19,1.17,0.0,0.0
2020-02-07,-8103608.0,5776256.0,2327352.0,-9351893.0,1248285.0,-8.38,5.97,2.41,-9.67,1.29,5.15,-0.77,0.0,0.0
2020-02-10,7596408.0,-6008441.0,-1587967.0,5484058.0,2112350.0,8.44,-6.68,-1.76,6.09,2.35,5.2,0.97,0.0,0.0
2020-02-11,-3238698.0,-5823523.0,9062222.0,-266239.0,-2972459.0,-2.19,-3.93,6.12,-0.18,-2.01,5.25,0.96,0.0,0.0
