date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5727059.0,4927676.0,799383.0,-5312571.0,-414488.0,-8.41,7.24,1.17,-7.8,-0.61,19.01,-2.26,0.0,0.0
2020-01-09,-25259335.0,14668053.0,10591281.0,-10481023.0,-14778312.0,-14.62,8.49,6.13,-6.07,-8.55,19.35,1.79,0.0,0.0
2020-01-10,13272454.0,-1888581.0,-11383872.0,12146391.0,1126063.0,12.22,-1.74,-10.48,11.18,1.04,21.3,10.08,0.0,0.0
2020-01-13,-1130566.0,-1197419.0,2327986.0,-518006.0,-612560.0,-0.66,-0.69,1.35,-0.3,-0.35,22.25,4.46,0.0,0.0
2020-01-14,2807721.0,-376892.0,-2430827.0,1509966.0,1297755.0,3.82,-0.51,-3.31,2.06,1.77,22.15,-0.45,0.0,0.0
2020-01-15,11775649.0,-8068692.0,-3706957.0,6077164.0,5698485.0,6.78,-4.64,-2.13,3.5,3.28,21.53,-2.8,0.0,0.0
2020-01-16,-2657442.0,3691947.0,-1034505.0,-439724.0,-2217718.0,-3.4,4.72,-1.32,-0.56,-2.83,21.05,-2.23,0.0,0.0
2020-01-17,-2798281.0,5083642.0,-2285362.0,-7122752.0,4324471.0,-4.81,8.74,-3.93,-12.24,7.43,21.05,0.0,0.0,0.0
2020-01-20,1876197.0,5850384.0,-7726581.0,13585.0,1862612.0,2.32,7.24,-9.56,0.02,2.31,21.02,-0.14,0.0,0.0
2020-01-21,-2003511.0,-7793985.0,9797496.0,-6289926.0,4286415.0,-1.82,-7.08,8.9,-5.72,3.9,20.87,-0.71,0.0,0.0
2020-01-22,1982502.0,-2842274.0,859773.0,450200.0,1532302.0,3.87,-5.55,1.68,0.88,2.99,21.05,0.86,0.0,0.0
2020-01-23,5676172.0,-3676280.0,-1999891.0,11046012.0,-5369840.0,7.19,-4.66,-2.53,13.99,-6.8,20.87,-0.86,0.0,0.0
2020-02-03,13894102.0,-2923492.0,-10970610.0,-5808448.0,19702550.0,8.2,-1.72,-6.47,-3.43,11.62,18.87,-9.58,0.0,0.0
2020-02-04,-173585.0,3883010.0,-3709425.0,4838095.0,-5011680.0,-0.23,5.15,-4.92,6.42,-6.65,20.12,6.62,0.0,0.0
2020-02-05,1418.0,-15354.0,13936.0,-391843.0,393261.0,0.0,-0.03,0.03,-0.74,0.75,20.82,3.48,0.0,0.0
2020-02-06,-9543533.0,-707845.0,10251377.0,9013489.0,-18557022.0,-10.9,-0.81,11.71,10.29,-21.19,20.86,0.19,0.0,0.0
2020-02-07,-592606.0,-922619.0,1515225.0,-598813.0,6207.0,-1.19,-1.86,3.05,-1.2,0.01,20.47,-1.87,0.0,0.0
2020-02-10,-529425.0,1444475.0,-915050.0,-412935.0,-116490.0,-0.97,2.65,-1.68,-0.76,-0.21,20.77,1.47,0.0,0.0
2020-02-11,-688389.0,712372.0,-23982.0,-688389.0,0.0,-1.12,1.16,-0.04,-1.12,0.0,20.92,0.72,0.0,0.0
2020-02-12,6326932.0,-4349242.0,-1977690.0,1516734.0,4810198.0,7.61,-5.23,-2.38,1.83,5.79,22.42,7.17,0.0,0.0
