date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,25721954.0,-19915927.0,-5806027.0,17986290.0,7735664.0,6.73,-5.21,-1.52,4.71,2.02,20.85,6.81,0.0,0.0
2020-01-09,-2719935.0,7863401.0,-5143467.0,-12704807.0,9984872.0,-1.19,3.45,-2.26,-5.57,4.38,20.16,-3.31,0.0,0.0
2020-01-10,-4135623.0,10850782.0,-6715158.0,-2071842.0,-2063781.0,-3.69,9.67,-5.98,-1.85,-1.84,19.99,-0.84,0.0,0.0
2020-01-13,-3749606.0,8251178.0,-4501574.0,1580217.0,-5329823.0,-4.31,9.47,-5.17,1.81,-6.12,20.0,0.05,0.0,0.0
2020-01-14,-2200498.0,3866382.0,-1665884.0,1285258.0,-3485756.0,-2.94,5.16,-2.22,1.71,-4.65,19.95,-0.25,0.0,0.0
2020-01-15,10229564.0,-8293764.0,-1935799.0,4573504.0,5656060.0,7.94,-6.43,-1.5,3.55,4.39,20.48,2.66,0.0,0.0
2020-01-16,20349099.0,-14232959.0,-6116141.0,5481539.0,14867560.0,6.96,-4.87,-2.09,1.87,5.08,21.15,3.27,0.0,0.0
2020-01-17,42241147.0,-28209881.0,-14031266.0,30460731.0,11780416.0,10.91,-7.29,-3.63,7.87,3.04,22.57,6.71,0.0,0.0
2020-01-20,4688188.0,288527.0,-4976716.0,2663234.0,2024954.0,2.27,0.14,-2.41,1.29,0.98,22.67,0.44,0.0,0.0
2020-01-21,-21513762.0,10254090.0,11259672.0,-5620869.0,-15892893.0,-9.28,4.42,4.86,-2.43,-6.86,20.97,-7.5,0.0,0.0
2020-01-22,7822972.0,-11603448.0,3780475.0,8008919.0,-185947.0,5.43,-8.05,2.62,5.56,-0.13,20.95,-0.1,0.0,0.0
2020-01-23,-10394662.0,17567854.0,-7173193.0,-8519411.0,-1875251.0,-6.84,11.56,-4.72,-5.6,-1.23,19.98,-4.63,0.0,0.0
2020-02-03,-4383661.0,4485601.0,-101940.0,-5566138.0,1182477.0,-13.42,13.73,-0.31,-17.04,3.62,17.94,-10.21,0.0,0.0
2020-02-04,-18972782.0,14472596.0,4500187.0,-16849534.0,-2123248.0,-9.77,7.45,2.32,-8.68,-1.09,17.25,-3.85,0.0,0.0
2020-02-05,-16372213.0,15452644.0,919571.0,-14599362.0,-1772851.0,-11.71,11.06,0.66,-10.44,-1.27,17.27,0.12,0.0,0.0
2020-02-06,-5974633.0,2951923.0,3022711.0,-3592934.0,-2381699.0,-4.57,2.26,2.31,-2.75,-1.82,17.32,0.29,0.0,0.0
2020-02-07,-1422047.0,3250339.0,-1828292.0,-1422047.0,0.0,-1.39,3.18,-1.79,-1.39,0.0,17.59,1.56,0.0,0.0
2020-02-10,-10719263.0,11379744.0,-660479.0,-9802641.0,-916622.0,-9.36,9.94,-0.58,-8.56,-0.8,17.81,1.25,0.0,0.0
