date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-924187.0,2768948.0,-1844761.0,-2264705.0,1340518.0,-3.13,9.38,-6.25,-7.67,4.54,16.28,-0.97,0.0,0.0
2020-01-09,2769468.0,-1360841.0,-1408628.0,2457997.0,311471.0,7.69,-3.78,-3.91,6.82,0.86,16.59,1.9,0.0,0.0
2020-01-10,-3139488.0,2392033.0,747455.0,-3139488.0,0.0,-12.75,9.71,3.04,-12.75,0.0,16.34,-1.51,0.0,0.0
2020-01-13,-188999.0,642219.0,-453222.0,-188999.0,0.0,-1.01,3.44,-2.43,-1.01,0.0,16.42,0.49,0.0,0.0
2020-01-14,-1015685.0,2892788.0,-1877102.0,-910213.0,-105472.0,-4.31,12.27,-7.96,-3.86,-0.45,16.3,-0.73,0.0,0.0
2020-01-15,-3321678.0,4736016.0,-1414338.0,-3318408.0,-3270.0,-11.45,16.33,-4.88,-11.44,-0.01,16.06,-1.47,0.0,0.0
2020-01-16,906949.0,1870637.0,-2777587.0,634352.0,272597.0,5.76,11.88,-17.64,4.03,1.73,15.87,-1.18,0.0,0.0
2020-01-17,1610172.0,-1668790.0,58617.0,1137892.0,472280.0,8.2,-8.49,0.3,5.79,2.4,16.09,1.39,0.0,0.0
2020-01-20,-1358489.0,-3344.0,1361833.0,-1358489.0,0.0,-9.57,-0.02,9.59,-9.57,0.0,16.06,-0.19,0.0,0.0
2020-01-21,-213023.0,68867.0,144155.0,-213023.0,0.0,-1.3,0.42,0.88,-1.3,0.0,15.77,-1.81,0.0,0.0
2020-01-22,91533.0,-1418411.0,1326878.0,91533.0,0.0,0.44,-6.87,6.42,0.44,0.0,16.07,1.9,0.0,0.0
2020-01-23,-391961.0,1116914.0,-724953.0,-391961.0,0.0,-1.44,4.09,-2.65,-1.44,0.0,15.72,-2.18,0.0,0.0
2020-02-03,-1239262.0,1215172.0,24091.0,-87474.0,-1151788.0,-35.61,34.92,0.69,-2.51,-33.09,14.13,-10.11,0.0,0.0
2020-02-04,-2904871.0,3324619.0,-419749.0,-2502079.0,-402792.0,-8.16,9.34,-1.18,-7.03,-1.13,13.71,-2.97,0.0,0.0
2020-02-05,441244.0,1006182.0,-1447426.0,441244.0,0.0,1.64,3.75,-5.39,1.64,0.0,14.07,2.63,0.0,0.0
