date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3465316.0,930281.0,-4395597.0,5877056.0,-2411740.0,1.63,0.44,-2.07,2.76,-1.13,12.85,-0.46,0.0,0.0
2020-01-09,-4584701.0,-233553.0,4818255.0,-5176923.0,592222.0,-2.82,-0.14,2.96,-3.18,0.36,12.83,-0.16,0.0,0.0
2020-01-10,-5841104.0,13264574.0,-7423470.0,-5809775.0,-31329.0,-5.63,12.78,-7.15,-5.6,-0.03,12.59,-1.87,0.0,0.0
2020-01-13,5258865.0,-2619628.0,-2639236.0,3754983.0,1503882.0,6.1,-3.04,-3.06,4.36,1.75,12.78,1.51,0.0,0.0
2020-01-14,-8634542.0,16164576.0,-7530034.0,-6859501.0,-1775041.0,-8.16,15.28,-7.12,-6.48,-1.68,12.65,-1.02,0.0,0.0
2020-01-15,-2966879.0,7039945.0,-4073067.0,-2966879.0,0.0,-4.02,9.54,-5.52,-4.02,0.0,12.53,-0.95,0.0,0.0
2020-01-16,-1997782.0,6142850.0,-4145069.0,-1940362.0,-57420.0,-3.34,10.26,-6.92,-3.24,-0.1,12.41,-0.96,0.0,0.0
2020-01-17,-958777.0,3590477.0,-2631700.0,-957036.0,-1741.0,-1.31,4.9,-3.59,-1.31,-0.0,12.36,-0.4,0.0,0.0
2020-01-20,-23807018.0,21282078.0,2524940.0,-22209839.0,-1597179.0,-15.38,13.75,1.63,-14.35,-1.03,11.95,-3.32,0.0,0.0
2020-01-21,-15572002.0,20979811.0,-5407809.0,-15572002.0,0.0,-14.2,19.14,-4.93,-14.2,0.0,11.34,-5.1,0.0,0.0
2020-01-22,-13795673.0,17341438.0,-3545766.0,-12514593.0,-1281080.0,-13.04,16.39,-3.35,-11.83,-1.21,10.88,-4.06,0.0,0.0
2020-01-23,-3631172.0,13398414.0,-9767242.0,-3579254.0,-51918.0,-3.84,14.16,-10.32,-3.78,-0.05,10.26,-5.7,0.0,0.0
2020-02-03,-398486.0,697026.0,-298540.0,-398486.0,0.0,-15.42,26.97,-11.55,-15.42,0.0,9.24,-9.94,0.0,0.0
2020-02-04,-15314693.0,9114050.0,6200643.0,-7031343.0,-8283350.0,-9.99,5.95,4.05,-4.59,-5.4,8.4,-9.09,0.0,0.0
2020-02-05,-2076598.0,11999032.0,-9922434.0,-1066754.0,-1009844.0,-1.8,10.4,-8.6,-0.92,-0.88,8.74,4.05,0.0,0.0
2020-02-06,8935110.0,-4029586.0,-4905524.0,-2789390.0,11724500.0,8.05,-3.63,-4.42,-2.51,10.57,9.62,10.07,0.0,0.0
2020-02-07,-4256092.0,-1180079.0,5436170.0,-3057336.0,-1198756.0,-3.91,-1.08,4.99,-2.81,-1.1,9.44,-1.87,0.0,0.0
2020-02-10,1457671.0,575633.0,-2033303.0,1457671.0,0.0,1.42,0.56,-1.98,1.42,0.0,9.57,1.38,0.0,0.0
