date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,5158392.0,-5174169.0,15776.0,3299984.0,1858408.0,2.07,-2.07,0.01,1.32,0.74,42.31,4.62,0.0,0.0
2020-01-09,-6597664.0,10633108.0,-4035445.0,-8058758.0,1461094.0,-5.37,8.65,-3.28,-6.55,1.19,41.32,-2.34,0.0,0.0
2020-01-10,-8704062.0,9749063.0,-1045001.0,-6030813.0,-2673249.0,-10.31,11.55,-1.24,-7.14,-3.17,40.4,-2.23,0.0,0.0
2020-01-13,-8148013.0,10174528.0,-2026516.0,-9997354.0,1849341.0,-13.55,16.92,-3.37,-16.62,3.07,40.27,-0.32,0.0,0.0
2020-01-14,-11926299.0,10982101.0,944199.0,-8113518.0,-3812781.0,-21.86,20.13,1.73,-14.87,-6.99,39.98,-0.72,0.0,0.0
2020-01-15,-7483629.0,9939483.0,-2455854.0,-5039339.0,-2444290.0,-16.45,21.85,-5.4,-11.08,-5.37,39.53,-1.13,0.0,0.0
2020-01-16,-153697.0,2927762.0,-2774065.0,-78125.0,-75572.0,-0.36,6.9,-6.53,-0.18,-0.18,39.73,0.51,0.0,0.0
2020-01-17,-2209555.0,1368392.0,841163.0,-1636481.0,-573074.0,-6.67,4.13,2.54,-4.94,-1.73,39.87,0.35,0.0,0.0
2020-01-20,-2516623.0,909835.0,1606789.0,-2341151.0,-175472.0,-6.41,2.32,4.09,-5.96,-0.45,40.17,0.75,0.0,0.0
2020-01-21,-6087418.0,7758938.0,-1671521.0,-3945455.0,-2141963.0,-13.14,16.75,-3.61,-8.52,-4.62,39.63,-1.34,0.0,0.0
2020-01-22,-2282316.0,3329521.0,-1047205.0,-2282316.0,0.0,-7.52,10.98,-3.45,-7.52,0.0,39.42,-0.53,0.0,0.0
2020-01-23,-6168671.0,9438297.0,-3269626.0,-6168671.0,0.0,-13.26,20.28,-7.03,-13.26,0.0,38.01,-3.58,0.0,0.0
2020-02-03,472098.0,1146035.0,-1618133.0,472098.0,0.0,4.2,10.19,-14.39,4.2,0.0,34.21,-10.0,0.0,0.0
2020-02-04,-954177.0,6692233.0,-5738055.0,-918102.0,-36075.0,-1.69,11.83,-10.14,-1.62,-0.06,32.63,-4.62,0.0,0.0
2020-02-05,-1854586.0,1382071.0,472514.0,-1854586.0,0.0,-4.08,3.04,1.04,-4.08,0.0,33.29,2.02,0.0,0.0
2020-02-06,-1433363.0,991144.0,442220.0,-1460155.0,26792.0,-3.16,2.18,0.97,-3.22,0.06,33.74,1.35,0.0,0.0
2020-02-07,563527.0,-177437.0,-386089.0,273183.0,290344.0,1.05,-0.33,-0.72,0.51,0.54,34.59,2.52,0.0,0.0
2020-02-10,2036238.0,-2422923.0,386685.0,1005636.0,1030602.0,3.63,-4.32,0.69,1.79,1.84,35.67,3.12,0.0,0.0
2020-02-11,406971.0,6139076.0,-6546049.0,406971.0,0.0,1.11,16.77,-17.88,1.11,0.0,35.32,-0.98,0.0,0.0
2020-02-12,6683249.0,-9618856.0,2935608.0,6683249.0,0.0,9.71,-13.98,4.27,9.71,0.0,36.77,4.11,0.0,0.0
2020-02-13,-2794854.0,4666205.0,-1871352.0,-2754616.0,-40238.0,-5.66,9.45,-3.79,-5.58,-0.08,36.77,0.0,0.0,0.0
2020-02-14,1306662.0,820579.0,-2127239.0,1097599.0,209063.0,3.63,2.28,-5.91,3.05,0.58,36.46,-0.84,0.0,0.0
2020-02-17,6115564.0,-13132306.0,7016742.0,6534464.0,-418900.0,8.07,-17.34,9.26,8.63,-0.55,38.29,5.02,0.0,0.0
2020-02-18,-2829882.0,4390718.0,-1560836.0,-2937465.0,107583.0,-4.31,6.69,-2.38,-4.47,0.16,38.48,0.5,0.0,0.0
2020-02-19,9824662.0,-7117016.0,-2707646.0,9703762.0,120900.0,13.03,-9.44,-3.59,12.87,0.16,38.9,1.09,0.0,0.0
2020-02-20,-4132583.0,6830264.0,-2697681.0,-4132583.0,0.0,-6.48,10.71,-4.23,-6.48,0.0,38.85,-0.13,0.0,0.0
2020-02-21,3983763.0,-6247685.0,2263922.0,2904775.0,1078988.0,5.43,-8.51,3.08,3.96,1.47,39.35,1.29,0.0,0.0
2020-02-24,2323174.0,220550.0,-2543725.0,2307589.0,15585.0,3.81,0.36,-4.17,3.79,0.03,39.56,0.53,0.0,0.0
2020-02-25,-985318.0,5589411.0,-4604093.0,-985318.0,0.0,-1.36,7.72,-6.36,-1.36,0.0,39.06,-1.26,0.0,0.0
2020-02-26,6656926.0,-5758676.0,-898250.0,6462108.0,194818.0,7.32,-6.33,-0.99,7.11,0.21,39.28,0.56,0.0,0.0
2020-02-27,-480895.0,5960479.0,-5479583.0,-1813977.0,1333082.0,-0.96,11.91,-10.95,-3.63,2.66,38.85,-1.09,0.0,0.0
2020-02-28,-2463112.0,12646600.0,-10183488.0,-2463112.0,0.0,-4.06,20.82,-16.77,-4.06,0.0,36.12,-7.03,0.0,0.0
2020-03-02,-345448.0,272699.0,72749.0,-345448.0,0.0,-0.93,0.73,0.2,-0.93,0.0,37.34,3.38,0.0,0.0
2020-03-03,-2967417.0,-1099031.0,4066447.0,-1786087.0,-1181330.0,-4.85,-1.8,6.65,-2.92,-1.93,38.27,2.49,0.0,0.0
2020-03-04,-1388736.0,653253.0,735483.0,-1388736.0,0.0,-3.05,1.44,1.62,-3.05,0.0,38.65,0.99,0.0,0.0
2020-03-05,-3700233.0,1679251.0,2020981.0,-3084324.0,-615909.0,-7.33,3.33,4.0,-6.11,-1.22,38.93,0.72,0.0,0.0
2020-03-06,-173877.0,2651309.0,-2477430.0,-173877.0,0.0,-0.31,4.78,-4.47,-0.31,0.0,39.33,1.03,0.0,0.0
2020-03-09,-666449.0,3691859.0,-3025410.0,2870838.0,-3537287.0,-1.29,7.14,-5.85,5.55,-6.84,37.81,-3.86,0.0,0.0
2020-03-10,-3603638.0,2588653.0,1014984.0,-2802162.0,-801476.0,-7.77,5.58,2.19,-6.04,-1.73,38.74,2.46,0.0,0.0
2020-03-11,-558141.0,1974493.0,-1416352.0,-550305.0,-7836.0,-0.9,3.18,-2.28,-0.89,-0.01,38.55,-0.49,0.0,0.0
2020-03-12,-3685417.0,6108368.0,-2422949.0,-3487727.0,-197690.0,-9.12,15.12,-6.0,-8.63,-0.49,37.24,-3.4,0.0,0.0
2020-03-13,-538107.0,4173202.0,-3635096.0,-445365.0,-92742.0,-1.24,9.59,-8.35,-1.02,-0.21,36.27,-2.6,0.0,0.0
2020-03-16,-1573810.0,6332192.0,-4758382.0,-1573810.0,0.0,-4.23,17.01,-12.78,-4.23,0.0,34.53,-4.8,0.0,0.0
2020-03-17,815730.0,247179.0,-1062909.0,815730.0,0.0,2.79,0.85,-3.64,2.79,0.0,34.24,-0.84,0.0,0.0
2020-03-18,-262857.0,1458586.0,-1195728.0,-262857.0,0.0,-1.1,6.13,-5.02,-1.1,0.0,33.98,-0.76,0.0,0.0
2020-03-19,677585.0,-423518.0,-254066.0,677585.0,0.0,2.93,-1.83,-1.1,2.93,0.0,34.33,1.03,0.0,0.0
2020-03-20,211759.0,-583508.0,371747.0,211759.0,0.0,1.03,-2.84,1.81,1.03,0.0,34.95,1.81,0.0,0.0
2020-03-23,298924.0,-1441420.0,1142497.0,298924.0,0.0,0.88,-4.22,3.34,0.88,0.0,34.5,-1.29,0.0,0.0
2020-03-24,15442.0,1071604.0,-1087047.0,15442.0,0.0,0.05,3.14,-3.19,0.05,0.0,34.67,0.49,0.0,0.0
2020-03-25,-26434.0,665914.0,-639480.0,-26434.0,0.0,-0.09,2.35,-2.26,-0.09,0.0,35.26,1.7,0.0,0.0
2020-03-26,-2484895.0,4750445.0,-2265549.0,-2484895.0,0.0,-9.8,18.74,-8.94,-9.8,0.0,34.62,-1.82,0.0,0.0
2020-03-27,-1830714.0,4979248.0,-3148533.0,-1830714.0,0.0,-6.71,18.26,-11.54,-6.71,0.0,34.03,-1.7,0.0,0.0
2020-03-30,72077.0,2353842.0,-2425919.0,-574527.0,646604.0,0.27,8.89,-9.17,-2.17,2.44,33.41,-1.82,0.0,0.0
2020-03-31,-635895.0,1805136.0,-1169241.0,-635895.0,0.0,-3.66,10.39,-6.73,-3.66,0.0,32.89,-1.56,0.0,0.0
2020-04-01,-866910.0,2211080.0,-1344170.0,-866910.0,0.0,-5.57,14.2,-8.63,-5.57,0.0,32.6,-0.88,0.0,0.0
2020-04-02,836274.0,-2429826.0,1593552.0,862858.0,-26584.0,4.73,-13.76,9.02,4.88,-0.15,33.23,1.93,0.0,0.0
2020-04-03,182445.0,2087521.0,-2269967.0,182445.0,0.0,1.07,12.29,-13.36,1.07,0.0,33.03,-0.6,0.0,0.0
2020-04-07,3348741.0,-4169293.0,820551.0,3348741.0,0.0,11.37,-14.15,2.78,11.37,0.0,34.28,3.78,0.0,0.0
2020-04-08,1066222.0,-4147951.0,3081728.0,-699818.0,1766040.0,1.97,-7.66,5.69,-1.29,3.26,34.91,1.84,0.0,0.0
2020-04-09,-3515516.0,3614673.0,-99158.0,-3515516.0,0.0,-9.89,10.17,-0.28,-9.89,0.0,35.18,0.77,0.0,0.0
2020-04-10,402132.0,-2660284.0,2258151.0,402132.0,0.0,1.15,-7.62,6.47,1.15,0.0,35.31,0.37,0.0,0.0
2020-04-13,688240.0,533795.0,-1222035.0,688240.0,0.0,3.0,2.33,-5.34,3.0,0.0,35.09,-0.62,0.0,0.0
2020-04-14,-887758.0,794056.0,93702.0,-887758.0,0.0,-4.19,3.75,0.44,-4.19,0.0,35.09,0.0,0.0,0.0
2020-04-15,-1093984.0,2038038.0,-944054.0,-1093984.0,0.0,-5.65,10.53,-4.88,-5.65,0.0,34.64,-1.28,0.0,0.0
2020-04-16,-353691.0,2776188.0,-2422497.0,-353691.0,0.0,-1.63,12.79,-11.16,-1.63,0.0,34.6,-0.12,0.0,0.0
2020-04-17,968139.0,-609900.0,-358240.0,968139.0,0.0,4.99,-3.15,-1.85,4.99,0.0,34.66,0.17,0.0,0.0
2020-04-20,-1296520.0,1393462.0,-96941.0,-1296520.0,0.0,-6.29,6.77,-0.47,-6.29,0.0,35.07,1.18,0.0,0.0
