date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-11043256.0,12815747.0,-1772491.0,-13265498.0,2222242.0,-12.09,14.03,-1.94,-14.52,2.43,4.62,-1.49,0.0,0.0
2020-01-09,-9303478.0,4392964.0,4910516.0,-6980419.0,-2323059.0,-16.97,8.01,8.96,-12.73,-4.24,4.64,0.43,0.0,0.0
2020-01-10,-8080941.0,7711776.0,369166.0,-5473504.0,-2607437.0,-15.53,14.82,0.71,-10.52,-5.01,4.63,-0.22,0.0,0.0
2020-01-13,1163671.0,1764142.0,-2927813.0,-940201.0,2103872.0,2.22,3.36,-5.58,-1.79,4.01,4.65,0.43,0.0,0.0
2020-01-14,-5932055.0,4734623.0,1197431.0,-1386896.0,-4545159.0,-12.4,9.9,2.5,-2.9,-9.5,4.64,-0.22,0.0,0.0
2020-01-15,-10114233.0,10925742.0,-811511.0,-9021447.0,-1092786.0,-18.98,20.5,-1.52,-16.93,-2.05,4.58,-1.29,0.0,0.0
2020-01-16,-6762226.0,8104305.0,-1342079.0,-7432188.0,669962.0,-16.66,19.96,-3.31,-18.31,1.65,4.56,-0.44,0.0,0.0
2020-01-17,-2436322.0,3747730.0,-1311408.0,-3271678.0,835356.0,-5.5,8.46,-2.96,-7.38,1.88,4.55,-0.22,0.0,0.0
2020-01-20,-11097606.0,8450171.0,2647436.0,-4647928.0,-6449678.0,-24.31,18.51,5.8,-10.18,-14.13,4.56,0.22,0.0,0.0
2020-01-21,-12234032.0,10905772.0,1328261.0,-3216951.0,-9017081.0,-21.62,19.28,2.35,-5.69,-15.94,4.5,-1.32,0.0,0.0
2020-01-22,-11593876.0,8936822.0,2657055.0,-6099861.0,-5494015.0,-22.29,17.18,5.11,-11.73,-10.56,4.5,0.0,0.0,0.0
2020-01-23,-8253340.0,10866279.0,-2612940.0,-6413239.0,-1840101.0,-9.36,12.32,-2.96,-7.27,-2.09,4.43,-1.56,0.0,0.0
2020-02-03,-31570624.0,28979031.0,2591593.0,-14852429.0,-16718195.0,-21.68,19.9,1.78,-10.2,-11.48,3.99,-9.93,0.0,0.0
2020-02-04,737816.0,3006935.0,-3744752.0,-4842067.0,5579883.0,0.71,2.89,-3.6,-4.65,5.36,4.04,1.25,0.0,0.0
2020-02-05,4277542.0,-5506322.0,1228780.0,1317724.0,2959818.0,4.76,-6.13,1.37,1.47,3.3,4.1,1.49,0.0,0.0
2020-02-06,-6013065.0,6003081.0,9985.0,2536757.0,-8549822.0,-6.92,6.91,0.01,2.92,-9.84,4.11,0.24,0.0,0.0
2020-02-07,-4298528.0,5985256.0,-1686727.0,-2730563.0,-1567965.0,-6.84,9.53,-2.69,-4.35,-2.5,4.08,-0.73,0.0,0.0
2020-02-10,373080.0,1812937.0,-2186017.0,495180.0,-122100.0,0.65,3.14,-3.79,0.86,-0.21,4.1,0.49,0.0,0.0
2020-02-11,-3727070.0,-1143867.0,4870937.0,-3219010.0,-508060.0,-4.59,-1.41,6.0,-3.96,-0.63,4.12,0.49,0.0,0.0
2020-02-12,835227.0,-1450899.0,615671.0,-1999910.0,2835137.0,1.3,-2.26,0.96,-3.11,4.41,4.14,0.49,0.0,0.0
2020-02-13,-1689927.0,3251124.0,-1561195.0,-6316964.0,4627037.0,-2.75,5.29,-2.54,-10.27,7.53,4.1,-0.97,0.0,0.0
2020-02-14,6624345.0,-847336.0,-5777008.0,244976.0,6379369.0,12.28,-1.57,-10.71,0.45,11.83,4.12,0.49,0.0,0.0
2020-02-17,26061799.0,-13056988.0,-13004811.0,-3434209.0,29496008.0,18.26,-9.15,-9.11,-2.41,20.66,4.24,2.91,0.0,0.0
2020-02-18,-10757798.0,5193682.0,5564117.0,-3868020.0,-6889778.0,-13.78,6.65,7.13,-4.95,-8.83,4.21,-0.71,0.0,0.0
2020-02-19,-2073912.0,4086600.0,-2012689.0,-3384644.0,1310732.0,-3.98,7.85,-3.87,-6.5,2.52,4.19,-0.48,0.0,0.0
2020-02-20,12891748.0,-4708845.0,-8182902.0,2096016.0,10795732.0,11.39,-4.16,-7.23,1.85,9.54,4.29,2.39,0.0,0.0
2020-02-21,-13845234.0,8539275.0,5305959.0,-2829062.0,-11016172.0,-12.66,7.81,4.85,-2.59,-10.07,4.28,-0.23,0.0,0.0
2020-02-24,956509.0,2963055.0,-3919563.0,1598288.0,-641779.0,1.16,3.6,-4.76,1.94,-0.78,4.26,-0.47,0.0,0.0
2020-02-25,-8665586.0,13679295.0,-5013709.0,-8559015.0,-106571.0,-9.9,15.63,-5.73,-9.78,-0.12,4.2,-1.41,0.0,0.0
2020-02-26,-877371.0,-2633039.0,3510410.0,3164666.0,-4042037.0,-0.78,-2.34,3.12,2.81,-3.59,4.22,0.48,0.0,0.0
2020-02-27,-8869564.0,7511262.0,1358303.0,-4325928.0,-4543636.0,-11.34,9.61,1.74,-5.53,-5.81,4.23,0.24,0.0,0.0
2020-02-28,-21926672.0,23551737.0,-1625065.0,-12220638.0,-9706034.0,-19.61,21.07,-1.45,-10.93,-8.68,4.07,-3.78,0.0,0.0
2020-03-02,-170754.0,3289447.0,-3118694.0,-2321489.0,2150735.0,-0.19,3.61,-3.42,-2.55,2.36,4.14,1.72,0.0,0.0
2020-03-03,-4977212.0,-2045865.0,7023078.0,-6778465.0,1801253.0,-5.77,-2.37,8.15,-7.86,2.09,4.14,0.0,0.0,0.0
2020-03-04,33705.0,-1509375.0,1475671.0,3048207.0,-3014502.0,0.05,-2.3,2.24,4.64,-4.59,4.16,0.48,0.0,0.0
2020-03-05,14965073.0,-7334852.0,-7630221.0,15617106.0,-652033.0,6.95,-3.41,-3.55,7.26,-0.3,4.29,3.12,0.0,0.0
2020-03-06,-9126081.0,13093150.0,-3967069.0,-8264768.0,-861313.0,-8.05,11.55,-3.5,-7.29,-0.76,4.24,-1.17,0.0,0.0
2020-03-09,-14189760.0,15104460.0,-914700.0,-9664054.0,-4525706.0,-17.14,18.24,-1.1,-11.67,-5.47,4.13,-2.59,0.0,0.0
2020-03-10,-687925.0,4932200.0,-4244275.0,-1938138.0,1250213.0,-0.91,6.49,-5.59,-2.55,1.65,4.18,1.21,0.0,0.0
2020-03-11,-3415292.0,-508136.0,3923429.0,637913.0,-4053205.0,-4.88,-0.73,5.61,0.91,-5.79,4.15,-0.72,0.0,0.0
2020-03-12,-31175842.0,19660926.0,11514917.0,889671.0,-32065513.0,-27.52,17.35,10.16,0.79,-28.3,4.12,-0.72,0.0,0.0
2020-03-13,-3033971.0,13126849.0,-10092877.0,-4693883.0,1659912.0,-2.52,10.9,-8.38,-3.9,1.38,4.14,0.49,0.0,0.0
2020-03-16,-14643854.0,14990451.0,-346596.0,-11985033.0,-2658821.0,-16.36,16.75,-0.39,-13.39,-2.97,4.02,-2.9,0.0,0.0
2020-03-17,-5708855.0,13763843.0,-8054987.0,-2794813.0,-2914042.0,-7.96,19.2,-11.23,-3.9,-4.06,4.01,-0.25,0.0,0.0
