date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3959599.0,-4594787.0,635188.0,3959599.0,0.0,10.62,-12.33,1.7,10.62,0.0,30.47,0.46,0.0,0.0
2020-01-09,12696700.0,-14727001.0,2030301.0,12197186.0,499514.0,19.31,-22.4,3.09,18.55,0.76,31.72,4.1,0.0,0.0
2020-01-10,4651660.0,-5996483.0,1344824.0,4651660.0,0.0,9.95,-12.82,2.88,9.95,0.0,32.12,1.26,0.0,0.0
2020-01-13,15833530.0,-14753066.0,-1080464.0,15606729.0,226801.0,18.62,-17.35,-1.27,18.35,0.27,34.04,5.98,0.0,0.0
2020-01-14,22069137.0,-23942621.0,1873482.0,19633664.0,2435473.0,16.11,-17.47,1.37,14.33,1.78,35.58,4.52,0.0,0.0
2020-01-15,-530417.0,-2140669.0,2671084.0,-1937135.0,1406718.0,-0.64,-2.56,3.2,-2.32,1.68,35.96,1.07,0.0,0.0
2020-01-16,3767121.0,2729692.0,-6496813.0,-2324866.0,6091987.0,4.13,2.99,-7.12,-2.55,6.68,36.03,0.19,0.0,0.0
2020-01-17,10382844.0,-10961097.0,578254.0,8287705.0,2095139.0,10.91,-11.51,0.61,8.71,2.2,37.36,3.69,0.0,0.0
2020-01-20,17032613.0,-22732994.0,5700381.0,13469729.0,3562884.0,14.35,-19.15,4.8,11.35,3.0,39.27,5.11,0.0,0.0
2020-01-21,-2745171.0,3828614.0,-1083442.0,-1500902.0,-1244269.0,-3.06,4.27,-1.21,-1.67,-1.39,38.0,-3.23,0.0,0.0
2020-01-22,-10356366.0,13087819.0,-2731454.0,-10309714.0,-46652.0,-15.89,20.08,-4.19,-15.81,-0.07,37.66,-0.89,0.0,0.0
2020-01-23,-14078559.0,19075665.0,-4997105.0,-14723075.0,644516.0,-12.07,16.35,-4.28,-12.62,0.55,35.0,-7.06,0.0,0.0
2020-02-03,-5472512.0,8162213.0,-2689701.0,1290482.0,-6762994.0,-5.46,8.14,-2.68,1.29,-6.74,31.5,-10.0,0.0,0.0
2020-02-04,12679722.0,-1562042.0,-11117681.0,7037326.0,5642396.0,11.3,-1.39,-9.91,6.27,5.03,34.65,10.0,0.0,0.0
2020-02-05,7566502.0,-9971727.0,2405224.0,6188487.0,1378015.0,6.9,-9.09,2.19,5.64,1.26,37.15,7.22,0.0,0.0
2020-02-06,7468216.0,-5189440.0,-2278777.0,4338765.0,3129451.0,7.41,-5.15,-2.26,4.31,3.11,37.24,0.24,0.0,0.0
2020-02-07,-14474884.0,12003139.0,2471746.0,-13441648.0,-1033236.0,-13.6,11.28,2.32,-12.63,-0.97,36.04,-3.22,0.0,0.0
2020-02-10,1772348.0,1108405.0,-2880753.0,1207222.0,565126.0,2.9,1.81,-4.71,1.97,0.92,35.55,-1.36,0.0,0.0
2020-02-11,979925.0,-4752627.0,3772702.0,2339052.0,-1359127.0,1.34,-6.49,5.15,3.19,-1.85,36.9,3.8,0.0,0.0
2020-02-12,-3047266.0,204159.0,2843107.0,-487695.0,-2559571.0,-5.54,0.37,5.17,-0.89,-4.65,36.81,-0.24,0.0,0.0
2020-02-13,-14420315.0,12089792.0,2330523.0,-7457601.0,-6962714.0,-19.88,16.67,3.21,-10.28,-9.6,35.6,-3.29,0.0,0.0
2020-02-14,-361429.0,-1382940.0,1744368.0,603801.0,-965230.0,-0.74,-2.83,3.58,1.24,-1.98,36.16,1.57,0.0,0.0
2020-02-17,5421752.0,-5169756.0,-251997.0,5376745.0,45007.0,6.91,-6.59,-0.32,6.85,0.06,37.77,4.45,0.0,0.0
2020-02-18,-4344702.0,3396865.0,947838.0,-3964132.0,-380570.0,-6.5,5.08,1.42,-5.93,-0.57,37.6,-0.45,0.0,0.0
2020-02-19,14885434.0,-15247551.0,362118.0,10966519.0,3918915.0,14.65,-15.0,0.36,10.79,3.86,39.45,4.92,0.0,0.0
2020-02-20,2835420.0,-1622712.0,-1212707.0,5254566.0,-2419146.0,4.09,-2.34,-1.75,7.58,-3.49,39.38,-0.18,0.0,0.0
2020-02-21,30252599.0,-13727487.0,-16525112.0,13249268.0,17003331.0,25.4,-11.53,-13.87,11.12,14.28,43.32,10.01,0.0,0.0
2020-02-24,8913686.0,-5745369.0,-3168317.0,9242294.0,-328608.0,5.81,-3.74,-2.07,6.02,-0.21,45.67,5.42,0.0,0.0
2020-02-25,-1820322.0,-1135619.0,2955942.0,1458454.0,-3278776.0,-2.14,-1.33,3.47,1.71,-3.85,44.6,-2.34,0.0,0.0
2020-02-26,-2223331.0,4006997.0,-1783665.0,-1947283.0,-276048.0,-2.48,4.46,-1.99,-2.17,-0.31,41.8,-6.28,0.0,0.0
2020-02-27,-5313433.0,6974129.0,-1660695.0,-6323323.0,1009890.0,-8.84,11.6,-2.76,-10.51,1.68,41.66,-0.33,0.0,0.0
2020-02-28,-8165222.0,2861664.0,5303558.0,-4884873.0,-3280349.0,-9.83,3.44,6.38,-5.88,-3.95,38.15,-8.43,0.0,0.0
2020-03-02,-5769698.0,1242519.0,4527179.0,-5773540.0,3842.0,-5.67,1.22,4.45,-5.67,0.0,37.64,-1.34,0.0,0.0
2020-03-03,3435471.0,1740137.0,-5175607.0,4314787.0,-879316.0,3.37,1.71,-5.07,4.23,-0.86,38.8,3.08,0.0,0.0
2020-03-04,-6583367.0,5600362.0,983006.0,-6811290.0,227923.0,-12.34,10.5,1.84,-12.77,0.43,38.04,-1.96,0.0,0.0
2020-03-05,10798656.0,-7703392.0,-3095264.0,6063868.0,4734788.0,12.07,-8.61,-3.46,6.78,5.29,40.1,5.42,0.0,0.0
2020-03-06,12735565.0,-7326880.0,-5408684.0,11135193.0,1600372.0,13.11,-7.54,-5.57,11.46,1.65,42.18,5.19,0.0,0.0
2020-03-09,-3666674.0,53836.0,3612839.0,-1871244.0,-1795430.0,-3.98,0.06,3.92,-2.03,-1.95,40.35,-4.34,0.0,0.0
2020-03-10,-819837.0,6217334.0,-5397496.0,-6655572.0,5835735.0,-0.79,6.0,-5.21,-6.43,5.64,40.43,0.2,0.0,0.0
2020-03-11,-4854200.0,4715295.0,138906.0,-1558696.0,-3295504.0,-6.76,6.57,0.19,-2.17,-4.59,40.43,0.0,0.0,0.0
2020-03-12,-3500862.0,3608999.0,-108137.0,-2752702.0,-748160.0,-8.98,9.26,-0.28,-7.06,-1.92,38.88,-3.83,0.0,0.0
2020-03-13,-1042020.0,589269.0,452751.0,-1074960.0,32940.0,-2.02,1.14,0.88,-2.08,0.06,38.72,-0.41,0.0,0.0
2020-03-16,-1423396.0,5295535.0,-3872138.0,-1572467.0,149071.0,-2.41,8.97,-6.56,-2.66,0.25,36.8,-4.96,0.0,0.0
2020-03-17,4769579.0,-1719787.0,-3049790.0,4927460.0,-157881.0,6.03,-2.18,-3.86,6.23,-0.2,38.0,3.26,0.0,0.0
2020-03-18,2247156.0,4750308.0,-6997463.0,-72272.0,2319428.0,1.77,3.74,-5.51,-0.06,1.83,39.79,4.71,0.0,0.0
2020-03-19,1563696.0,-4129145.0,2565449.0,4916931.0,-3353235.0,1.67,-4.4,2.73,5.24,-3.57,39.63,-0.4,0.0,0.0
2020-03-20,11307012.0,-2980277.0,-8326734.0,4055893.0,7251119.0,11.27,-2.97,-8.3,4.04,7.23,41.87,5.65,0.0,0.0
2020-03-23,-66558.0,3057688.0,-2991130.0,4362252.0,-4428810.0,-0.05,2.14,-2.1,3.06,-3.11,42.05,0.43,0.0,0.0
2020-03-24,-480865.0,-2771636.0,3252500.0,168324.0,-649189.0,-0.37,-2.14,2.51,0.13,-0.5,43.19,2.71,0.0,0.0
2020-03-25,-5803127.0,-1370364.0,7173491.0,-6482862.0,679735.0,-8.01,-1.89,9.9,-8.94,0.94,43.37,0.42,0.0,0.0
2020-03-26,1381216.0,-1610453.0,229237.0,-1486296.0,2867512.0,2.34,-2.73,0.39,-2.52,4.87,44.24,2.01,0.0,0.0
2020-03-27,678137.0,2436476.0,-3114614.0,679281.0,-1144.0,1.1,3.94,-5.04,1.1,-0.0,44.0,-0.54,0.0,0.0
2020-03-30,-6793608.0,6363804.0,429804.0,-3808014.0,-2985594.0,-7.2,6.74,0.46,-4.04,-3.16,42.98,-2.32,0.0,0.0
2020-03-31,-1908902.0,1096855.0,812047.0,-1908902.0,0.0,-3.88,2.23,1.65,-3.88,0.0,42.48,-1.16,0.0,0.0
2020-04-01,3402007.0,-3988564.0,586556.0,4753307.0,-1351300.0,8.81,-10.33,1.52,12.31,-3.5,42.55,0.16,0.0,0.0
2020-04-02,-38520.0,-2689419.0,2727939.0,-962642.0,924122.0,-0.06,-4.04,4.1,-1.45,1.39,43.6,2.47,0.0,0.0
2020-04-03,1396457.0,-5139275.0,3742818.0,1396457.0,0.0,2.39,-8.79,6.4,2.39,0.0,42.42,-2.71,0.0,0.0
2020-04-07,6207966.0,-996575.0,-5211390.0,2523762.0,3684204.0,7.85,-1.26,-6.59,3.19,4.66,45.75,7.85,0.0,0.0
2020-04-08,2176235.0,-377230.0,-1799005.0,4608623.0,-2432388.0,2.19,-0.38,-1.81,4.64,-2.45,46.4,1.42,0.0,0.0
2020-04-09,2124819.0,-7441442.0,5316624.0,2124819.0,0.0,2.99,-10.46,7.47,2.99,0.0,47.97,3.38,0.0,0.0
2020-04-10,-1456100.0,-453229.0,1909329.0,118300.0,-1574400.0,-2.36,-0.74,3.1,0.19,-2.56,47.58,-0.81,0.0,0.0
2020-04-13,2503292.0,-1417960.0,-1085332.0,1996000.0,507292.0,5.26,-2.98,-2.28,4.19,1.07,47.23,-0.74,0.0,0.0
2020-04-14,50742.0,-248462.0,197719.0,50742.0,0.0,0.12,-0.58,0.46,0.12,0.0,47.14,-0.19,0.0,0.0
2020-04-15,-678016.0,2668911.0,-1990895.0,117768.0,-795784.0,-1.53,6.02,-4.49,0.27,-1.79,46.49,-1.38,0.0,0.0
2020-04-16,-877422.0,3435766.0,-2558344.0,-5297139.0,4419717.0,-1.32,5.16,-3.84,-7.95,6.63,46.99,1.08,0.0,0.0
2020-04-17,-2790977.0,775800.0,2015177.0,-663624.0,-2127353.0,-3.87,1.08,2.79,-0.92,-2.95,48.13,2.43,0.0,0.0
2020-04-20,4831954.0,3865713.0,-8697666.0,4709482.0,122472.0,2.84,2.28,-5.12,2.77,0.07,52.33,8.73,0.0,0.0
2020-04-21,340743.0,-4373429.0,4032686.0,-660754.0,1001497.0,0.4,-5.18,4.78,-0.78,1.19,50.72,-3.08,0.0,0.0
2020-04-22,-1804057.0,-834636.0,2638693.0,-289470.0,-1514587.0,-2.4,-1.11,3.51,-0.39,-2.02,49.9,-1.62,0.0,0.0
2020-04-23,-6972018.0,3845025.0,3126994.0,-5805637.0,-1166381.0,-11.51,6.35,5.16,-9.58,-1.92,48.79,-2.22,0.0,0.0
2020-04-24,-2451578.0,4107162.0,-1655584.0,-2451566.0,-12.0,-4.07,6.83,-2.75,-4.07,-0.0,47.35,-2.95,0.0,0.0
2020-04-27,10313634.0,-8706077.0,-1607557.0,5702408.0,4611226.0,16.17,-13.65,-2.52,8.94,7.23,47.68,0.7,0.0,0.0
2020-04-28,-261314.0,676330.0,-415016.0,-261314.0,0.0,-0.6,1.56,-0.96,-0.6,0.0,46.95,-1.53,0.0,0.0
2020-04-29,-3616449.0,-699307.0,4315756.0,499716.0,-4116165.0,-7.05,-1.36,8.41,0.97,-8.02,46.48,-1.0,0.0,0.0
2020-04-30,-2030734.0,732919.0,1297815.0,1600124.0,-3630858.0,-3.86,1.39,2.46,3.04,-6.89,46.66,0.39,0.0,0.0
2020-05-06,-2947843.0,2829571.0,118272.0,-121452.0,-2826391.0,-5.48,5.26,0.22,-0.23,-5.26,47.37,1.52,0.0,0.0
2020-05-07,10297529.0,-3114164.0,-7183365.0,8739859.0,1557670.0,10.71,-3.24,-7.47,9.09,1.62,49.83,5.19,0.0,0.0
2020-05-08,-5843577.0,1192771.0,4650806.0,253343.0,-6096920.0,-7.38,1.51,5.87,0.32,-7.7,49.0,-1.67,0.0,0.0
2020-05-11,-4721043.0,3674548.0,1046495.0,-3629095.0,-1091948.0,-8.62,6.71,1.91,-6.63,-1.99,47.06,-3.96,0.0,0.0
2020-05-12,-2628639.0,2366062.0,262576.0,-2628639.0,0.0,-6.03,5.43,0.6,-6.03,0.0,47.86,1.7,0.0,0.0
2020-05-13,-1471770.0,1130187.0,341583.0,-829850.0,-641920.0,-2.28,1.75,0.53,-1.29,-1.0,48.97,2.32,0.0,0.0
2020-05-14,-3363087.0,-232392.0,3595479.0,1271691.0,-4634778.0,-7.77,-0.54,8.3,2.94,-10.7,47.7,-2.59,0.0,0.0
2020-05-15,1932044.0,-1940840.0,8796.0,3020041.0,-1087997.0,4.37,-4.39,0.02,6.83,-2.46,47.59,-0.23,0.0,0.0
2020-05-18,-2443685.0,3356219.0,-912534.0,-5026946.0,2583261.0,-3.14,4.32,-1.17,-6.47,3.32,48.23,1.34,0.0,0.0
2020-05-19,-7255002.0,2064506.0,5190496.0,-1275391.0,-5979611.0,-12.81,3.65,9.17,-2.25,-10.56,47.59,-1.33,0.0,0.0
2020-05-20,-3635739.0,-169518.0,3805257.0,-4478861.0,843122.0,-6.17,-0.29,6.46,-7.6,1.43,46.63,-2.02,0.0,0.0
2020-05-21,-7918783.0,6258307.0,1660476.0,-4851042.0,-3067741.0,-12.7,10.04,2.66,-7.78,-4.92,45.46,-2.51,0.0,0.0
2020-05-22,638274.0,-2524532.0,1886258.0,1990333.0,-1352059.0,1.18,-4.67,3.49,3.68,-2.5,45.75,0.64,0.0,0.0
2020-05-25,-2745717.0,2842926.0,-97209.0,-2447477.0,-298240.0,-6.41,6.64,-0.23,-5.71,-0.7,46.54,1.73,0.0,0.0
2020-05-26,765522.0,2812308.0,-3577830.0,673068.0,92454.0,0.77,2.82,-3.59,0.68,0.09,48.68,4.6,0.0,0.0
2020-05-27,1435364.0,2164802.0,-3600165.0,1563544.0,-128180.0,1.87,2.82,-4.69,2.04,-0.17,48.48,-0.41,0.0,0.0
2020-05-28,-4965244.0,-1146795.0,6112039.0,-3043968.0,-1921276.0,-8.2,-1.89,10.09,-5.03,-3.17,48.76,0.58,0.0,0.0
2020-05-29,5643690.0,-2520896.0,-3122794.0,-3878223.0,9521913.0,2.78,-1.24,-1.54,-1.91,4.69,51.31,5.23,0.0,0.0
2020-06-01,-226088.0,-12181980.0,12408068.0,2265801.0,-2491889.0,-0.16,-8.63,8.79,1.61,-1.77,50.58,-1.42,0.0,0.0
2020-06-02,3163243.0,-2010635.0,-1152608.0,2654467.0,508776.0,5.64,-3.58,-2.05,4.73,0.91,50.42,-0.32,0.0,0.0
2020-06-03,-4269669.0,2995053.0,1274617.0,-1318328.0,-2951341.0,-5.51,3.87,1.65,-1.7,-3.81,50.23,-0.38,0.0,0.0
2020-06-04,119929.0,-2223168.0,2103240.0,119929.0,0.0,0.27,-4.99,4.72,0.27,0.0,50.0,-0.46,0.0,0.0
2020-06-05,-4030595.0,2102391.0,1928204.0,-3933771.0,-96824.0,-6.59,3.44,3.15,-6.43,-0.16,50.88,1.76,0.0,0.0
2020-06-08,-5635571.0,-734474.0,6370047.0,-4607732.0,-1027839.0,-7.85,-1.02,8.87,-6.42,-1.43,50.94,0.12,0.0,0.0
2020-06-09,1346732.0,-101206.0,-1245526.0,955987.0,390745.0,1.15,-0.09,-1.06,0.81,0.33,52.5,3.06,0.0,0.0
2020-06-10,-4185507.0,4323404.0,-137897.0,-9788387.0,5602880.0,-2.01,2.08,-0.07,-4.7,2.69,54.83,4.44,0.0,0.0
2020-06-11,11525039.0,-11177943.0,-347096.0,6828037.0,4697002.0,5.15,-5.0,-0.16,3.05,2.1,58.28,6.29,0.0,0.0
2020-06-12,-9580848.0,6916228.0,2664620.0,-3038396.0,-6542452.0,-6.37,4.6,1.77,-2.02,-4.35,57.68,-1.03,0.0,0.0
2020-06-15,11040977.0,-1153206.0,-9887772.0,8729487.0,2311490.0,7.19,-0.75,-6.44,5.68,1.5,60.31,4.56,0.0,0.0
2020-06-16,-1755853.0,934718.0,821135.0,-619446.0,-1136407.0,-1.37,0.73,0.64,-0.48,-0.89,60.98,1.11,0.0,0.0
