date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-03-06,1914750.0,-1914750.0,0.0,838042.0,1076708.0,93.91,-93.91,0.0,41.1,52.81,27.37,43.98,0.0,0.0
2020-03-09,640861.0,-640861.0,0.0,0.0,640861.0,87.29,-87.29,0.0,0.0,87.29,30.11,10.01,0.0,0.0
2020-03-10,653523.0,-653523.0,0.0,398499.0,255024.0,72.19,-72.19,0.0,44.02,28.17,33.12,10.0,0.0,0.0
2020-03-11,509036.0,-793190.0,284154.0,0.0,509036.0,47.25,-73.62,26.38,0.0,47.25,36.43,9.99,0.0,0.0
2020-03-12,6389522.0,-6698062.0,308539.0,893561.0,5495961.0,75.0,-78.63,3.62,10.49,64.52,40.07,9.99,0.0,0.0
2020-03-13,4329934.0,-3739263.0,-590672.0,113374.0,4216560.0,34.74,-30.0,-4.74,0.91,33.83,44.08,10.01,0.0,0.0
2020-03-16,5460555.0,-5591479.0,130923.0,392769.0,5067786.0,69.81,-71.48,1.67,5.02,64.79,48.49,10.0,0.0,0.0
2020-03-17,109514638.0,-245206032.0,135691396.0,100526863.0,8987775.0,13.61,-30.47,16.86,12.49,1.12,48.77,0.58,0.0,0.0
2020-03-18,-5308697.0,5661644.0,-352947.0,-1684698.0,-3623999.0,-1.0,1.06,-0.07,-0.32,-0.68,45.05,-7.63,0.0,0.0
2020-03-19,27021364.0,-36557315.0,9535950.0,13100105.0,13921259.0,6.01,-8.13,2.12,2.91,3.1,47.4,5.22,0.0,0.0
2020-03-20,-55250141.0,52740467.0,2509675.0,-38013206.0,-17236935.0,-14.24,13.59,0.65,-9.79,-4.44,42.95,-9.39,0.0,0.0
2020-03-23,-37151379.0,32733935.0,4417444.0,-24465720.0,-12685659.0,-14.62,12.88,1.74,-9.63,-4.99,38.66,-9.99,0.0,0.0
2020-03-24,10880792.0,-15798773.0,4917983.0,12742042.0,-1861250.0,3.81,-5.53,1.72,4.46,-0.65,40.0,3.47,0.0,0.0
2020-03-25,-39626280.0,43727021.0,-4100742.0,-30626674.0,-8999606.0,-14.22,15.69,-1.47,-10.99,-3.23,39.1,-2.25,0.0,0.0
2020-03-26,-18393999.0,28855375.0,-10461377.0,-18711620.0,317621.0,-7.73,12.13,-4.4,-7.86,0.13,37.06,-5.22,0.0,0.0
2020-03-27,896230.0,2699723.0,-3595953.0,-925315.0,1821545.0,0.37,1.12,-1.49,-0.38,0.75,38.06,2.7,0.0,0.0
2020-03-30,8270895.0,-19549801.0,11278906.0,6867151.0,1403744.0,2.82,-6.66,3.84,2.34,0.48,39.86,4.73,0.0,0.0
2020-03-31,-21065068.0,32862071.0,-11797001.0,-19065984.0,-1999084.0,-8.95,13.97,-5.01,-8.1,-0.85,37.92,-4.87,0.0,0.0
2020-04-01,65497269.0,-38042232.0,-27455036.0,18053272.0,47443997.0,16.14,-9.37,-6.76,4.45,11.69,40.62,7.12,0.0,0.0
2020-04-02,-22953371.0,25617589.0,-2664218.0,-21730487.0,-1222884.0,-6.01,6.7,-0.7,-5.69,-0.32,41.58,2.36,0.0,0.0
2020-04-03,-29595770.0,46745280.0,-17149510.0,-29460797.0,-134973.0,-10.57,16.7,-6.13,-10.53,-0.05,38.92,-6.4,0.0,0.0
2020-04-07,29779.0,1957934.0,-1987712.0,-945617.0,975396.0,0.01,0.85,-0.87,-0.41,0.42,39.68,1.95,0.0,0.0
2020-04-08,-16557209.0,24209799.0,-7652590.0,-16437997.0,-119212.0,-8.21,12.01,-3.8,-8.16,-0.06,38.68,-2.52,0.0,0.0
2020-04-09,-24922399.0,31870346.0,-6947947.0,-22153696.0,-2768703.0,-13.12,16.78,-3.66,-11.67,-1.46,37.61,-2.77,0.0,0.0
2020-04-10,-22173411.0,42289996.0,-20116586.0,-23518707.0,1345296.0,-11.05,21.07,-10.02,-11.72,0.67,35.22,-6.35,0.0,0.0
2020-04-13,-2158077.0,9793990.0,-7635912.0,-2158077.0,0.0,-2.42,10.97,-8.56,-2.42,0.0,34.42,-2.27,0.0,0.0
