date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-04-17,10043373.0,-10213880.0,170506.0,1416287.0,8627086.0,91.09,-92.64,1.55,12.85,78.25,39.56,44.01,0.0,0.0
2020-04-20,3367020.0,-115902560.0,112535539.0,29205069.0,-25838049.0,0.51,-17.4,16.9,4.39,-3.88,35.77,-9.58,0.0,0.0
2020-04-21,4122660.0,-32592214.0,28469554.0,4176407.0,-53747.0,1.01,-7.99,6.98,1.02,-0.01,33.4,-6.63,0.0,0.0
2020-04-22,10599902.0,-22707075.0,12107172.0,8060614.0,2539288.0,2.65,-5.69,3.03,2.02,0.64,34.15,2.25,0.0,0.0
2020-04-23,-15832735.0,17566299.0,-1733564.0,-14978931.0,-853804.0,-6.09,6.75,-0.67,-5.76,-0.33,32.66,-4.36,0.0,0.0
2020-04-24,23824081.0,-28999612.0,5175531.0,13405108.0,10418973.0,10.93,-13.31,2.38,6.15,4.78,33.04,1.16,0.0,0.0
2020-04-27,-23355411.0,19082742.0,4272668.0,-17231264.0,-6124147.0,-11.23,9.17,2.05,-8.28,-2.94,31.19,-5.6,0.0,0.0
2020-04-28,3132500.0,3963998.0,-7096499.0,3250976.0,-118476.0,1.59,2.01,-3.6,1.65,-0.06,29.25,-6.22,0.0,0.0
2020-04-29,1135211.0,-4594605.0,3459393.0,1451022.0,-315811.0,0.73,-2.94,2.22,0.93,-0.2,29.62,1.26,0.0,0.0
2020-04-30,1037840.0,-2312113.0,1274273.0,1943810.0,-905970.0,0.73,-1.63,0.9,1.37,-0.64,29.95,1.11,0.0,0.0
2020-05-06,-1566378.0,-4460425.0,6026803.0,-30485.0,-1535893.0,-1.01,-2.87,3.88,-0.02,-0.99,30.51,1.87,0.0,0.0
2020-05-07,-5016485.0,1206348.0,3810136.0,-2424657.0,-2591828.0,-2.02,0.48,1.53,-0.97,-1.04,31.83,4.33,0.0,0.0
2020-05-08,-4394407.0,-26324.0,4420731.0,-3347842.0,-1046565.0,-2.15,-0.01,2.16,-1.64,-0.51,31.72,-0.35,0.0,0.0
2020-05-11,-3461089.0,-1688402.0,5149490.0,780371.0,-4241460.0,-1.35,-0.66,2.0,0.3,-1.65,32.5,2.46,0.0,0.0
2020-05-12,2116358.0,-9782730.0,7666372.0,-1401937.0,3518295.0,0.83,-3.83,3.0,-0.55,1.38,33.35,2.62,0.0,0.0
2020-05-13,-14601933.0,24855826.0,-10253893.0,-12322799.0,-2279134.0,-7.6,12.94,-5.34,-6.41,-1.19,32.61,-2.22,0.0,0.0
2020-05-14,7393905.0,-8152238.0,758332.0,5021040.0,2372865.0,3.13,-3.45,0.32,2.12,1.0,32.99,1.17,0.0,0.0
2020-05-15,-13341358.0,20900570.0,-7559211.0,-10626338.0,-2715020.0,-7.44,11.66,-4.22,-5.93,-1.51,32.15,-2.55,0.0,0.0
2020-05-18,3721763.0,-9241173.0,5519410.0,7847940.0,-4126177.0,1.59,-3.94,2.35,3.35,-1.76,32.51,1.12,0.0,0.0
2020-05-19,116385917.0,-75435534.0,-40950382.0,27313075.0,89072842.0,20.47,-13.27,-7.2,4.8,15.66,35.76,10.0,0.0,0.0
2020-05-20,-53022486.0,28465009.0,24557477.0,-27449065.0,-25573421.0,-8.6,4.62,3.98,-4.45,-4.15,35.92,0.45,0.0,0.0
