date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-12528.0,91377.0,-78849.0,-12528.0,0.0,-2.19,15.97,-13.78,-2.19,0.0,4.83,-1.02,0.0,0.0
2020-01-09,0.0,-41840.0,41840.0,0.0,0.0,0.0,-30.98,30.98,0.0,0.0,4.85,0.41,0.0,0.0
2020-01-10,0.0,50916.0,-50916.0,0.0,0.0,0.0,22.14,-22.14,0.0,0.0,4.8,-1.03,0.0,0.0
2020-01-13,-19722.0,104498.0,-84776.0,-19722.0,0.0,-4.33,22.94,-18.61,-4.33,0.0,4.8,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0
2020-01-15,0.0,520.0,-520.0,0.0,0.0,0.0,0.84,-0.84,0.0,0.0,4.81,0.21,0.0,0.0
2020-01-16,0.0,40179.0,-40179.0,0.0,0.0,0.0,14.58,-14.58,0.0,0.0,4.84,0.62,0.0,0.0
2020-01-17,0.0,34348.0,-34348.0,0.0,0.0,0.0,20.45,-20.45,0.0,0.0,4.83,-0.21,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,-0.41,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.21,0.0,0.0
2020-01-22,0.0,10765.0,-10765.0,0.0,0.0,0.0,3.45,-3.45,0.0,0.0,4.8,-0.41,0.0,0.0
2020-01-23,0.0,5000.0,-5000.0,0.0,0.0,0.0,1.15,-1.15,0.0,0.0,4.7,-2.08,0.0,0.0
2020-02-03,0.0,117706.0,-117706.0,0.0,0.0,0.0,38.07,-38.07,0.0,0.0,4.19,-10.85,0.0,0.0
2020-02-04,0.0,303892.0,-303892.0,0.0,0.0,0.0,18.04,-18.04,0.0,0.0,3.99,-4.77,0.0,0.0
2020-02-05,2230.0,-180060.0,177830.0,2230.0,0.0,0.16,-12.71,12.55,0.16,0.0,4.05,1.5,0.0,0.0
2020-02-06,0.0,58734.0,-58734.0,0.0,0.0,0.0,6.93,-6.93,0.0,0.0,4.07,0.49,0.0,0.0
2020-02-07,0.0,73449.0,-73449.0,0.0,0.0,0.0,13.56,-13.56,0.0,0.0,3.95,-2.95,0.0,0.0
2020-02-10,0.0,-17507.0,17507.0,0.0,0.0,0.0,-5.79,5.79,0.0,0.0,4.01,1.52,0.0,0.0
2020-02-11,0.0,151955.0,-151955.0,0.0,0.0,0.0,15.2,-15.2,0.0,0.0,4.1,2.24,0.0,0.0
2020-02-12,216045.0,-7007.0,-209038.0,216045.0,0.0,15.4,-0.5,-14.9,15.4,0.0,4.13,0.73,0.0,0.0
