date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,0.0,10944.0,-10944.0,0.0,0.0,0.0,6.9,-6.9,0.0,0.0,3.46,-0.29,0.0,0.0
2020-01-09,0.0,-28060.0,28060.0,0.0,0.0,0.0,-20.83,20.83,0.0,0.0,3.46,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.29,0.0,0.0
2020-01-14,0.0,128770.0,-128770.0,0.0,0.0,0.0,32.95,-32.95,0.0,0.0,3.45,-0.58,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0
2020-01-16,0.0,59399.0,-59398.0,0.0,0.0,0.0,37.14,-37.14,0.0,0.0,3.46,0.29,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.87,0.0,0.0
2020-01-21,0.0,7266.0,-7265.0,0.0,0.0,0.0,7.11,-7.11,0.0,0.0,3.46,-0.86,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,-0.29,0.0,0.0
2020-01-23,0.0,175777.0,-175777.0,0.0,0.0,0.0,23.42,-23.42,0.0,0.0,3.34,-3.19,0.0,0.0
2020-02-03,0.0,159766.0,-159765.0,0.0,0.0,0.0,23.55,-23.55,0.0,0.0,3.01,-9.88,0.0,0.0
2020-02-04,0.0,17748.0,-17748.0,0.0,0.0,0.0,7.57,-7.57,0.0,0.0,3.02,0.33,0.0,0.0
2020-02-05,0.0,620.0,-620.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,3.06,1.32,0.0,0.0
2020-02-06,0.0,5768.0,-5768.0,0.0,0.0,0.0,0.73,-0.73,0.0,0.0,3.16,3.27,0.0,0.0
2020-02-07,0.0,-50220.0,50220.0,0.0,0.0,0.0,-13.02,13.02,0.0,0.0,3.16,0.0,0.0,0.0
2020-02-10,0.0,65149.0,-65149.0,0.0,0.0,0.0,16.2,-16.2,0.0,0.0,3.19,0.95,0.0,0.0
2020-02-11,0.0,-16104.0,16104.0,0.0,0.0,0.0,-6.24,6.24,0.0,0.0,3.18,-0.31,0.0,0.0
2020-02-12,0.0,-12415.0,12415.0,0.0,0.0,0.0,-2.61,2.61,0.0,0.0,3.25,2.2,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,-0.92,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,-0.31,0.0,0.0
2020-02-17,0.0,-85084.0,85084.0,0.0,0.0,0.0,-10.46,10.46,0.0,0.0,3.34,4.05,0.0,0.0
2020-02-18,0.0,36440.0,-36440.0,0.0,0.0,0.0,8.32,-8.32,0.0,0.0,3.32,-0.6,0.0,0.0
2020-02-19,0.0,43818.0,-43819.0,0.0,0.0,0.0,11.57,-11.57,0.0,0.0,3.3,-0.6,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,-0.61,0.0,0.0
2020-02-24,0.0,-35080.0,35081.0,0.0,0.0,0.0,-6.11,6.11,0.0,0.0,3.3,0.61,0.0,0.0
2020-02-25,0.0,-2243.0,2242.0,0.0,0.0,0.0,-0.57,0.57,0.0,0.0,3.27,-0.91,0.0,0.0
2020-02-26,0.0,22638.0,-22638.0,0.0,0.0,0.0,6.43,-6.43,0.0,0.0,3.28,0.31,0.0,0.0
2020-02-27,0.0,-7498.0,7497.0,0.0,0.0,0.0,-18.09,18.08,0.0,0.0,3.28,0.0,0.0,0.0
2020-02-28,-236933.0,139096.0,97838.0,-236933.0,0.0,-18.3,10.75,7.56,-18.3,0.0,3.29,0.3,0.0,0.0
2020-03-02,0.0,-62154.0,62154.0,0.0,0.0,0.0,-5.48,5.48,0.0,0.0,3.35,1.82,0.0,0.0
2020-03-03,0.0,82455.0,-82455.0,0.0,0.0,0.0,20.96,-20.96,0.0,0.0,3.35,0.0,0.0,0.0
2020-03-04,0.0,-33462.0,33462.0,0.0,0.0,0.0,-10.32,10.32,0.0,0.0,3.33,-0.6,0.0,0.0
2020-03-05,0.0,-89075.0,89074.0,0.0,0.0,0.0,-14.76,14.76,0.0,0.0,3.44,3.3,0.0,0.0
2020-03-06,0.0,42436.0,-42436.0,0.0,0.0,0.0,15.09,-15.09,0.0,0.0,3.37,-2.03,0.0,0.0
2020-03-09,-32800.0,110536.0,-77736.0,-32800.0,0.0,-6.52,21.98,-15.46,-6.52,0.0,3.28,-2.67,0.0,0.0
2020-03-10,0.0,3996.0,-3996.0,0.0,0.0,0.0,0.86,-0.86,0.0,0.0,3.28,0.0,0.0,0.0
2020-03-11,0.0,-35530.0,35530.0,0.0,0.0,0.0,-14.98,14.98,0.0,0.0,3.25,-0.91,0.0,0.0
2020-03-12,0.0,-70397.0,70397.0,0.0,0.0,0.0,-18.69,18.69,0.0,0.0,3.27,0.62,0.0,0.0
2020-03-13,0.0,60164.0,-60164.0,0.0,0.0,0.0,23.31,-23.31,0.0,0.0,3.17,-3.06,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,-1.89,0.0,0.0
2020-03-17,0.0,36840.0,-36840.0,0.0,0.0,0.0,19.13,-19.13,0.0,0.0,3.11,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,-2.25,0.0,0.0
2020-03-19,0.0,13818.0,-13818.0,0.0,0.0,0.0,4.79,-4.79,0.0,0.0,2.93,-3.62,0.0,0.0
2020-03-20,0.0,6140.0,-6140.0,0.0,0.0,0.0,3.66,-3.66,0.0,0.0,2.93,0.0,0.0,0.0
2020-03-23,28561.0,-29542.0,980.0,28561.0,0.0,4.26,-4.4,0.15,4.26,0.0,2.92,-0.34,0.0,0.0
2020-03-24,0.0,82455.0,-82455.0,0.0,0.0,0.0,26.24,-26.24,0.0,0.0,2.96,1.37,0.0,0.0
2020-03-25,0.0,-91090.0,91090.0,0.0,0.0,0.0,-9.3,9.3,0.0,0.0,3.17,7.09,0.0,0.0
2020-03-26,595120.0,-1185530.0,590410.0,595120.0,0.0,14.09,-28.08,13.98,14.09,0.0,3.4,7.26,0.0,0.0
2020-03-27,0.0,128739.0,-128739.0,0.0,0.0,0.0,7.27,-7.27,0.0,0.0,3.24,-4.71,0.0,0.0
2020-03-30,0.0,87279.0,-87280.0,0.0,0.0,0.0,3.8,-3.8,0.0,0.0,3.34,3.09,0.0,0.0
2020-03-31,0.0,16202.0,-16203.0,0.0,0.0,0.0,2.11,-2.11,0.0,0.0,3.4,1.8,0.0,0.0
2020-04-01,0.0,-52330.0,52330.0,0.0,0.0,0.0,-6.03,6.03,0.0,0.0,3.36,-1.18,0.0,0.0
2020-04-02,0.0,43296.0,-43296.0,0.0,0.0,0.0,12.54,-12.54,0.0,0.0,3.33,-0.89,0.0,0.0
2020-04-03,0.0,9840.0,-9840.0,0.0,0.0,0.0,3.02,-3.02,0.0,0.0,3.34,0.3,0.0,0.0
