date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,0.0,-11226.0,11225.0,0.0,0.0,0.0,-5.39,5.38,0.0,0.0,5.45,-1.8,0.0,0.0
2020-01-09,0.0,1100.0,-1100.0,0.0,0.0,0.0,0.4,-0.4,0.0,0.0,5.53,1.47,0.0,0.0
2020-01-10,0.0,5052.0,-5052.0,0.0,0.0,0.0,1.77,-1.77,0.0,0.0,5.54,0.18,0.0,0.0
2020-01-13,-38080.0,15984.0,22096.0,-38080.0,0.0,-14.57,6.11,8.45,-14.57,0.0,5.54,0.0,0.0,0.0
2020-01-14,-20679.0,140215.0,-119537.0,-20679.0,0.0,-2.27,15.38,-13.11,-2.27,0.0,5.41,-2.35,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,1.29,0.0,0.0
2020-01-16,-36716.0,36716.0,0.0,-36716.0,0.0,-41.26,41.26,0.0,-41.26,0.0,5.43,-0.91,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,-0.18,0.0,0.0
2020-01-20,0.0,-5540.0,5540.0,0.0,0.0,0.0,-1.15,1.15,0.0,0.0,5.55,2.4,0.0,0.0
2020-01-21,0.0,-16650.0,16650.0,0.0,0.0,0.0,-8.47,8.47,0.0,0.0,5.47,-1.44,0.0,0.0
2020-01-22,0.0,100056.0,-100056.0,0.0,0.0,0.0,36.29,-36.29,0.0,0.0,5.48,0.18,0.0,0.0
2020-01-23,0.0,277174.0,-277174.0,0.0,0.0,0.0,29.92,-29.92,0.0,0.0,5.33,-2.74,0.0,0.0
2020-02-03,0.0,-48400.0,48400.0,0.0,0.0,0.0,-14.88,14.88,0.0,0.0,4.79,-10.13,0.0,0.0
