date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,32216446.0,-14589087.0,-17627344.0,5593712.0,26622734.0,3.92,-1.78,-2.15,0.68,3.24,20.07,3.67,0.0,0.0
2020-01-09,-52419062.0,23454019.0,28965043.0,-33927414.0,-18491648.0,-10.44,4.67,5.77,-6.76,-3.68,19.89,-0.9,0.0,0.0
2020-01-10,-35153530.0,32371869.0,2781661.0,-8782718.0,-26370812.0,-9.04,8.33,0.72,-2.26,-6.78,19.54,-1.76,0.0,0.0
2020-01-13,71419520.0,-5478135.0,-65941376.0,-66366816.0,137786336.0,5.51,-0.42,-5.09,-5.12,10.64,21.49,9.98,0.0,0.0
2020-01-14,-68923296.0,39209174.0,29714128.0,-16590859.0,-52332437.0,-9.44,5.37,4.07,-2.27,-7.16,21.16,-1.54,0.0,0.0
2020-01-15,-7420108.0,-403961.0,7824071.0,-17258424.0,9838316.0,-1.08,-0.06,1.13,-2.5,1.43,21.72,2.65,0.0,0.0
2020-01-16,-9576920.0,-305360.0,9882279.0,-91883.0,-9485037.0,-1.61,-0.05,1.66,-0.02,-1.6,21.68,-0.18,0.0,0.0
2020-01-17,63394898.0,-19175245.0,-44219648.0,-46891776.0,110286674.0,6.53,-1.98,-4.56,-4.83,11.36,23.2,7.01,0.0,0.0
2020-01-20,5254249.0,2403870.0,-7658119.0,-1567991.0,6822240.0,0.71,0.32,-1.03,-0.21,0.92,24.13,4.01,0.0,0.0
2020-01-21,-85727249.0,44954309.0,40772939.0,-59717536.0,-26009713.0,-12.41,6.51,5.9,-8.64,-3.77,23.36,-3.19,0.0,0.0
2020-01-22,23073875.0,-6577861.0,-16496016.0,-57619072.0,80692947.0,2.16,-0.61,-1.54,-5.38,7.54,25.0,7.02,0.0,0.0
2020-01-23,-54334321.0,41974590.0,12359728.0,-15382896.0,-38951425.0,-5.02,3.88,1.14,-1.42,-3.6,25.03,0.12,0.0,0.0
2020-02-03,-57198150.0,38539027.0,18659124.0,-20367142.0,-36831008.0,-6.82,4.6,2.22,-2.43,-4.39,22.53,-9.99,0.0,0.0
2020-02-04,116316361.0,-34601670.0,-81714692.0,-127295280.0,243611641.0,10.36,-3.08,-7.27,-11.33,21.69,24.78,9.99,0.0,0.0
2020-02-05,-3391680.0,23897244.0,-20505568.0,-58475776.0,55084096.0,-0.24,1.67,-1.43,-4.08,3.84,26.08,5.25,0.0,0.0
2020-02-06,-46545337.0,19055033.0,27490288.0,-21509680.0,-25035657.0,-4.41,1.8,2.6,-2.04,-2.37,26.36,1.07,0.0,0.0
2020-02-07,-61972293.0,43503085.0,18469207.0,-31372016.0,-30600277.0,-8.66,6.08,2.58,-4.38,-4.27,25.62,-2.81,0.0,0.0
2020-02-10,83404247.0,-48320317.0,-35083936.0,-10971696.0,94375943.0,8.18,-4.74,-3.44,-1.08,9.25,26.96,5.23,0.0,0.0
