date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,865033.0,-9220695.0,8355661.0,-1093851.0,1958884.0,0.44,-4.73,4.29,-0.56,1.01,6.48,0.93,0.0,0.0
2020-01-09,2874176.0,-15835145.0,12960968.0,4869677.0,-1995501.0,2.21,-12.2,9.98,3.75,-1.54,6.52,0.62,0.0,0.0
2020-01-10,-1893867.0,4441759.0,-2547892.0,-1300450.0,-593417.0,-1.63,3.83,-2.2,-1.12,-0.51,6.54,0.31,0.0,0.0
2020-01-13,9295680.0,3603796.0,-12899478.0,5400329.0,3895351.0,6.07,2.35,-8.43,3.53,2.55,6.72,2.75,0.0,0.0
2020-01-14,-52541119.0,24383195.0,28157923.0,-41715345.0,-10825774.0,-14.97,6.95,8.02,-11.88,-3.08,6.34,-5.65,0.0,0.0
2020-01-15,-26622820.0,18498206.0,8124613.0,-22663086.0,-3959734.0,-19.12,13.28,5.83,-16.27,-2.84,6.21,-2.05,0.0,0.0
2020-01-16,-41799956.0,40516472.0,1283485.0,-28515732.0,-13284224.0,-19.91,19.3,0.61,-13.59,-6.33,5.91,-4.83,0.0,0.0
2020-01-17,2897522.0,-427915.0,-2469606.0,5884589.0,-2987067.0,1.84,-0.27,-1.56,3.73,-1.89,6.01,1.69,0.0,0.0
2020-01-20,-9027832.0,2328828.0,6699003.0,2283989.0,-11311821.0,-6.14,1.58,4.56,1.55,-7.69,5.91,-1.66,0.0,0.0
2020-01-21,-8070487.0,10661003.0,-2590515.0,9851014.0,-17921501.0,-3.17,4.19,-1.02,3.87,-7.05,6.08,2.88,0.0,0.0
2020-01-22,-20194451.0,16383138.0,3811312.0,-16248296.0,-3946155.0,-10.32,8.38,1.95,-8.31,-2.02,5.87,-3.45,0.0,0.0
2020-01-23,-52624478.0,39547055.0,13077423.0,-35562143.0,-17062335.0,-25.56,19.21,6.35,-17.27,-8.29,5.45,-7.16,0.0,0.0
2020-02-03,-18385672.0,29993663.0,-11607991.0,-8914081.0,-9471591.0,-7.38,12.05,-4.66,-3.58,-3.8,5.18,-4.95,0.0,0.0
2020-02-04,-5084459.0,8995029.0,-3910570.0,-4095493.0,-988966.0,-2.24,3.96,-1.72,-1.81,-0.44,5.57,7.53,0.0,0.0
2020-02-05,4204623.0,-14549853.0,10345230.0,-1505973.0,5710596.0,1.43,-4.95,3.52,-0.51,1.94,5.96,7.0,0.0,0.0
2020-02-06,-7499044.0,15451855.0,-7952812.0,14861879.0,-22360923.0,-2.01,4.14,-2.13,3.98,-5.99,5.97,0.17,0.0,0.0
2020-02-07,-37854607.0,23761364.0,14093244.0,-19746584.0,-18108023.0,-14.97,9.4,5.57,-7.81,-7.16,5.75,-3.69,0.0,0.0
2020-02-10,-22674120.0,11330506.0,11343612.0,-15139547.0,-7534573.0,-14.63,7.31,7.32,-9.77,-4.86,5.61,-2.43,0.0,0.0
2020-02-11,-6394448.0,-589556.0,6984003.0,-1093151.0,-5301297.0,-7.37,-0.68,8.05,-1.26,-6.11,5.54,-1.25,0.0,0.0
2020-02-12,-5668788.0,-3273812.0,8942600.0,-5772196.0,103408.0,-5.89,-3.4,9.29,-5.99,0.11,5.64,1.81,0.0,0.0
2020-02-13,-10519051.0,1973881.0,8545170.0,-9441901.0,-1077150.0,-11.95,2.24,9.71,-10.73,-1.22,5.52,-2.13,0.0,0.0
2020-02-14,-1773646.0,-9409644.0,11183290.0,5073732.0,-6847378.0,-1.19,-6.33,7.52,3.41,-4.6,5.73,3.8,0.0,0.0
2020-02-17,5609901.0,-10916219.0,5306318.0,5446805.0,163096.0,2.79,-5.42,2.64,2.71,0.08,5.91,3.14,0.0,0.0
2020-02-18,-25733006.0,14777884.0,10955123.0,-22250897.0,-3482109.0,-20.99,12.05,8.94,-18.15,-2.84,5.86,-0.85,0.0,0.0
2020-02-19,-15216577.0,6950712.0,8265864.0,-12088532.0,-3128045.0,-13.83,6.32,7.51,-10.99,-2.84,5.7,-2.73,0.0,0.0
2020-02-20,-5581282.0,-768880.0,6350163.0,-6164374.0,583092.0,-7.01,-0.97,7.97,-7.74,0.73,5.76,1.05,0.0,0.0
2020-02-21,-14532867.0,12369061.0,2163805.0,-10927256.0,-3605611.0,-14.19,12.07,2.11,-10.67,-3.52,5.75,-0.17,0.0,0.0
2020-02-24,-22817189.0,15950144.0,6867045.0,-5985670.0,-16831519.0,-19.77,13.82,5.95,-5.19,-14.58,5.72,-0.52,0.0,0.0
2020-02-25,-9503895.0,9623068.0,-119172.0,-8758996.0,-744899.0,-7.15,7.24,-0.09,-6.59,-0.56,5.63,-1.57,0.0,0.0
2020-02-26,-23171628.0,21804143.0,1367485.0,-18247022.0,-4924606.0,-20.33,19.13,1.2,-16.01,-4.32,5.46,-3.02,0.0,0.0
2020-02-27,-3775588.0,1954214.0,1821374.0,-3774508.0,-1080.0,-5.71,2.95,2.75,-5.7,-0.0,5.39,-1.28,0.0,0.0
2020-02-28,-5486351.0,3823436.0,1662917.0,-3678995.0,-1807356.0,-8.63,6.01,2.62,-5.79,-2.84,5.15,-4.45,0.0,0.0
2020-03-02,4789313.0,-3568386.0,-1220927.0,1686682.0,3102631.0,8.95,-6.67,-2.28,3.15,5.8,5.33,3.5,0.0,0.0
2020-03-03,12900590.0,-5563178.0,-7337413.0,9983543.0,2917047.0,17.65,-7.61,-10.04,13.66,3.99,5.43,1.88,0.0,0.0
2020-03-04,-4647619.0,6081234.0,-1433615.0,-4473201.0,-174418.0,-11.44,14.97,-3.53,-11.01,-0.43,5.35,-1.47,0.0,0.0
2020-03-05,10168014.0,-6507080.0,-3660934.0,11257335.0,-1089321.0,15.49,-9.91,-5.58,17.15,-1.66,5.51,2.99,0.0,0.0
2020-03-06,-2852617.0,2985438.0,-132821.0,-1763568.0,-1089049.0,-6.04,6.32,-0.28,-3.74,-2.31,5.48,-0.54,0.0,0.0
2020-03-09,-12880176.0,5326867.0,7553310.0,-10006685.0,-2873491.0,-9.27,3.84,5.44,-7.21,-2.07,5.56,1.46,0.0,0.0
2020-03-10,-4212697.0,3379123.0,833573.0,-5407075.0,1194378.0,-4.76,3.82,0.94,-6.11,1.35,5.54,-0.36,0.0,0.0
2020-03-11,-5851620.0,4737639.0,1113980.0,-5851620.0,0.0,-9.69,7.84,1.84,-9.69,0.0,5.47,-1.26,0.0,0.0
2020-03-12,-11603857.0,7843976.0,3759881.0,-7962387.0,-3641470.0,-17.41,11.77,5.64,-11.95,-5.46,5.37,-1.83,0.0,0.0
2020-03-13,-1506415.0,1698406.0,-191991.0,-1566598.0,60183.0,-2.73,3.08,-0.35,-2.84,0.11,5.25,-2.23,0.0,0.0
2020-03-16,-12297550.0,12220506.0,77045.0,-7983078.0,-4314472.0,-18.56,18.44,0.12,-12.05,-6.51,5.03,-4.19,0.0,0.0
2020-03-17,-11759579.0,9865565.0,1894013.0,-11159746.0,-599833.0,-15.94,13.37,2.57,-15.12,-0.81,4.86,-3.38,0.0,0.0
2020-03-18,-6478303.0,6692171.0,-213868.0,-6478303.0,0.0,-13.14,13.57,-0.43,-13.14,0.0,4.74,-2.47,0.0,0.0
2020-03-19,-4949421.0,7726335.0,-2776912.0,-2185285.0,-2764136.0,-9.04,14.11,-5.07,-3.99,-5.05,4.6,-2.95,0.0,0.0
2020-03-20,-3967510.0,3578432.0,389079.0,-3967510.0,0.0,-10.97,9.89,1.08,-10.97,0.0,4.68,1.74,0.0,0.0
2020-03-23,-1365904.0,3103773.0,-1737869.0,-1365904.0,0.0,-2.94,6.69,-3.74,-2.94,0.0,4.61,-1.5,0.0,0.0
2020-03-24,7529532.0,-4910285.0,-2619248.0,7529532.0,0.0,19.51,-12.72,-6.79,19.51,0.0,4.74,2.82,0.0,0.0
2020-03-25,15625.0,-901897.0,886272.0,4824305.0,-4808680.0,0.03,-1.69,1.66,9.05,-9.02,4.9,3.38,0.0,0.0
2020-03-26,-2630478.0,4741716.0,-2111237.0,3376176.0,-6006654.0,-3.78,6.82,-3.03,4.85,-8.63,4.93,0.61,0.0,0.0
2020-03-27,-1005029.0,3122595.0,-2117566.0,-1005029.0,0.0,-3.7,11.48,-7.79,-3.7,0.0,4.87,-1.22,0.0,0.0
2020-03-30,-1172522.0,1406154.0,-233632.0,803987.0,-1976509.0,-3.0,3.59,-0.6,2.05,-5.05,4.84,-0.62,0.0,0.0
2020-03-31,-2162135.0,6594.0,2155541.0,-739271.0,-1422864.0,-8.01,0.02,7.99,-2.74,-5.27,4.81,-0.62,0.0,0.0
2020-04-01,-397479.0,-1045502.0,1442981.0,814122.0,-1211601.0,-1.71,-4.49,6.2,3.5,-5.2,4.81,0.0,0.0,0.0
2020-04-02,1499152.0,-559848.0,-939302.0,2044294.0,-545142.0,6.28,-2.34,-3.93,8.56,-2.28,4.9,1.87,0.0,0.0
2020-04-03,-860393.0,1128320.0,-267926.0,-860393.0,0.0,-3.96,5.19,-1.23,-3.96,0.0,4.85,-1.02,0.0,0.0
2020-04-07,-2779484.0,1201937.0,1577547.0,-3629872.0,850388.0,-7.67,3.31,4.35,-10.01,2.35,5.0,3.09,0.0,0.0
