date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,871450.0,2780022.0,-3651472.0,3355978.0,-2484528.0,0.55,1.77,-2.32,2.13,-1.58,16.84,-2.38,0.0,0.0
2020-01-09,-1803185.0,-6089573.0,7892758.0,1536391.0,-3339576.0,-1.21,-4.09,5.3,1.03,-2.24,17.1,1.54,0.0,0.0
2020-01-10,-12887553.0,12383253.0,504300.0,-11921499.0,-966054.0,-9.13,8.77,0.36,-8.45,-0.68,16.98,-0.7,0.0,0.0
2020-01-13,-4535989.0,10382921.0,-5846930.0,-4578238.0,42249.0,-3.98,9.1,-5.13,-4.01,0.04,17.01,0.18,0.0,0.0
2020-01-14,-21909736.0,17752775.0,4156961.0,-14505910.0,-7403826.0,-19.03,15.42,3.61,-12.6,-6.43,16.63,-2.23,0.0,0.0
2020-01-15,795281.0,2760547.0,-3555827.0,-1050375.0,1845656.0,0.68,2.35,-3.02,-0.89,1.57,16.86,1.38,0.0,0.0
2020-01-16,-7071050.0,7755758.0,-684708.0,-5430214.0,-1640836.0,-8.88,9.74,-0.86,-6.82,-2.06,16.58,-1.66,0.0,0.0
2020-01-17,-3250307.0,6068861.0,-2818554.0,-3378831.0,128524.0,-5.24,9.78,-4.54,-5.45,0.21,16.54,-0.24,0.0,0.0
2020-01-20,-7091056.0,5829403.0,1261653.0,-3407229.0,-3683827.0,-8.17,6.72,1.45,-3.93,-4.24,16.56,0.12,0.0,0.0
2020-01-21,-7939223.0,9003418.0,-1064195.0,-8419159.0,479936.0,-11.23,12.74,-1.51,-11.91,0.68,16.0,-3.38,0.0,0.0
2020-01-22,1752879.0,924880.0,-2677758.0,3055207.0,-1302328.0,2.14,1.13,-3.28,3.74,-1.59,16.37,2.31,0.0,0.0
2020-01-23,-8347218.0,4879979.0,3467239.0,-8347218.0,0.0,-11.95,6.99,4.96,-11.95,0.0,15.62,-4.58,0.0,0.0
2020-02-03,-1646426.0,1574017.0,72409.0,-2462609.0,816183.0,-26.94,25.76,1.18,-40.3,13.36,14.06,-9.99,0.0,0.0
2020-02-04,-1106513.0,3944626.0,-2838112.0,-942089.0,-164424.0,-1.31,4.66,-3.35,-1.11,-0.19,13.4,-4.69,0.0,0.0
2020-02-05,429601.0,3033829.0,-3463430.0,570301.0,-140700.0,0.53,3.74,-4.27,0.7,-0.17,13.99,4.4,0.0,0.0
2020-02-06,687106.0,3307556.0,-3994662.0,687106.0,0.0,0.97,4.66,-5.63,0.97,0.0,14.19,1.43,0.0,0.0
2020-02-07,1912913.0,-961331.0,-951582.0,1912913.0,0.0,2.78,-1.4,-1.38,2.78,0.0,14.58,2.75,0.0,0.0
2020-02-10,-2304562.0,-26908.0,2331469.0,-2304562.0,0.0,-3.63,-0.04,3.67,-3.63,0.0,14.79,1.44,0.0,0.0
2020-02-11,-2410380.0,2672873.0,-262493.0,-2410380.0,0.0,-5.3,5.88,-0.58,-5.3,0.0,14.62,-1.15,0.0,0.0
2020-02-12,3180814.0,-5311445.0,2130630.0,-465562.0,3646376.0,5.14,-8.58,3.44,-0.75,5.89,15.07,3.08,0.0,0.0
2020-02-13,-3352931.0,2695065.0,657865.0,-3352931.0,0.0,-4.63,3.72,0.91,-4.63,0.0,15.0,-0.46,0.0,0.0
2020-02-14,-711646.0,2592347.0,-1880701.0,-821086.0,109440.0,-1.08,3.95,-2.86,-1.25,0.17,15.02,0.13,0.0,0.0
2020-02-17,2980740.0,-1039751.0,-1940990.0,1864868.0,1115872.0,3.65,-1.27,-2.37,2.28,1.37,15.64,4.13,0.0,0.0
2020-02-18,4970172.0,-7023971.0,2053798.0,2053980.0,2916192.0,3.3,-4.66,1.36,1.36,1.93,16.38,4.73,0.0,0.0
2020-02-19,22582432.0,-13551659.0,-9030772.0,4118439.0,18463993.0,7.95,-4.77,-3.18,1.45,6.5,17.16,4.76,0.0,0.0
2020-02-20,-11577722.0,6069201.0,5508522.0,-8089077.0,-3488645.0,-6.05,3.17,2.88,-4.23,-1.82,17.09,-0.41,0.0,0.0
2020-02-21,27036243.0,-17867783.0,-9168461.0,1949747.0,25086496.0,9.15,-6.05,-3.1,0.66,8.49,18.27,6.9,0.0,0.0
2020-02-24,-17368818.0,11121158.0,6247660.0,-11206232.0,-6162586.0,-4.48,2.87,1.61,-2.89,-1.59,18.85,3.17,0.0,0.0
2020-02-25,-37386996.0,26305524.0,11081472.0,-22342729.0,-15044267.0,-12.61,8.88,3.74,-7.54,-5.08,18.19,-3.5,0.0,0.0
2020-02-26,-25070298.0,24702915.0,367383.0,-17907408.0,-7162890.0,-15.12,14.89,0.22,-10.8,-4.32,17.02,-6.43,0.0,0.0
2020-02-27,-18000706.0,13631595.0,4369111.0,-13535836.0,-4464870.0,-15.67,11.87,3.8,-11.78,-3.89,16.73,-1.7,0.0,0.0
2020-02-28,-3828326.0,11169707.0,-7341380.0,-4143067.0,314741.0,-3.51,10.23,-6.72,-3.79,0.29,15.73,-5.98,0.0,0.0
2020-03-02,-807210.0,-2263263.0,3070473.0,-644340.0,-162870.0,-0.93,-2.62,3.56,-0.75,-0.19,16.54,5.15,0.0,0.0
2020-03-03,-4209763.0,4406566.0,-196803.0,-4937463.0,727700.0,-3.66,3.84,-0.17,-4.3,0.63,16.66,0.73,0.0,0.0
2020-03-04,8182980.0,-5814968.0,-2368012.0,4656902.0,3526078.0,4.67,-3.32,-1.35,2.66,2.01,17.56,5.4,0.0,0.0
2020-03-05,-11270515.0,12727093.0,-1456578.0,-9443906.0,-1826609.0,-5.63,6.36,-0.73,-4.72,-0.91,17.62,0.34,0.0,0.0
2020-03-06,-16776337.0,12424877.0,4351460.0,-13658621.0,-3117716.0,-15.8,11.7,4.1,-12.86,-2.94,17.18,-2.5,0.0,0.0
2020-03-09,-10745713.0,11043894.0,-298182.0,-9681737.0,-1063976.0,-10.79,11.09,-0.3,-9.72,-1.07,16.11,-6.23,0.0,0.0
2020-03-10,-1423753.0,-1904397.0,3328149.0,-1469182.0,45429.0,-1.63,-2.18,3.81,-1.68,0.05,16.79,4.22,0.0,0.0
2020-03-11,-10730608.0,11446751.0,-716143.0,-11096923.0,366315.0,-10.0,10.66,-0.67,-10.34,0.34,16.5,-1.73,0.0,0.0
2020-03-12,34185411.0,-14336559.0,-19848852.0,29138933.0,5046478.0,13.66,-5.73,-7.93,11.65,2.02,17.65,6.97,0.0,0.0
2020-03-13,-15022131.0,4703276.0,10318854.0,-3889403.0,-11132728.0,-4.22,1.32,2.9,-1.09,-3.13,18.0,1.98,0.0,0.0
2020-03-16,-40502569.0,38027092.0,2475476.0,-33762533.0,-6740036.0,-16.59,15.58,1.01,-13.83,-2.76,16.2,-10.0,0.0,0.0
2020-03-17,-6901073.0,8508344.0,-1607272.0,-4162139.0,-2738934.0,-5.4,6.65,-1.26,-3.26,-2.14,15.43,-4.75,0.0,0.0
