date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-21685767.0,14628357.0,7057408.0,7070864.0,-28756631.0,-1.89,1.27,0.61,0.61,-2.5,7.06,-2.35,0.0,0.0
2020-01-09,-120295086.0,75766785.0,44528304.0,-85961328.0,-34333758.0,-10.59,6.67,3.92,-7.56,-3.02,7.04,-0.28,0.0,0.0
2020-01-10,-123853109.0,88575314.0,35277792.0,-42883174.0,-80969935.0,-13.34,9.54,3.8,-4.62,-8.72,6.84,-2.84,0.0,0.0
2020-01-13,-27777931.0,19138052.0,8639878.0,-2063158.0,-25714773.0,-3.74,2.58,1.16,-0.28,-3.47,6.93,1.32,0.0,0.0
2020-01-14,-53725369.0,34733307.0,18992062.0,-19181619.0,-34543750.0,-10.71,6.93,3.79,-3.83,-6.89,6.8,-1.88,0.0,0.0
2020-01-15,-82650221.0,40701203.0,41949019.0,11186865.0,-93837086.0,-11.51,5.67,5.84,1.56,-13.06,6.57,-3.38,0.0,0.0
2020-01-16,-17643845.0,15578163.0,2065680.0,-28002704.0,10358859.0,-1.54,1.36,0.18,-2.44,0.9,6.69,1.83,0.0,0.0
2020-01-17,-31454783.0,22279574.0,9175210.0,-9218084.0,-22236699.0,-6.53,4.63,1.91,-1.91,-4.62,6.63,-0.9,0.0,0.0
2020-01-20,-21121350.0,26786776.0,-5665426.0,816844.0,-21938194.0,-5.04,6.39,-1.35,0.19,-5.23,6.73,1.51,0.0,0.0
2020-01-21,-72144103.0,60075627.0,12068477.0,-29312121.0,-42831982.0,-16.03,13.35,2.68,-6.51,-9.52,6.46,-4.01,0.0,0.0
2020-01-22,-35150207.0,25833724.0,9316483.0,-17993122.0,-17157085.0,-10.17,7.47,2.69,-5.2,-4.96,6.52,0.93,0.0,0.0
2020-01-23,-61845712.0,37924429.0,23921284.0,-31563462.0,-30282250.0,-13.88,8.51,5.37,-7.08,-6.79,6.21,-4.75,0.0,0.0
2020-02-03,-10832592.0,12105805.0,-1273212.0,-7177856.0,-3654736.0,-24.58,27.47,-2.89,-16.29,-8.29,5.59,-9.98,0.0,0.0
2020-02-04,-24741719.0,25202329.0,-460611.0,-33694667.0,8952948.0,-4.41,4.49,-0.08,-6.0,1.6,5.7,1.97,0.0,0.0
2020-02-05,-4023025.0,15025576.0,-11002549.0,5888651.0,-9911676.0,-0.87,3.25,-2.38,1.27,-2.14,5.83,2.28,0.0,0.0
2020-02-06,19436893.0,2362586.0,-21799479.0,-5920427.0,25357320.0,3.6,0.44,-4.04,-1.1,4.7,6.05,3.77,0.0,0.0
2020-02-07,-47058835.0,37828422.0,9230413.0,-24559723.0,-22499112.0,-9.82,7.89,1.93,-5.12,-4.69,6.0,-0.83,0.0,0.0
2020-02-10,-48976195.0,47457940.0,1518256.0,-12724326.0,-36251869.0,-10.94,10.6,0.34,-2.84,-8.09,5.99,-0.17,0.0,0.0
2020-02-11,-75997101.0,52321177.0,23675924.0,-36711488.0,-39285613.0,-20.58,14.17,6.41,-9.94,-10.64,5.82,-2.84,0.0,0.0
2020-02-12,74335473.0,-23641765.0,-50693710.0,-41647041.0,115982514.0,9.02,-2.87,-6.15,-5.05,14.08,6.4,9.97,0.0,0.0
2020-02-13,-77292823.0,30128886.0,47163936.0,-32892210.0,-44400613.0,-9.36,3.65,5.71,-3.98,-5.38,6.39,-0.16,0.0,0.0
2020-02-14,-117986425.0,62946559.0,55039866.0,-46465205.0,-71521220.0,-20.84,11.12,9.72,-8.21,-12.63,6.26,-2.03,0.0,0.0
2020-02-17,-40761188.0,28834553.0,11926635.0,-27502065.0,-13259123.0,-8.03,5.68,2.35,-5.42,-2.61,6.46,3.19,0.0,0.0
2020-02-18,-49070873.0,39240047.0,9830827.0,-11065560.0,-38005313.0,-8.93,7.14,1.79,-2.01,-6.92,6.52,0.93,0.0,0.0
2020-02-19,3221889.0,13116143.0,-16338026.0,-16299962.0,19521851.0,0.44,1.8,-2.25,-2.24,2.69,6.53,0.15,0.0,0.0
2020-02-20,-47046988.0,42468933.0,4578055.0,-13418322.0,-33628666.0,-7.82,7.06,0.76,-2.23,-5.59,6.59,0.92,0.0,0.0
2020-02-21,55403094.0,-24645838.0,-30757264.0,-50703176.0,106106270.0,5.29,-2.35,-2.93,-4.84,10.12,6.95,5.46,0.0,0.0
2020-02-24,43244965.0,-28360522.0,-14884432.0,45538624.0,-2293659.0,4.51,-2.95,-1.55,4.74,-0.24,7.25,4.32,0.0,0.0
2020-02-25,183722941.0,-116996807.0,-66726144.0,-39102224.0,222825165.0,10.61,-6.76,-3.85,-2.26,12.87,7.98,10.07,0.0,0.0
2020-02-26,-142846576.0,70103664.0,72742912.0,-24469952.0,-118376624.0,-5.96,2.92,3.03,-1.02,-4.94,8.25,3.38,0.0,0.0
2020-02-27,-13477277.0,-2221696.0,15698976.0,-5555600.0,-7921677.0,-0.93,-0.15,1.09,-0.39,-0.55,8.25,0.0,0.0,0.0
2020-02-28,-166012878.0,101142091.0,64870800.0,16143808.0,-182156686.0,-14.07,8.57,5.5,1.37,-15.44,7.43,-9.94,0.0,0.0
2020-03-02,-58864501.0,29900799.0,28963698.0,-7130223.0,-51734278.0,-7.12,3.62,3.51,-0.86,-6.26,7.52,1.21,0.0,0.0
2020-03-03,-15609197.0,4197023.0,11412160.0,-7369344.0,-8239853.0,-1.73,0.47,1.26,-0.82,-0.91,7.74,2.93,0.0,0.0
2020-03-04,-69167543.0,52404590.0,16762952.0,-29538056.0,-39629487.0,-10.68,8.09,2.59,-4.56,-6.12,7.58,-2.07,0.0,0.0
2020-03-05,-39597941.0,38479891.0,1118050.0,-28489072.0,-11108869.0,-6.52,6.34,0.18,-4.69,-1.83,7.64,0.79,0.0,0.0
2020-03-06,-77058222.0,58011387.0,19046836.0,-35355627.0,-41702595.0,-17.14,12.9,4.24,-7.86,-9.28,7.4,-3.14,0.0,0.0
2020-03-09,-74132079.0,71609775.0,2522304.0,-35342783.0,-38789296.0,-11.78,11.38,0.4,-5.62,-6.16,6.81,-7.97,0.0,0.0
2020-03-10,-2702508.0,13179873.0,-10477365.0,9920960.0,-12623468.0,-0.54,2.62,-2.08,1.97,-2.51,7.08,3.96,0.0,0.0
2020-03-11,-41782303.0,27801503.0,13980801.0,-24290367.0,-17491936.0,-11.65,7.75,3.9,-6.77,-4.88,6.84,-3.39,0.0,0.0
2020-03-12,-5576251.0,2235351.0,3340901.0,-6103332.0,527081.0,-1.5,0.6,0.9,-1.64,0.14,6.82,-0.29,0.0,0.0
2020-03-13,-30164735.0,11391090.0,18773644.0,-17608667.0,-12556068.0,-7.1,2.68,4.42,-4.15,-2.96,6.69,-1.91,0.0,0.0
2020-03-16,-57902979.0,50906293.0,6996686.0,-40782859.0,-17120120.0,-11.26,9.9,1.36,-7.93,-3.33,6.27,-6.28,0.0,0.0
2020-03-17,-810270.0,11697545.0,-10887276.0,-1789600.0,979330.0,-0.21,3.04,-2.83,-0.46,0.25,6.43,2.55,0.0,0.0
2020-03-18,-112420626.0,53832737.0,58587890.0,-1042659.0,-111377967.0,-23.43,11.22,12.21,-0.22,-23.21,6.13,-4.67,0.0,0.0
2020-03-19,-7206065.0,9605731.0,-2399666.0,-5213259.0,-1992806.0,-2.49,3.31,-0.83,-1.8,-0.69,6.26,2.12,0.0,0.0
2020-03-20,-38207072.0,30674470.0,7532603.0,-29833875.0,-8373197.0,-14.56,11.69,2.87,-11.37,-3.19,6.29,0.48,0.0,0.0
2020-03-23,-34478412.0,34732796.0,-254383.0,-23370197.0,-11108215.0,-12.49,12.59,-0.09,-8.47,-4.02,5.85,-7.0,0.0,0.0
2020-03-24,-26874789.0,24781163.0,2093626.0,-25639852.0,-1234937.0,-8.84,8.16,0.69,-8.44,-0.41,6.02,2.91,0.0,0.0
2020-03-25,-14763393.0,7010386.0,7753007.0,1185041.0,-15948434.0,-5.46,2.59,2.87,0.44,-5.9,6.12,1.66,0.0,0.0
2020-03-26,-24676905.0,13027377.0,11649527.0,-14041900.0,-10635005.0,-11.82,6.24,5.58,-6.73,-5.09,5.99,-2.12,0.0,0.0
2020-03-27,-15682075.0,22378854.0,-6696778.0,-8957261.0,-6724814.0,-8.25,11.77,-3.52,-4.71,-3.54,5.91,-1.34,0.0,0.0
2020-03-30,-41529915.0,31396036.0,10133879.0,-22117616.0,-19412299.0,-16.72,12.64,4.08,-8.91,-7.82,5.69,-3.72,0.0,0.0
2020-03-31,-12211776.0,8477955.0,3733822.0,-7428418.0,-4783358.0,-7.73,5.37,2.36,-4.7,-3.03,5.67,-0.35,0.0,0.0
2020-04-01,-5966961.0,4852731.0,1114230.0,-12110.0,-5954851.0,-3.39,2.76,0.63,-0.01,-3.38,5.68,0.18,0.0,0.0
2020-04-02,2790060.0,4589620.0,-7379680.0,107991.0,2682069.0,1.42,2.33,-3.75,0.05,1.36,5.91,4.05,0.0,0.0
2020-04-03,-40221349.0,25178062.0,15043287.0,-24501637.0,-15719712.0,-21.12,13.22,7.9,-12.87,-8.26,5.74,-2.88,0.0,0.0
2020-04-07,30114188.0,-4320983.0,-25793205.0,25592638.0,4521550.0,8.51,-1.22,-7.29,7.24,1.28,6.05,5.4,0.0,0.0
2020-04-08,-13139466.0,18422173.0,-5282708.0,4380117.0,-17519583.0,-2.25,3.15,-0.9,0.75,-3.0,6.32,4.46,0.0,0.0
2020-04-09,16485582.0,1188704.0,-17674288.0,-10205064.0,26690646.0,1.81,0.13,-1.94,-1.12,2.93,6.82,7.91,0.0,0.0
2020-04-10,-60219422.0,43863470.0,16355952.0,-29901187.0,-30318235.0,-8.63,6.29,2.34,-4.29,-4.35,6.36,-6.74,0.0,0.0
2020-04-13,-96233443.0,77048675.0,19184769.0,-54228192.0,-42005251.0,-21.88,17.52,4.36,-12.33,-9.55,6.04,-5.03,0.0,0.0
2020-04-14,-9324324.0,28043076.0,-18718752.0,-16799979.0,7475655.0,-2.18,6.55,-4.37,-3.92,1.75,6.16,1.99,0.0,0.0
2020-04-15,-61337128.0,47049986.0,14287142.0,-25705517.0,-35631611.0,-15.64,11.99,3.64,-6.55,-9.08,5.96,-3.25,0.0,0.0
2020-04-16,164468395.0,-71479788.0,-92988613.0,-7700877.0,172169272.0,18.96,-8.24,-10.72,-0.89,19.85,6.56,10.07,0.0,0.0
2020-04-17,-163113423.0,94373789.0,68739632.0,-48276864.0,-114836559.0,-14.83,8.58,6.25,-4.39,-10.44,6.46,-1.52,0.0,0.0
2020-04-20,-43970649.0,37131349.0,6839300.0,-33040188.0,-10930461.0,-7.8,6.59,1.21,-5.86,-1.94,6.44,-0.31,0.0,0.0
2020-04-21,56848663.0,-20641313.0,-36207344.0,6454085.0,50394578.0,5.8,-2.11,-3.7,0.66,5.15,6.8,5.59,0.0,0.0
2020-04-22,-65983539.0,60834162.0,5149378.0,-36306659.0,-29676880.0,-9.46,8.72,0.74,-5.21,-4.25,6.75,-0.74,0.0,0.0
2020-04-23,-54856953.0,38670746.0,16186208.0,-18099967.0,-36756986.0,-10.01,7.05,2.95,-3.3,-6.71,6.49,-3.85,0.0,0.0
2020-04-24,147795696.0,-41962000.0,-105833696.0,-40806112.0,188601808.0,8.78,-2.49,-6.29,-2.42,11.2,6.85,5.55,0.0,0.0
2020-04-27,-131140289.0,75500671.0,55639616.0,-31181216.0,-99959073.0,-12.86,7.41,5.46,-3.06,-9.81,6.88,0.44,0.0,0.0
2020-04-28,-172816648.0,104273844.0,68542800.0,-45138282.0,-127678366.0,-16.9,10.2,6.7,-4.41,-12.49,6.4,-6.98,0.0,0.0
2020-04-29,30956773.0,165457.0,-31122227.0,-13333925.0,44290698.0,4.22,0.02,-4.24,-1.82,6.03,6.78,5.94,0.0,0.0
2020-04-30,4601847.0,2395694.0,-6997536.0,-56704.0,4658551.0,0.48,0.25,-0.73,-0.01,0.48,6.96,2.65,0.0,0.0
2020-05-06,-64816732.0,44444465.0,20372272.0,-43155979.0,-21660753.0,-8.41,5.77,2.64,-5.6,-2.81,7.05,1.29,0.0,0.0
2020-05-07,-101947164.0,56075884.0,45871287.0,-33904490.0,-68042674.0,-14.12,7.77,6.35,-4.7,-9.42,6.86,-2.7,0.0,0.0
2020-05-08,31222281.0,-3787464.0,-27434816.0,-9489548.0,40711829.0,3.51,-0.43,-3.09,-1.07,4.58,7.07,3.06,0.0,0.0
2020-05-11,-97410872.0,82673799.0,14737071.0,-49010556.0,-48400316.0,-14.75,12.52,2.23,-7.42,-7.33,7.08,0.14,0.0,0.0
2020-05-12,-33093629.0,37840577.0,-4746947.0,-14555693.0,-18537936.0,-5.28,6.03,-0.76,-2.32,-2.95,7.13,0.71,0.0,0.0
2020-05-13,28107115.0,-9496609.0,-18610512.0,-21179357.0,49286472.0,3.18,-1.08,-2.11,-2.4,5.58,7.32,2.66,0.0,0.0
2020-05-14,-171480179.0,105303108.0,66177072.0,-72188000.0,-99292179.0,-14.21,8.73,5.48,-5.98,-8.23,6.91,-5.6,0.0,0.0
2020-05-15,-63090738.0,55660749.0,7429989.0,-37767431.0,-25323307.0,-8.98,7.92,1.06,-5.38,-3.6,6.91,0.0,0.0,0.0
2020-05-18,-158714492.0,99536549.0,59177952.0,-42781724.0,-115932768.0,-18.88,11.84,7.04,-5.09,-13.79,6.42,-7.09,0.0,0.0
2020-05-19,5947973.0,5554554.0,-11502525.0,9644795.0,-3696822.0,1.36,1.27,-2.62,2.2,-0.84,6.55,2.02,0.0,0.0
2020-05-20,-63924640.0,40382375.0,23542264.0,-19007674.0,-44916966.0,-15.57,9.83,5.73,-4.63,-10.94,6.35,-3.05,0.0,0.0
2020-05-21,11235261.0,3485939.0,-14721200.0,80619.0,11154642.0,3.13,0.97,-4.1,0.02,3.11,6.44,1.42,0.0,0.0
2020-05-22,-3593513.0,10670898.0,-7077385.0,2216438.0,-5809951.0,-0.65,1.93,-1.28,0.4,-1.05,6.45,0.16,0.0,0.0
2020-05-25,-40780196.0,39986653.0,793543.0,-26402051.0,-14378145.0,-11.37,11.15,0.22,-7.36,-4.01,6.25,-3.1,0.0,0.0
2020-05-26,20389382.0,1171172.0,-21560554.0,4242483.0,16146899.0,3.53,0.2,-3.74,0.73,2.8,6.62,5.92,0.0,0.0
2020-05-27,-37002699.0,26082208.0,10920491.0,-14348100.0,-22654599.0,-6.47,4.56,1.91,-2.51,-3.96,6.62,0.0,0.0,0.0
2020-05-28,4807450.0,10117498.0,-14924948.0,-13428917.0,18236367.0,0.83,1.74,-2.56,-2.31,3.13,6.7,1.21,0.0,0.0
2020-05-29,311255642.0,-142350678.0,-168904928.0,5459584.0,305796058.0,20.5,-9.38,-11.13,0.36,20.14,7.2,7.46,0.0,0.0
2020-06-01,-30859040.0,16282144.0,14576880.0,33484160.0,-64343200.0,-1.65,0.87,0.78,1.79,-3.44,7.58,5.28,0.0,0.0
2020-06-02,-129267831.0,105439056.0,23828768.0,16302928.0,-145570759.0,-9.1,7.43,1.68,1.15,-10.25,7.45,-1.72,0.0,0.0
2020-06-03,-23646954.0,43683040.0,-20036080.0,-52199456.0,28552502.0,-1.65,3.05,-1.4,-3.65,1.99,7.52,0.94,0.0,0.0
2020-06-04,-12652567.0,13064640.0,-412080.0,-19869872.0,7217305.0,-0.78,0.8,-0.03,-1.22,0.44,7.58,0.8,0.0,0.0
2020-06-05,-21666728.0,19141777.0,2524960.0,19609840.0,-41276568.0,-2.07,1.83,0.24,1.88,-3.95,7.47,-1.45,0.0,0.0
2020-06-08,104947447.0,-22881312.0,-82066128.0,13233568.0,91713879.0,6.16,-1.34,-4.82,0.78,5.38,7.77,4.02,0.0,0.0
2020-06-09,-57577158.0,66126784.0,-8549616.0,-93367728.0,35790570.0,-3.21,3.68,-0.48,-5.2,1.99,8.03,3.35,0.0,0.0
2020-06-10,-117914398.0,100448112.0,17466304.0,-13795568.0,-104118830.0,-7.8,6.65,1.16,-0.91,-6.89,7.81,-2.74,0.0,0.0
2020-06-11,67089395.0,-19722992.0,-47366416.0,-16355504.0,83444899.0,3.96,-1.16,-2.8,-0.97,4.92,8.09,3.59,0.0,0.0
