date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1415331.0,3423359.0,-2008028.0,2873083.0,-4288414.0,-0.45,1.09,-0.64,0.91,-1.37,11.54,0.7,0.0,0.0
2020-01-09,-1370507.0,3540661.0,-2170154.0,618022.0,-1988529.0,-0.72,1.86,-1.14,0.32,-1.05,11.68,1.21,0.0,0.0
2020-01-10,-828968.0,2626092.0,-1797124.0,5029186.0,-5858154.0,-0.31,0.99,-0.68,1.89,-2.2,11.75,0.6,0.0,0.0
2020-01-13,1761246.0,2216529.0,-3977776.0,-642170.0,2403416.0,1.17,1.48,-2.65,-0.43,1.6,11.81,0.51,0.0,0.0
2020-01-14,-2663247.0,5480565.0,-2817318.0,-12489454.0,9826207.0,-1.11,2.28,-1.17,-5.2,4.09,11.84,0.25,0.0,0.0
2020-01-15,-13772339.0,9741775.0,4030564.0,-11121570.0,-2650769.0,-6.68,4.72,1.95,-5.39,-1.28,11.83,-0.08,0.0,0.0
2020-01-16,-9688396.0,9193898.0,494498.0,-8526117.0,-1162279.0,-6.58,6.25,0.34,-5.79,-0.79,11.72,-0.93,0.0,0.0
2020-01-17,-13975096.0,16155550.0,-2180454.0,-8778136.0,-5196960.0,-10.64,12.3,-1.66,-6.68,-3.96,11.68,-0.34,0.0,0.0
2020-01-20,-2728336.0,-243745.0,2972081.0,-244830.0,-2483506.0,-1.61,-0.14,1.75,-0.14,-1.46,11.94,2.23,0.0,0.0
2020-01-21,-13701502.0,16365127.0,-2663625.0,-9114911.0,-4586591.0,-11.46,13.69,-2.23,-7.62,-3.84,11.68,-2.18,0.0,0.0
2020-01-22,15623674.0,-10703533.0,-4920141.0,5758301.0,9865373.0,6.94,-4.75,-2.19,2.56,4.38,12.0,2.74,0.0,0.0
2020-01-23,-10917.0,-657968.0,668885.0,4949522.0,-4960439.0,-0.0,-0.17,0.17,1.28,-1.29,12.05,0.42,0.0,0.0
2020-02-03,-7908412.0,7902521.0,5892.0,-1486363.0,-6422049.0,-17.08,17.07,0.01,-3.21,-13.87,10.85,-9.96,0.0,0.0
