date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-46160744.0,26157328.0,20003415.0,-21646904.0,-24513840.0,-13.18,7.47,5.71,-6.18,-7.0,11.71,-4.41,0.0,0.0
2020-01-09,-21660294.0,18681161.0,2979133.0,-16224979.0,-5435315.0,-7.69,6.63,1.06,-5.76,-1.93,11.67,-0.34,0.0,0.0
2020-01-10,-22961123.0,15733798.0,7227325.0,-1201411.0,-21759712.0,-10.09,6.92,3.18,-0.53,-9.57,11.54,-1.11,0.0,0.0
2020-01-13,9125631.0,-8742589.0,-383043.0,-2860993.0,11986624.0,2.9,-2.78,-0.12,-0.91,3.81,12.13,5.11,0.0,0.0
2020-01-14,6651037.0,-5905460.0,-745578.0,-3419300.0,10070337.0,1.31,-1.17,-0.15,-0.68,1.99,12.42,2.39,0.0,0.0
2020-01-15,108781384.0,-51037781.0,-57743603.0,-15219642.0,124001026.0,15.12,-7.1,-8.03,-2.12,17.24,13.66,9.98,0.0,0.0
2020-01-16,-75893143.0,39960213.0,35932930.0,-19111387.0,-56781756.0,-13.53,7.12,6.41,-3.41,-10.12,13.09,-4.17,0.0,0.0
2020-01-17,-21979499.0,21129168.0,850330.0,-2429194.0,-19550305.0,-6.03,5.8,0.23,-0.67,-5.36,12.95,-1.07,0.0,0.0
2020-01-20,-37723893.0,17029616.0,20694277.0,-25717567.0,-12006326.0,-12.56,5.67,6.89,-8.56,-4.0,12.68,-2.08,0.0,0.0
2020-01-21,-22486460.0,17321225.0,5165234.0,-15989740.0,-6496720.0,-11.03,8.49,2.53,-7.84,-3.19,12.29,-3.08,0.0,0.0
2020-01-22,1849463.0,4067021.0,-5916485.0,-678436.0,2527899.0,0.9,1.98,-2.88,-0.33,1.23,12.35,0.49,0.0,0.0
2020-01-23,-12705594.0,4666778.0,8038816.0,-16125777.0,3420183.0,-3.23,1.19,2.05,-4.1,0.87,12.4,0.4,0.0,0.0
2020-02-03,-698616.0,1401696.0,-703080.0,-2790000.0,2091384.0,-5.54,11.11,-5.57,-22.11,16.58,11.16,-10.0,0.0,0.0
2020-02-04,-15091542.0,7779954.0,7311588.0,-15085944.0,-5598.0,-5.0,2.58,2.42,-5.0,-0.0,11.33,1.52,0.0,0.0
2020-02-05,4055589.0,661231.0,-4716821.0,4429546.0,-373957.0,1.19,0.19,-1.39,1.3,-0.11,11.87,4.77,0.0,0.0
2020-02-06,41572801.0,-22262759.0,-19310042.0,10394300.0,31178501.0,8.78,-4.7,-4.08,2.2,6.59,12.6,6.15,0.0,0.0
2020-02-07,-59880745.0,34037900.0,25842843.0,-46786998.0,-13093747.0,-13.0,7.39,5.61,-10.15,-2.84,12.31,-2.3,0.0,0.0
2020-02-10,117483098.0,-44636725.0,-72846377.0,3195634.0,114287464.0,15.29,-5.81,-9.48,0.42,14.88,13.54,9.99,0.0,0.0
2020-02-11,-134855376.0,90412037.0,44443338.0,-58175555.0,-76679821.0,-22.13,14.84,7.29,-9.55,-12.58,12.21,-9.82,0.0,0.0
2020-02-12,9760672.0,-2380618.0,-7380053.0,1065691.0,8694981.0,2.73,-0.67,-2.07,0.3,2.43,12.48,2.21,0.0,0.0
2020-02-13,-60015895.0,45381238.0,14634657.0,-32496741.0,-27519154.0,-18.66,14.11,4.55,-10.1,-8.56,12.0,-3.85,0.0,0.0
2020-02-14,-8926996.0,4011445.0,4915551.0,-7326841.0,-1600155.0,-3.59,1.61,1.98,-2.95,-0.64,12.03,0.25,0.0,0.0
2020-02-17,11258858.0,3316270.0,-14575128.0,-15535003.0,26793861.0,1.86,0.55,-2.41,-2.57,4.43,12.9,7.23,0.0,0.0
2020-02-18,-51443886.0,20133214.0,31310666.0,-11285277.0,-40158609.0,-6.59,2.58,4.01,-1.44,-5.14,13.6,5.43,0.0,0.0
2020-02-19,-76612106.0,40953968.0,35658138.0,-35142321.0,-41469785.0,-14.53,7.77,6.76,-6.67,-7.87,12.93,-4.93,0.0,0.0
