date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10054943.0,13502384.0,-3447439.0,-7468706.0,-2586237.0,-8.52,11.45,-2.92,-6.33,-2.19,3.76,-3.84,0.0,0.0
2020-01-09,-5727861.0,5383822.0,344038.0,-4802916.0,-924945.0,-6.29,5.91,0.38,-5.27,-1.02,3.83,1.86,0.0,0.0
2020-01-10,-4741418.0,7008698.0,-2267280.0,-4600220.0,-141198.0,-5.37,7.94,-2.57,-5.21,-0.16,3.85,0.52,0.0,0.0
2020-01-13,-11124581.0,13164964.0,-2040382.0,-12088204.0,963623.0,-11.44,13.53,-2.1,-12.43,0.99,3.79,-1.56,0.0,0.0
2020-01-14,-5169385.0,10131938.0,-4962553.0,-5107663.0,-61722.0,-7.36,14.43,-7.07,-7.28,-0.09,3.72,-1.85,0.0,0.0
2020-01-15,-132170.0,-1150994.0,1283164.0,-185988.0,53818.0,-0.14,-1.21,1.35,-0.2,0.06,3.67,-1.34,0.0,0.0
2020-01-16,-13877875.0,12198268.0,1679607.0,-10629900.0,-3247975.0,-17.78,15.63,2.15,-13.62,-4.16,3.59,-2.18,0.0,0.0
2020-01-17,-1694651.0,4965182.0,-3270530.0,-1729474.0,34823.0,-2.75,8.06,-5.31,-2.81,0.06,3.52,-1.95,0.0,0.0
2020-01-20,-3481906.0,8813977.0,-5332072.0,-4769626.0,1287720.0,-5.22,13.22,-8.0,-7.15,1.93,3.47,-1.42,0.0,0.0
2020-01-21,-1812891.0,2423051.0,-610161.0,-1353969.0,-458922.0,-4.23,5.65,-1.42,-3.16,-1.07,3.4,-2.02,0.0,0.0
2020-01-22,-3349160.0,2708107.0,641054.0,-109501.0,-3239659.0,-6.08,4.92,1.16,-0.2,-5.88,3.33,-2.06,0.0,0.0
2020-01-23,-3719246.0,7849720.0,-4130474.0,-3979538.0,260292.0,-5.7,12.03,-6.33,-6.1,0.4,3.13,-6.01,0.0,0.0
2020-02-03,1131102.0,1377006.0,-2508108.0,3102.0,1128000.0,11.98,14.59,-26.57,0.03,11.95,2.82,-9.9,0.0,0.0
2020-02-04,-2760565.0,3368901.0,-608336.0,-3693814.0,933249.0,-3.05,3.72,-0.67,-4.08,1.03,2.99,6.03,0.0,0.0
2020-02-05,-10266983.0,2031386.0,8235597.0,-10655361.0,388378.0,-11.96,2.37,9.59,-12.41,0.45,3.05,2.01,0.0,0.0
2020-02-06,-1667514.0,944683.0,722831.0,-1667514.0,0.0,-1.73,0.98,0.75,-1.73,0.0,3.21,5.25,0.0,0.0
2020-02-07,21508145.0,-12079364.0,-9428781.0,6850897.0,14657248.0,14.35,-8.06,-6.29,4.57,9.78,3.53,9.97,0.0,0.0
2020-02-10,-21165834.0,18738035.0,2427800.0,-15097494.0,-6068340.0,-13.03,11.53,1.49,-9.29,-3.73,3.32,-5.95,0.0,0.0
2020-02-11,-4755709.0,7791802.0,-3036092.0,-3627098.0,-1128611.0,-6.82,11.17,-4.35,-5.2,-1.62,3.26,-1.81,0.0,0.0
2020-02-12,1132443.0,-543569.0,-588873.0,-50653.0,1183096.0,1.69,-0.81,-0.88,-0.08,1.77,3.33,2.15,0.0,0.0
2020-02-13,-8812795.0,10494923.0,-1682128.0,-7974110.0,-838685.0,-13.38,15.93,-2.55,-12.1,-1.27,3.23,-3.0,0.0,0.0
2020-02-14,-3354558.0,6581810.0,-3227253.0,-4451718.0,1097160.0,-7.58,14.86,-7.29,-10.05,2.48,3.21,-0.62,0.0,0.0
2020-02-17,-3843508.0,5742765.0,-1899256.0,-4312035.0,468527.0,-4.54,6.79,-2.25,-5.1,0.55,3.31,3.12,0.0,0.0
2020-02-18,4602568.0,130584.0,-4733153.0,-564290.0,5166858.0,3.67,0.1,-3.77,-0.45,4.12,3.44,3.93,0.0,0.0
2020-02-19,-2146569.0,3634518.0,-1487947.0,963606.0,-3110175.0,-2.38,4.03,-1.65,1.07,-3.45,3.33,-3.2,0.0,0.0
2020-02-20,-3366169.0,1671331.0,1694839.0,-4064140.0,697971.0,-4.81,2.39,2.42,-5.81,1.0,3.38,1.5,0.0,0.0
2020-02-21,-1691350.0,1256536.0,434813.0,-4258672.0,2567322.0,-1.7,1.27,0.44,-4.29,2.59,3.44,1.78,0.0,0.0
2020-02-24,-9641454.0,11011090.0,-1369634.0,-9245983.0,-395471.0,-8.74,9.98,-1.24,-8.38,-0.36,3.47,0.87,0.0,0.0
