date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-5194695.0,-8370876.0,13565569.0,-15128051.0,9933356.0,-1.6,-2.58,4.17,-4.66,3.06,31.28,2.69,0.0,0.0
2020-01-09,-32178182.0,29696758.0,2481424.0,-14669174.0,-17509008.0,-9.57,8.83,0.74,-4.36,-5.21,30.95,-1.05,0.0,0.0
2020-01-10,-4994537.0,8921066.0,-3926530.0,-3581463.0,-1413074.0,-2.41,4.31,-1.9,-1.73,-0.68,31.0,0.16,0.0,0.0
2020-01-13,-7343871.0,10189758.0,-2845886.0,-133365.0,-7210506.0,-2.5,3.48,-0.97,-0.05,-2.46,31.66,2.13,0.0,0.0
2020-01-14,-9062846.0,2812910.0,6249937.0,1914253.0,-10977099.0,-5.59,1.73,3.85,1.18,-6.77,31.35,-0.98,0.0,0.0
2020-01-15,-13363662.0,360761.0,13002902.0,-5515047.0,-7848615.0,-8.36,0.23,8.13,-3.45,-4.91,31.4,0.16,0.0,0.0
2020-01-16,-9339642.0,5946607.0,3393036.0,-11255657.0,1916015.0,-3.58,2.28,1.3,-4.31,0.73,31.4,0.0,0.0,0.0
2020-01-17,-36451458.0,38838890.0,-2387432.0,-24543438.0,-11908020.0,-6.41,6.83,-0.42,-4.31,-2.09,30.8,-1.91,0.0,0.0
2020-01-20,-3060496.0,21812559.0,-18752064.0,-4876820.0,1816324.0,-0.48,3.44,-2.96,-0.77,0.29,30.77,-0.1,0.0,0.0
2020-01-21,-15096755.0,19807398.0,-4710643.0,-6469870.0,-8626885.0,-3.35,4.4,-1.05,-1.44,-1.92,29.74,-3.35,0.0,0.0
2020-01-22,6205709.0,-10190859.0,3985151.0,6433301.0,-227592.0,1.62,-2.67,1.04,1.68,-0.06,29.78,0.13,0.0,0.0
2020-01-23,8874316.0,-3079187.0,-5795128.0,6779113.0,2095203.0,2.41,-0.84,-1.57,1.84,0.57,29.25,-1.78,0.0,0.0
2020-02-03,-24469546.0,2536202.0,21933345.0,-20603218.0,-3866328.0,-5.63,0.58,5.05,-4.74,-0.89,26.41,-9.71,0.0,0.0
2020-02-04,-5020321.0,10686358.0,-5666035.0,-6157830.0,1137509.0,-1.29,2.75,-1.46,-1.59,0.29,27.65,4.7,0.0,0.0
2020-02-05,20274771.0,-13683277.0,-6591494.0,27138879.0,-6864108.0,4.77,-3.22,-1.55,6.39,-1.62,27.99,1.23,0.0,0.0
2020-02-06,-4137987.0,7656622.0,-3518635.0,-2228186.0,-1909801.0,-1.0,1.85,-0.85,-0.54,-0.46,28.43,1.57,0.0,0.0
2020-02-07,25592.0,-8815401.0,8789810.0,3507007.0,-3481415.0,0.01,-2.51,2.5,1.0,-0.99,28.24,-0.67,0.0,0.0
2020-02-10,11616894.0,-44687838.0,33070945.0,8203161.0,3413733.0,2.77,-10.67,7.9,1.96,0.82,28.88,2.27,0.0,0.0
2020-02-11,1284578.0,-5792292.0,4507716.0,3118876.0,-1834298.0,0.43,-1.96,1.53,1.06,-0.62,29.2,1.11,0.0,0.0
2020-02-12,24778292.0,-24411086.0,-367206.0,10505476.0,14272816.0,7.87,-7.75,-0.12,3.34,4.53,29.87,2.29,0.0,0.0
2020-02-13,-35984303.0,32615555.0,3368748.0,-9160074.0,-26824229.0,-9.89,8.97,0.93,-2.52,-7.38,29.12,-2.51,0.0,0.0
2020-02-14,-12876856.0,11042841.0,1834015.0,-8962935.0,-3913921.0,-6.75,5.79,0.96,-4.7,-2.05,29.24,0.41,0.0,0.0
2020-02-17,6084312.0,-8318240.0,2233927.0,-7266077.0,13350389.0,2.48,-3.4,0.91,-2.97,5.45,30.11,2.98,0.0,0.0
2020-02-18,9352832.0,357086.0,-9709918.0,1131968.0,8220864.0,2.77,0.11,-2.87,0.34,2.43,30.61,1.66,0.0,0.0
2020-02-19,-13322520.0,1472886.0,11849634.0,-5876416.0,-7446104.0,-3.21,0.36,2.86,-1.42,-1.8,30.91,0.98,0.0,0.0
2020-02-20,-17306376.0,15296103.0,2010274.0,-9597949.0,-7708427.0,-5.22,4.61,0.61,-2.89,-2.32,30.75,-0.52,0.0,0.0
2020-02-21,-7187202.0,5981735.0,1205467.0,-1005121.0,-6182081.0,-1.58,1.31,0.26,-0.22,-1.36,30.91,0.52,0.0,0.0
2020-02-24,12202587.0,-5050839.0,-7151749.0,17906596.0,-5704009.0,2.23,-0.92,-1.31,3.28,-1.04,31.42,1.65,0.0,0.0
2020-02-25,24076651.0,-29076633.0,4999982.0,10706740.0,13369911.0,3.35,-4.04,0.69,1.49,1.86,32.39,3.09,0.0,0.0
2020-02-26,-9683631.0,11473457.0,-1789826.0,4275470.0,-13959101.0,-1.62,1.92,-0.3,0.72,-2.34,30.58,-5.59,0.0,0.0
2020-02-27,-17290528.0,-9085354.0,26375881.0,837508.0,-18128036.0,-3.39,-1.78,5.17,0.16,-3.56,29.7,-2.88,0.0,0.0
2020-02-28,18316738.0,-37649662.0,19332924.0,15154115.0,3162623.0,3.71,-7.63,3.92,3.07,0.64,28.31,-4.68,0.0,0.0
2020-03-02,14282085.0,23415090.0,-37697175.0,14376875.0,-94790.0,3.4,5.58,-8.98,3.42,-0.02,29.14,2.93,0.0,0.0
2020-03-03,-7711888.0,-7891986.0,15603874.0,-3092061.0,-4619827.0,-1.68,-1.72,3.39,-0.67,-1.0,29.95,2.78,0.0,0.0
2020-03-04,4046925.0,-5331586.0,1284660.0,8616182.0,-4569257.0,1.23,-1.62,0.39,2.61,-1.38,30.35,1.34,0.0,0.0
2020-03-05,-32741934.0,35228175.0,-2486240.0,-18372179.0,-14369755.0,-10.12,10.89,-0.77,-5.68,-4.44,29.77,-1.91,0.0,0.0
2020-03-06,8913234.0,-16182259.0,7269025.0,4108664.0,4804570.0,3.36,-6.09,2.74,1.55,1.81,29.85,0.27,0.0,0.0
2020-03-09,-15015159.0,4568048.0,10447111.0,-8151148.0,-6864011.0,-4.55,1.38,3.16,-2.47,-2.08,28.69,-3.89,0.0,0.0
2020-03-10,-4453756.0,138851.0,4314905.0,7846840.0,-12300596.0,-1.16,0.04,1.13,2.05,-3.21,29.09,1.39,0.0,0.0
2020-03-11,-21904661.0,20990979.0,913683.0,-15821538.0,-6083123.0,-8.7,8.34,0.36,-6.29,-2.42,28.65,-1.51,0.0,0.0
2020-03-12,-37560674.0,8903963.0,28656711.0,-37478332.0,-82342.0,-7.79,1.85,5.95,-7.78,-0.02,27.9,-2.62,0.0,0.0
2020-03-13,-12242306.0,-5306687.0,17548992.0,-6490388.0,-5751918.0,-2.49,-1.08,3.57,-1.32,-1.17,26.88,-3.66,0.0,0.0
2020-03-16,-40918949.0,14294946.0,26624002.0,-14050535.0,-26868414.0,-8.12,2.84,5.28,-2.79,-5.33,25.59,-4.8,0.0,0.0
2020-03-17,-18922599.0,-863200.0,19785799.0,-15861234.0,-3061365.0,-4.52,-0.21,4.72,-3.79,-0.73,25.27,-1.25,0.0,0.0
2020-03-18,-10677403.0,-6692088.0,17369489.0,-392712.0,-10284691.0,-3.43,-2.15,5.57,-0.13,-3.3,25.16,-0.44,0.0,0.0
2020-03-19,-23982249.0,8760229.0,15222021.0,-3213167.0,-20769082.0,-5.11,1.87,3.25,-0.69,-4.43,24.92,-0.95,0.0,0.0
2020-03-20,-83542.0,-6508255.0,6591797.0,-2435710.0,2352168.0,-0.02,-1.77,1.79,-0.66,0.64,24.59,-1.32,0.0,0.0
2020-03-23,-28119416.0,17030873.0,11088543.0,-26687750.0,-1431666.0,-7.72,4.67,3.04,-7.33,-0.39,23.53,-4.31,0.0,0.0
2020-03-24,16818346.0,-14883992.0,-1934355.0,-4852033.0,21670379.0,5.79,-5.12,-0.67,-1.67,7.46,24.03,2.12,0.0,0.0
2020-03-25,-3598649.0,-4416964.0,8015612.0,-8842268.0,5243619.0,-0.9,-1.11,2.01,-2.22,1.32,25.04,4.2,0.0,0.0
2020-03-26,-7248931.0,7931871.0,-682940.0,-13205136.0,5956205.0,-2.06,2.25,-0.19,-3.75,1.69,25.56,2.08,0.0,0.0
2020-03-27,32412551.0,-46425152.0,14012602.0,41327590.0,-8915039.0,7.8,-11.17,3.37,9.94,-2.15,26.79,4.81,0.0,0.0
2020-03-30,-8579584.0,7366911.0,1212673.0,-2573006.0,-6006578.0,-2.99,2.57,0.42,-0.9,-2.09,26.0,-2.95,0.0,0.0
2020-03-31,-3632057.0,12857491.0,-9225433.0,-1128095.0,-2503962.0,-2.21,7.81,-5.6,-0.69,-1.52,25.85,-0.58,0.0,0.0
2020-04-01,-15768916.0,10352325.0,5416591.0,-13429074.0,-2339842.0,-8.72,5.72,2.99,-7.42,-1.29,26.05,0.77,0.0,0.0
2020-04-02,-4930975.0,5882190.0,-951215.0,2347557.0,-7278532.0,-3.14,3.75,-0.61,1.5,-4.64,26.7,2.5,0.0,0.0
2020-04-03,10274970.0,-3864551.0,-6410419.0,11104146.0,-829176.0,6.8,-2.56,-4.24,7.35,-0.55,26.88,0.67,0.0,0.0
2020-04-07,12279957.0,-4533664.0,-7746292.0,1626618.0,10653339.0,4.0,-1.48,-2.53,0.53,3.47,28.0,4.17,0.0,0.0
2020-04-08,1674795.0,-1776048.0,101252.0,-4077678.0,5752473.0,0.8,-0.85,0.05,-1.95,2.75,28.46,1.64,0.0,0.0
2020-04-09,-19787230.0,29399629.0,-9612399.0,-15702211.0,-4085019.0,-10.04,14.91,-4.88,-7.97,-2.07,27.6,-3.02,0.0,0.0
2020-04-10,4146260.0,-5549609.0,1403348.0,4229670.0,-83410.0,1.06,-1.42,0.36,1.08,-0.02,28.32,2.61,0.0,0.0
2020-04-13,9611924.0,-18867199.0,9255276.0,3481469.0,6130455.0,4.19,-8.23,4.04,1.52,2.67,28.9,2.05,0.0,0.0
2020-04-14,-7405360.0,29357167.0,-21951808.0,-9579268.0,2173908.0,-2.57,10.21,-7.63,-3.33,0.76,29.35,1.56,0.0,0.0
2020-04-15,2658756.0,-1006824.0,-1651933.0,1023599.0,1635157.0,1.63,-0.62,-1.02,0.63,1.0,29.35,0.0,0.0,0.0
2020-04-16,-19793083.0,17963463.0,1829620.0,-24426373.0,4633290.0,-9.21,8.36,0.85,-11.37,2.16,29.54,0.65,0.0,0.0
2020-04-17,-3226347.0,6572268.0,-3345921.0,-11351679.0,8125332.0,-1.48,3.02,-1.54,-5.22,3.74,29.7,0.54,0.0,0.0
2020-04-20,12374643.0,-10826767.0,-1547875.0,13004895.0,-630252.0,4.52,-3.95,-0.57,4.75,-0.23,30.15,1.52,0.0,0.0
2020-04-21,-13335769.0,14877227.0,-1541457.0,-6421721.0,-6914048.0,-9.76,10.88,-1.13,-4.7,-5.06,29.85,-1.0,0.0,0.0
2020-04-22,4087587.0,-21246313.0,17158727.0,3813282.0,274305.0,2.54,-13.22,10.67,2.37,0.17,29.92,0.23,0.0,0.0
2020-04-23,3043903.0,-25870304.0,22826401.0,-410174.0,3454077.0,0.74,-6.27,5.53,-0.1,0.84,30.2,0.94,0.0,0.0
2020-04-24,-6881602.0,376647.0,6504953.0,3869506.0,-10751108.0,-1.92,0.11,1.82,1.08,-3.0,30.45,0.83,0.0,0.0
2020-04-27,-8423435.0,-19119854.0,27543288.0,-11181384.0,2757949.0,-2.77,-6.29,9.06,-3.68,0.91,31.14,2.27,0.0,0.0
